District,Code,Incumbent Party,Incumbent Name,,Pronunciation Guide,,Year First Elected,Birth Year,Gender,Race or Ethnicity,Religious Affiliation,LGBTQ+ Status,Pre-2022 Incumbent,2020 President,,2016 President,,2022 House,,,,2023-2032 House Specials,,,,,Voting Age Population by Race (2020 Census),,,,,,Citizen Voting Age Population by Race (2018-2022 ACS),,,,,,Median Household Income by Race (2018-2022 ACS),,,,Educational Attainment by Race for Adults Ages 25+ (2018-2022 ACS) ,,,,,,Sort by Full District Name,2020 President,,,2016 President,,,2022 House,,,,,,2023-2032 House Special Elections,,,,,,Total Population (2020 Census),,,,,,,Voting Age Population (2020 Census),,,,,,,Citizen Voting Age Population (2018-2022 ACS),,,,,,,Educational Attainment for Adults 25+ (2018-2022 ACS),,,
,,,First,Last,Phonetic,International Phonetic Alphabet,,,,,,,,Joe Biden,Donald Trump,Hillary Clinton,Donald Trump,Dem,Rep,Indie or Other Dem,Indie or Other Rep,Date,Dem,Rep,Indie or Other Dem,Indie or Other Rep,White (Alone),Hispanic or Latino,Black,Asian,Native American,Pacific Islander,White (Alone),Hispanic or Latino,Black,Asian,Native American,Pacific Islander,Median Household Income,Income Rank,White Only Income,White Only Income Rank,Bachelor's Degree or Higher,BA Rank,White Only Bachelor's Degree,White Only BA Rank,Non-College White Adult Citizens,Non-College White Rank,,Total,Joe Biden,Donald Trump,Total,Hillary Clinton,Donald Trump,Total,Democratic,Republican,Independent or Other Democratic,Independent or Other Republican,True Indie or 3rd Party,Total,Democratic,Republican,Independent or Other Democratic,Independent or Other Republican,Independent or 3rd Party,Total Population,White (Alone),Hispanic or Latino,Black,Asian,Native American,Pacific Islander,Total Adult Population,White (Alone),Hispanic or Latino,Black,Asian,Native American,Pacific Islander,Total Adult Citizen Population,White (Alone),Hispanic or Latino,Black,Asian,Native American,Pacific Islander,Total Population Ages 25+,Bachelor's Degree or Higher,Total White Population Ages 25+,White Bachelor's Degree
Nationwide,USA,220R - 211D - 4 Vacant,,,,,,,,,,,,51.4,46.9,48.4,46.3,47.4,50.5,0.5,0.1,,,,,,60.8,16.8,13.2,7.0,2.7,0.4,66.5,13.5,13.1,5.1,1.3,0.2,"$74,755",199.5 ,"$80,404",217.5 ,34.3,181.5,38.0,205.5,41.3,223.5,,"158,246,083","81,284,778","74,224,501","135,942,537","65,853,652","62,985,134","107,738,768","51,023,148","54,444,142","536,021","63,917","1,671,737",,,,,,,"331,449,281","191,697,647","62,080,044","46,936,733","24,000,998","9,666,058","1,586,463","258,343,281","157,118,573","43,322,792","34,092,162","18,138,612","6,982,636","1,069,995","238,133,935","158,456,575","32,082,790","31,275,755","12,204,305","3,104,135","362,135","226,600,992","77,751,347","142,935,177","54,299,816"
Alaska's At-Large,AK-AL,Democratic,Mary,Peltola,(MAIR-ee pel-TOHL-uh),/'mɛ.ɹi pɛl.'toʊ.lə/,2022 Special,1973,Woman,Native American - Yup'ik (Native Alaskan),Christian - Eastern Orthodox,No,Re-elected,43.0,53.1,37.6,52.8,55.0,45.0,0,0,,,,,,61.5,6.0,4.3,7.8,19.1,2.0,64.8,6.2,3.9,5.9,17.1,1.1,"$88,121",109,"$96,116",112,30.7 ,245 ,37.3 ,215 ,40.6,228 ,8,"357,569","153,778","189,951","309,407","116,454","163,387","249,734","137,263","112,471",0,0,0,,,,,,,"733,391","421,758","49,824","35,454","61,460","160,287","18,668","554,003","340,580","33,441","23,665","43,407","105,737","11,184","534,725","346,615","33,030","21,035","31,740","91,685","6,005","485,871","149,397","312,422","116,645"
Alabama's 1st,AL-01,Republican,Jerry,Carl,(JAIR-ee KAHRL,/'dʒɛ.ɹi kɑɹl/,2020,1958,Man,White,Christian - Protestant - Baptist,No,Re-elected,35.3,63.6,33.8,62.9,0,83.6,0,0,,,,,,66.0,3.2,25.6,1.8,3.1,0.1,68.3,2.3,26.1,1.4,1.7,0.0,"$58,781",376,"$70,222",319,25.9 ,326 ,29.7 ,324 ,48.0,159 ,1,"327,039","115,566","208,116","301,237","101,839","189,526","168,150",0,"140,592",0,0,"27,558",,,,,,,"717,754","455,278","27,196","196,827","14,541","23,350","1,024","557,535","367,960","18,014","142,777","10,292","17,316",670,"548,455","374,540","12,720","143,035","7,450","9,390",95,"496,245","128,651","338,952","100,753"
Alabama's 2nd,AL-02,Republican,Barry,Moore,(BAIR-ee MAWR),/'bɛ.ɹi mɔɹ/,2020,1966,Man,White,Christian - Protestant - Baptist,No,Re-elected,34.8,64.2,32.3,64.8,29.2,69.1,0,0,,,,,,62.0,3.6,30.1,2.3,2.1,0.1,64.3,2.2,31.1,1.3,1.1,0.0,"$57,561",382,"$68,651",338,25.1 ,335 ,27.5 ,358 ,46.6,172 ,2,"319,817","111,264","205,435","299,195","96,668","193,978","198,961","58,014","137,460",0,0,"3,487",,,,,,,"717,755","426,142","31,708","228,648","17,621","15,742","1,253","557,677","345,900","19,933","167,971","12,736","11,706",834,"540,250","347,310","11,665","168,065","6,995","5,850",50,"487,457","122,286","312,720","85,984"
Alabama's 3rd,AL-03,Republican,Mike,Rogers,(MAHYK RAH-jerz),/maɪk 'ɹɑ.dʒəɹz/,2002,1958,Man,White,Christian - Protestant - Baptist,No,Re-elected,32.5,66.6,31.1,65.7,25.1,71.2,0,0,,,,,,67.7,3.1,25.0,2.1,2.1,0.1,70.8,2.1,25.0,0.9,0.9,0.1,"$54,047",408,"$59,875",416,22.4 ,389 ,24.3 ,403 ,53.6,112 ,3,"316,695","102,772","210,797","285,575","88,876","187,604","190,406","47,859","135,602",0,0,"6,945",,,,,,,"717,754","473,307","26,849","187,284","15,589","15,474","1,133","564,281","382,226","17,334","141,011","11,793","11,895",729,"556,010","393,565","11,895","139,185","5,220","4,745",295,"485,860","108,638","341,192","82,837"
Alabama's 4th,AL-04,Republican,Robert,Aderholt,(RAH-bert AD-er-holt),/'ɹɑ.bəɹt 'æ.ɾəɹ.hoʊlt/,1996,1965,Man,White,Christian - Protestant - Congregationalist,No,Re-elected,18.6,80.4,18.0,79.0,13.6,84.1,0,0,,,,,,82.4,5.7,7.7,0.8,3.5,0.1,87.1,2.7,7.8,0.6,1.7,0.0,"$54,960",399,"$57,129",424,18.5 ,425 ,19.2 ,432 ,70.4,13 ,4,"326,261","60,733","262,359","298,177","53,761","235,439","195,733","26,694","164,655",0,0,"4,384",,,,,,,"717,754","573,666","53,874","59,655","6,525","26,440",822,"556,133","458,324","31,463","42,819","4,571","19,581",506,"540,005","470,370","14,785","42,035","3,000","9,150",220,"494,116","91,272","422,449","80,935"
Alabama's 5th,AL-05,Republican,Dale,Strong,(DEYL STRAWNG),/deɪl stɹɔŋg/,2022,1970,Man,White,Christian - Protestant - Baptist,No,Open Seat - Ran for Senate and lost in primary (Mo Brooks),35.6,62.7,30.8,63.8,29.6,67.1,0,0,,,,,,70.9,5.3,18.1,2.5,3.3,0.2,75.1,2.9,18.6,1.7,1.7,0.0,"$73,698",211,"$78,150",236,35.7 ,162 ,37.2 ,218 ,47.2,163 ,5,"345,255","123,032","216,584","297,866","91,722","189,922","212,317","62,740","142,435",0,0,"7,142",,,,,,,"717,754","491,054","47,307","136,782","20,008","24,446","1,578","561,187","397,809","29,646","101,339","14,172","18,333",996,"549,440","412,430","15,835","102,010","9,070","9,305",210,"499,833","178,596","371,959","138,317"
Alabama's 6th,AL-06,Republican,Gary,Palmer,(GAIR-ee PAHL-mer),/'gɛ.ɹi 'pɑl.məɹ/,2014,1954,Man,White,Christian - Protestant - Presbyterian,No,Re-elected,34.4,64.4,28.5,66.8,0,83.7,0,0,,,,,,71.2,5.4,18.9,2.3,2.2,0.1,75.3,2.4,20.0,1.5,0.8,0.0,"$78,796",175,"$87,771",173,38.8 ,131 ,42.0 ,155 ,43.6,194 ,6,"354,698","122,189","228,267","321,992","91,781","215,098","184,203",0,"154,233",0,0,"29,970",,,,,,,"717,754","491,446","46,872","145,897","17,669","15,967",848,"552,286","393,028","29,711","104,551","12,615","11,937",579,"529,850","398,820","12,505","106,095","7,850","4,340",235,"489,281","189,892","361,322","151,829"
Alabama's 7th,AL-07,Democratic,Terri,Sewell,(TAIR-ee SOO-uhl),/'tɛ.ɹi 'su.əl/,2010,1965,Woman,Black,Christian - Protestant - Methodist,No,Re-elected,65.6,33.6,64.1,33.5,63.5,34.8,0,0,,,,,,38.6,3.7,55.3,1.5,1.3,0.1,40.1,1.5,56.9,0.9,0.6,0.0,"$45,784",432,"$61,540",404,23.9 ,361 ,33.1 ,276 ,26.9,329 ,7,"326,206","214,068","109,612","319,782","204,960","107,062","193,940","123,233","67,416",0,0,"3,291",,,,,,,"717,754","260,458","30,241","409,643","10,824","9,611",821,"568,067","219,297","20,755","313,904","8,730","7,346",576,"560,040","224,690","8,160","318,800","4,820","3,225",55,"475,728","113,510","182,210","60,266"
