district_id,cook_rating,pvi,incumb_status,d_total_m,r_total_m,log_ratio,msg,msg_rank
NC-14,Lean D,5.0351647382739895,Challenger,0.07843515,0.7825500400000001,-2.3958,2.8888218269121532e-06,1
FL-28,Toss-Up,0.7406612144223361,Challenger,0.07632234,0.34616671000000004,-1.7112,2.4439444217715395e-06,2
NC-06,Lean D,4.163220378592431,Challenger,0.15470995,0.7353852399999999,-1.7498,1.7043399516252438e-06,3
FL-27,Toss-Up,2.7019707357899074,Challenger,0.40577453,0.84672753,-1.1271,5.708958620967985e-07,4
OH-09,Toss-Up,-2.6750752258288104,Incumbent,0.74127712,0.71598041,-0.6759,5.638897679041283e-07,5
WI-01,Lean R,-2.905236133876948,Challenger,0.2860712,1.0314078100000001,-1.5272,3.684938466846884e-07,6
PA-01,Toss-Up,-0.3294379916098378,Challenger,0.86969358,2.8209385999999994,-1.4454,2.0880290256450263e-07,7
MI-10,Lean R,-3.3435538497304127,Open,0.58103145,1.2890805600000002,-1.1689,2.0719576901824375e-07,8
VA-02,Lean R,-2.661735182405322,Challenger,0.66709604,1.76059989,-1.2918,1.9838334948817013e-07,9
NC-13,Toss-Up,-1.864598296187117,Incumbent,1.27798616,0.96155131,-0.561,1.8402545770798068e-07,10
TX-15,Toss-Up,1.0192203759560066,Challenger,1.25930094,2.5202705499999998,-1.0991,1.7238304947189204e-07,11
OH-01,Lean D,1.4899957446163237,Incumbent,0.88577612,0.6501989,-0.5505,1.5655502634947733e-07,12
AZ-01,Toss-Up,-2.448492787482301,Open,0.82659871,1.6907396200000002,-1.1136,1.564850837358082e-07,13
TX-23,Lean R,-4.585290023430264,Open,0.09853436,3.40250503,-3.5704,1.4836389549411374e-07,14
MI-07,Lean R,-2.55840954579728,Challenger,0.98006848,2.23697313,-1.1886,1.4510489369926258e-07,15
NC-01,Lean D,2.6847642563189944,Incumbent,0.62285651,3.5236394300000002,-1.8957,1.1351037233609968e-07,16
IA-02,Lean R,-4.036017317545893,Open,0.82292663,4.09607853,-1.788,1.1276640724332326e-07,17
