district_id,cvap
AL-01,548455
AL-02,540250
AL-03,556010
AL-04,540005
AL-05,549440
AL-06,529850
AL-07,560040
AK-00,534725
AZ-01,604630
AZ-02,610355
AZ-03,450300
AZ-04,578510
AZ-05,556730
AZ-06,609175
AZ-07,536070
AZ-08,584000
AZ-09,588780
AR-01,571280
AR-02,566745
AR-03,526235
AR-04,569210
CA-01,556565
CA-02,568050
CA-03,575825
CA-04,546040
CA-05,561785
CA-06,517475
CA-07,523775
CA-08,498385
CA-09,479275
CA-10,522730
CA-11,553125
CA-12,527640
CA-13,422700
CA-14,483095
CA-15,499475
CA-16,487945
CA-17,425745
CA-18,417050
CA-19,544295
CA-20,523565
CA-21,446545
CA-22,412570
CA-23,508630
CA-24,534740
CA-25,484010
CA-26,508990
CA-27,498930
CA-28,517730
CA-29,443700
CA-30,542205
CA-31,489355
CA-32,540375
CA-33,472810
CA-34,432125
CA-35,472990
CA-36,544550
CA-37,435770
CA-38,512580
CA-39,475490
CA-40,536535
CA-41,542705
CA-42,457295
CA-43,432240
CA-44,465785
CA-45,511790
CA-46,437595
CA-47,529255
CA-48,538665
CA-49,540790
CA-50,538335
CA-51,546225
CA-52,492310
CO-01,533820
CO-02,557550
CO-03,551260
CO-04,531665
CO-05,532680
CO-06,501940
CO-07,568010
CO-08,490365
CT-01,530605
CT-02,565280
CT-03,544175
CT-04,484520
CT-05,522145
CT-ZZ,0
DE-00,746110
DC-98,503685
FL-01,587995
FL-02,607050
FL-03,599160
FL-04,577510
FL-05,568395
FL-06,618805
FL-07,588900
FL-08,616520
FL-09,507475
FL-10,554065
FL-11,573375
FL-12,606230
FL-13,616790
FL-14,564235
FL-15,562870
FL-16,569985
FL-17,630025
FL-18,565935
FL-19,600925
FL-20,493830
FL-21,594430
FL-22,537870
FL-23,547370
FL-24,484695
FL-25,510855
FL-26,457480
FL-27,469615
FL-28,486420
GA-01,572230
GA-02,565555
GA-03,568975
GA-04,529775
GA-05,578200
GA-06,516190
GA-07,465320
GA-08,568555
GA-09,542945
GA-10,572215
GA-11,548650
GA-12,573585
GA-13,531835
GA-14,552530
HI-01,525400
HI-02,525335
ID-01,684935
ID-02,660005
IL-01,563785
IL-02,549250
IL-03,480110
IL-04,435135
IL-05,558195
IL-06,549900
IL-07,539965
IL-08,500080
IL-09,530230
IL-10,514735
IL-11,522070
IL-12,581980
IL-13,573840
IL-14,526235
IL-15,587430
IL-16,564445
IL-17,566385
IL-ZZ,0
IN-01,565330
IN-02,545750
IN-03,547660
IN-04,556475
IN-05,564020
IN-06,544950
IN-07,526405
IN-08,577605
IN-09,581425
IA-01,600410
IA-02,603975
IA-03,575220
IA-04,589335
KS-01,538465
KS-02,530965
KS-03,530440
KS-04,526250
KY-01,575670
KY-02,563470
KY-03,552375
KY-04,561975
KY-05,582120
KY-06,562605
LA-01,571925
LA-02,571835
LA-03,570245
LA-04,578825
LA-05,588125
LA-06,577850
ME-01,547560
ME-02,548305
MD-01,592320
MD-02,575915
MD-03,557135
MD-04,481245
MD-05,577445
MD-06,551105
MD-07,571305
MD-08,504765
MA-01,602685
MA-02,571915
MA-03,545675
MA-04,572705
MA-05,535460
MA-06,579305
MA-07,527165
MA-08,571795
MA-09,610455
MI-01,630610
MI-02,607425
MI-03,567100
