district_id,fec_candidate_id,candidate_name,party,cycle,candidate_disbursements,incumbent_challenge_full,ttl_receipts,ttl_indiv_contrib,indiv_share
AK-00,H2AK00200,"CONSTANT, CHRISTOPHER",D,2024,0.0,Challenger,0.0,0.0,0.0
AK-00,H2AK01158,"PELTOLA, MARY",D,2024,14050828.27,Incumbent,13443537.46,10800004.13,0.8033602883269684
AK-00,H2AK00226,"PALIN, SARAH",R,2024,50246.07,Open seat,3866.49,0.0,0.0
AK-00,H2AK01083,"BEGICH, NICHOLAS III",R,2024,2747371.58,Challenger,2810467.65,2309088.23,0.8216028496182833
AK-00,H4AK00156,"DAHLSTROM, NANCY",R,2024,790351.61,Challenger,996163.6,286828.61,0.287933237070698
AL-01,H4AL01255,"HOLMES, THOMAS BETHUNE MR.",D,2024,16817.5,Challenger,17698.86,3076.82,0.17384283507525344
AL-01,H0AL01055,"CARL, JERRY LEE, JR",R,2024,2631446.59,Incumbent,2246839.19,1063039.38,0.4731265970129353
AL-01,H8AL02171,"MOORE, FELIX BARRY",R,2024,1467853.12,Incumbent,1130187.3,649617.39,0.5747873737388484
AL-02,H0AL01097,"AVERHART, JAMES",D,2024,6240.74,Challenger,8876.56,3718.34,0.41889425633353466
AL-02,H0AL02202,"HARVEY-HALL, PHYLLIS",D,2024,5610.17,Challenger,16284.0,6279.0,0.3855932203389831
AL-02,H2AL02166,"PATEL, VIMAL",D,2024,11218.68,Challenger,16300.0,9200.0,0.5644171779141104
AL-02,H4AL02097,"COLEMAN, MERIKA",D,2024,110017.47,Challenger,142030.8,91830.8,0.6465555358415218
AL-02,H4AL02113,"GRAY, JEREMY",D,2024,162341.36,Challenger,163092.8,141661.3,0.8685932180942384
AL-02,H4AL02162,"DANIELS, ANTHONY",D,2024,563961.06,Challenger,567548.46,523686.34,0.9227165201012087
AL-02,H4AL02170,"FIGURES, SHOMARI C.",D,2024,2605519.86,Challenger,2628628.73,1875364.5,0.7134383333016374
