district_id,party,cycle,coordinated_expenditures
AR-04,D,2014,80086
AZ-01,D,2014,82400
AZ-02,D,2014,82421
CA-03,D,2014,460
CA-07,D,2014,92799
CA-21,D,2014,94400
CA-24,D,2014,3423
CA-26,D,2014,89365
CA-31,D,2014,26172
CA-36,D,2014,12
CA-52,D,2014,91132
CO-06,D,2014,82778
CT-05,D,2014,206
FL-02,D,2014,8
FL-13,D,2014,89762
FL-26,D,2014,89261
GA-12,D,2014,81900
HI-01,D,2014,94399
IA-01,D,2014,86781
IA-02,D,2014,86363
IA-03,D,2014,84043
IL-10,D,2014,91961
IL-12,D,2014,93017
IL-17,D,2014,684
KS-03,D,2014,10919
MA-06,D,2014,94390
ME-02,D,2014,86083
MN-07,D,2014,79900
MN-08,D,2014,83472
NE-02,D,2014,80418
NH-01,D,2014,84600
NH-02,D,2014,86923
NJ-03,D,2014,87522
NV-04,D,2014,83400
NY-01,D,2014,86971
NY-11,D,2014,87352
NY-18,D,2014,87323
NY-24,D,2014,85954
SC-01,D,2014,10635
TX-23,D,2014,93872
VA-10,D,2014,87292
WV-02,D,2014,91917
WV-03,D,2014,5942
AR-02,R,2014,94400
AR-04,R,2014,90000
AZ-01,R,2014,94400
AZ-02,R,2014,66539
CA-03,R,2014,15575
CA-07,R,2014,94466
CA-10,R,2014,4200
CA-21,R,2014,94000
CA-26,R,2014,88050
CA-36,R,2014,93046
CA-52,R,2014,92000
CO-06,R,2014,80000
CT-04,R,2014,85000
CT-05,R,2014,0
FL-02,R,2014,91611
FL-26,R,2014,90232
GA-12,R,2014,92000
IA-01,R,2014,90000
IA-02,R,2014,90243
IA-03,R,2014,91065
IL-10,R,2014,90200
IL-11,R,2014,86645
IL-12,R,2014,84204
IL-13,R,2014,95369
IL-17,R,2014,325
KY-06,R,2014,2000
MA-06,R,2014,94000
ME-02,R,2014,94000
MI-01,R,2014,78397
MN-07,R,2014,89633
MN-08,R,2014,94400
MT-01,R,2014,174282
NE-02,R,2014,89984
NH-01,R,2014,93600
NH-02,R,2014,94000
NJ-03,R,2014,10026
NV-04,R,2014,92000
NY-01,R,2014,93600
NY-18,R,2014,93904
NY-19,R,2014,93375
NY-21,R,2014,95893
NY-23,R,2014,597
NY-24,R,2014,93691
PA-06,R,2014,4200
RI-01,R,2014,1178
TX-23,R,2014,52200
UT-04,R,2014,0
VA-10,R,2014,91555
VI-00,R,2014,10000
WV-02,R,2014,92500
WV-03,R,2014,92000
