district_id,party,cycle,coordinated_expenditures
AZ-01,R,2016,96000
CA-07,R,2016,95638
CA-21,R,2016,96000
CA-24,R,2016,95000
CA-25,R,2016,96000
CA-36,R,2016,23500
CO-03,R,2016,96000
CO-06,R,2016,96000
FL-07,R,2016,96000
FL-18,R,2016,96000
FL-26,R,2016,90314
IA-01,R,2016,70012
IA-03,R,2016,96000
IL-10,R,2016,95000
IL-12,R,2016,96000
IN-09,R,2016,96000
KS-03,R,2016,96000
ME-02,R,2016,96000
MI-01,R,2016,95000
MI-07,R,2016,90000
MN-02,R,2016,96000
MN-03,R,2016,96000
MN-08,R,2016,95800
MT-01,R,2016,192000
NE-02,R,2016,96000
NH-01,R,2016,96000
NV-03,R,2016,96000
NV-04,R,2016,96000
NY-01,R,2016,96000
NY-03,R,2016,96000
NY-11,R,2016,107110
NY-19,R,2016,95900
NY-22,R,2016,95887
NY-24,R,2016,95000
PA-08,R,2016,96000
VA-05,R,2016,55000
VA-10,R,2016,95000
WI-08,R,2016,96000
