district_id,party,cycle,coordinated_expenditures
AK-00,D,2022,6000
AL-07,D,2022,5000
AZ-04,D,2022,1000
CA-01,D,2022,5000
CA-03,D,2022,5000
CA-20,D,2022,2000
CA-23,D,2022,1500
CO-03,D,2022,556
CO-08,D,2022,1666
FL-10,D,2022,3750
FL-27,D,2022,15000
IA-01,D,2022,5000
IA-02,D,2022,5000
IL-03,D,2022,6000
IL-13,D,2022,2000
IL-17,D,2022,9000
MN-04,D,2022,6650
NC-12,D,2022,150
NE-01,D,2022,-1500
NM-01,D,2022,2500
NY-15,D,2022,10000
OH-11,D,2022,2700
OK-01,D,2022,250
OK-02,D,2022,300
PA-10,D,2022,4750
PA-12,D,2022,1500
TX-03,D,2022,1000
TX-07,D,2022,500
TX-08,D,2022,300
TX-28,D,2022,500
TX-31,D,2022,500
UT-02,D,2022,967
UT-03,D,2022,967
UT-04,D,2022,967
WI-01,D,2022,5000
WI-05,D,2022,2000
WI-07,D,2022,3500
