district_id,party,cycle,coordinated_expenditures
AL-07,R,2022,5000
FL-04,R,2022,5000
FL-07,R,2022,5000
FL-13,R,2022,5000
FL-15,R,2022,5000
LA-02,R,2022,2500
ME-01,R,2022,3100
NC-10,R,2022,1500
NC-12,R,2022,1500
ND-00,R,2022,3500
NM-02,R,2022,5000
NY-01,R,2022,5000
NY-04,R,2022,5000
NY-18,R,2022,5000
NY-19,R,2022,5000
NY-20,R,2022,5000
NY-23,R,2022,5000
NY-25,R,2022,5000
OH-09,R,2022,5000
TX-13,R,2022,5000
TX-28,R,2022,5000
TX-34,R,2022,5000
WA-01,R,2022,5000
WA-02,R,2022,5000
WA-08,R,2022,5000
WI-02,R,2022,4825
WI-03,R,2022,0
WI-04,R,2022,4500
WI-08,R,2022,5000
WV-02,R,2022,5000
