district_id,party,cycle,support_oppose,amount
OH-01,D,2020,O,18172.06
CA-21,D,2020,O,12000.0
OH-01,D,2020,O,18172.06
CA-21,D,2020,O,12000.0
UT-04,D,2020,O,9228.05
SC-01,D,2020,O,17535.0
SC-01,D,2020,O,14135.0
NM-02,D,2020,O,25135.0
IL-13,D,2020,O,12000.0
AK-00,D,2020,O,246248.0
SC-01,D,2020,O,17535.0
NM-02,D,2020,O,25135.0
SC-01,D,2020,O,14135.0
AK-00,D,2020,O,246248.0
UT-04,D,2020,O,9228.05
IL-13,D,2020,O,12000.0
NY-02,D,2020,S,100030.0
OK-05,D,2020,O,50000.0
NE-02,D,2020,O,150000.0
VA-07,D,2020,O,4500.0
VA-07,D,2020,S,13500.0
UT-04,D,2020,O,380056.75
TX-24,D,2020,O,16000.0
TX-24,D,2020,O,40000.0
SC-01,D,2020,O,9090.91
OK-05,D,2020,O,7777.76
OK-05,D,2020,O,33542.0
NY-02,D,2020,S,25000.0
NE-02,D,2020,O,30040.0
MT-00,D,2020,O,49000.0
IL-13,D,2020,O,20000.0
CA-39,D,2020,O,26661.6
CA-25,D,2020,O,27000.0
TX-24,D,2020,O,40000.0
NY-02,D,2020,S,25000.0
MT-00,D,2020,O,49000.0
IL-13,D,2020,O,20000.0
TX-24,D,2020,O,16000.0
CA-39,D,2020,O,26661.6
VA-07,D,2020,O,4500.0
VA-07,D,2020,S,13500.0
SC-01,D,2020,O,9090.91
OK-05,D,2020,O,7777.76
NE-02,D,2020,O,150000.0
UT-04,D,2020,O,380056.75
NY-02,D,2020,S,100030.0
NE-02,D,2020,O,30040.0
CA-25,D,2020,O,27000.0
OK-05,D,2020,O,33542.0
OK-05,D,2020,O,50000.0
NY-02,D,2020,S,250030.0
NE-02,D,2020,S,11500.0
NE-02,D,2020,O,85004.3
NV-03,D,2020,O,50060.0
AR-02,D,2020,O,14255.2
NM-02,D,2020,O,11809.32
IN-05,D,2020,O,12000.0
NY-02,D,2020,S,250030.0
NV-03,D,2020,O,50060.0
NE-02,D,2020,O,85004.3
NM-02,D,2020,O,11809.32
NE-02,D,2020,S,11500.0
AR-02,D,2020,O,14255.2
IN-05,D,2020,O,12000.0
MO-02,D,2020,O,180000.0
VA-07,D,2020,O,21164.0
VA-05,D,2020,O,136845.0
VA-02,D,2020,S,14986.0
TX-24,D,2020,S,49994.0
TX-23,D,2020,S,75444.09
TX-21,D,2020,O,271122.04
PA-10,D,2020,O,328818.75
OK-05,D,2020,S,4998.0
OK-05,D,2020,O,14995.0
OK-05,D,2020,O,375733.0
OH-01,D,2020,O,65420.0
OH-01,D,2020,O,431046.0
NY-11,D,2020,O,262321.65
NY-02,D,2020,S,498992.57
NY-01,D,2020,O,251020.45
NV-03,D,2020,O,249135.5
NM-02,D,2020,S,14987.34
NM-02,D,2020,O,429775.0
NJ-03,D,2020,O,31257.05
NJ-02,D,2020,O,589677.0
NE-02,D,2020,S,3935.0
NC-08,D,2020,O,127969.0
MO-02,D,2020,O,240210.0
MN-07,D,2020,O,68544.0
MN-01,D,2020,O,44914.0
IL-13,D,2020,O,429942.5
GA-07,D,2020,O,42416.0
FL-26,D,2020,S,44370.0
CA-39,D,2020,O,72768.0
AR-02,D,2020,S,19960.0
AR-02,D,2020,O,150310.0
OK-05,D,2020,O,12000.0
MI-11,D,2020,O,10790.0
VA-05,D,2020,O,14245.56
VA-05,D,2020,O,19287.0
OH-01,D,2020,O,18172.06
CA-21,D,2020,O,12000.0
OH-01,D,2020,O,18172.06
CA-21,D,2020,O,12000.0
UT-04,D,2020,O,9228.05
SC-01,D,2020,O,17535.0
SC-01,D,2020,O,14135.0
NM-02,D,2020,O,25135.0
IL-13,D,2020,O,12000.0
AK-00,D,2020,O,246248.0
SC-01,D,2020,O,17535.0
NM-02,D,2020,O,25135.0
SC-01,D,2020,O,14135.0
AK-00,D,2020,O,246248.0
UT-04,D,2020,O,9228.05
IL-13,D,2020,O,12000.0
NY-02,D,2020,S,100030.0
OK-05,D,2020,O,50000.0
NE-02,D,2020,O,150000.0
VA-07,D,2020,O,4500.0
VA-07,D,2020,S,13500.0
UT-04,D,2020,O,380056.75
TX-24,D,2020,O,16000.0
TX-24,D,2020,O,40000.0
SC-01,D,2020,O,9090.91
OK-05,D,2020,O,7777.76
OK-05,D,2020,O,33542.0
NY-02,D,2020,S,25000.0
NE-02,D,2020,O,30040.0
MT-00,D,2020,O,49000.0
IL-13,D,2020,O,20000.0
CA-39,D,2020,O,26661.6
CA-25,D,2020,O,27000.0
TX-24,D,2020,O,40000.0
NY-02,D,2020,S,25000.0
MT-00,D,2020,O,49000.0
IL-13,D,2020,O,20000.0
