district_id,cycle,incumb_status,incumbent_name,challenger_name
AK-00,2012,Challenger,"YOUNG, DONALD E","MOORE, MATTHEW EDWARD"
AL-01,2012,Open,,
AL-02,2012,Challenger,"ROBY, MARTHA","BRIGHT SR, BOBBY NEAL"
AL-03,2012,Challenger,"ROGERS, MICHAEL DENNIS","SEGALL, JOSHUA STEVEN"
AL-04,2012,Challenger,"ADERHOLT, ROBERT BROWN","BOMAN, DANIEL HEATH"
AL-05,2012,Challenger,"GRIFFITH, R PARKER","RABY, STEPHEN WALKER"
AL-06,2012,Challenger,"BACHUS, SPENCER T III","BAILEY, PENNY HUGGINS"
AL-07,2012,Incumbent,"SEWELL, TERRYCINA ANDREA","CHAMBERLAIN, DON"
AR-01,2012,Challenger,"CRAWFORD, ERIC ALAN RICK","HALL, CLARK MADISON"
AR-02,2012,Challenger,"GRIFFIN, JOHN TIMOTHY","RULE, HERB C. III"
AR-03,2012,Challenger,"WOMACK, STEVE","ADEN, KENNETH WADE"
AR-04,2012,Incumbent,"ROSS, MICHAEL AVERY","COTTON, THOMAS"
AS-00,2012,Incumbent,"FALEOMAVAEGA, ENI",AUMUA AMATA
AZ-01,2012,Challenger,"PATON, JONATHAN","KIRKPATRICK, ANN"
AZ-02,2012,Open,,"BARBER, RONALD"
AZ-03,2012,Incumbent,"GRIJALVA, RAUL M","MERCER, GABRIELA SAUCEDO"
AZ-04,2012,Open,,
AZ-05,2012,Challenger,"SALMON, MATT","MITCHELL, HARRY E."
AZ-06,2012,Open,,"JETTE, MATTHEW T"
AZ-07,2012,Incumbent,"PASTOR, ED L","MCCLUNG, RUTH CRAWFORD"
AZ-08,2012,Incumbent,"GIFFORDS, GABRIELLE","FRANKS, TRENT"
AZ-09,2012,Challenger,"PARKER, VERNON","SINEMA, KYRSTEN"
CA-00,2012,Open,,
CA-01,2012,Challenger,"LAMALFA, DOUG","REED, JAMES E"
CA-02,2012,Open,,"HUFFMAN, JARED"
CA-03,2012,Incumbent,"GARAMENDI, JOHN","DOLBOW VANN, KIMBERLY"
CA-04,2012,Challenger,"MCCLINTOCK, THOMAS","UPPAL, JACK"
CA-05,2012,Incumbent,"THOMPSON, MIKE MR.","LOFTIN, JOSEPH R"
CA-06,2012,Incumbent,"MATSUI, DORIS","MCCRAY, JOSEPH SR"
CA-07,2012,Challenger,"LUNGREN, DANIEL E.","BERA, AMERISH"
CA-08,2012,Challenger,"LIBERATORE, PHILIP LAURENCE","PINKERTON, JOHN R"
CA-09,2012,Incumbent,"MCNERNEY, JERRY","GILL, RICKY"
CA-10,2012,Challenger,"DENHAM, JEFF","HERNANDEZ, JOSE M"
CA-11,2012,Incumbent,"MILLER, GEORGE","GOEHRING, BRAD"
CA-12,2012,Incumbent,"PELOSI, NANCY","DENNIS, JOHN"
CA-13,2012,Incumbent,"LEE, BARBARA",
CA-14,2012,Incumbent,"SPEIER, JACKIE","BACIGALUPI, DEBBIE"
CA-15,2012,Incumbent,"STARK, FORTNEY HILLMAN JR","KIRKLAND, SCOTT SPENCER"
CA-16,2012,Incumbent,"COSTA, JIM","WHELAN, BRIAN"
CA-17,2012,Incumbent,"HONDA, MIKE","LI, EVELYN"
CA-18,2012,Incumbent,"ESHOO, ANNA","BERRYHILL, MICHAEL CLARE SR"
CA-19,2012,Incumbent,"LOFGREN, ZOE","RADANOVICH, GEORGE"
CA-20,2012,Incumbent,"FARR, SAM","OLIVER, CLINT"
CA-21,2012,Challenger,"VALADAO, DAVID","XIONG, BLONG"
CA-22,2012,Challenger,"NUNES, DEVIN GERALD","LEE, OTTO"
CA-23,2012,Open,,
CA-24,2012,Incumbent,"CAPPS, LOIS","MALDONADO, ABEL"
CA-25,2012,Challenger,"MCKEON, HOWARD P. 'BUCK'","ROGERS, LEE C"
CA-26,2012,Challenger,"STRICKLAND, ANTHONY A.","BROWNLEY, JULIA"
CA-27,2012,Incumbent,"CHU, JUDY","ORSWELL, JACK"
CA-28,2012,Incumbent,"SCHIFF, ADAM","WORMAN, JENNY"
CA-29,2012,Challenger,"COLBERT, JOHN","CARDENAS, TONY"
CA-30,2012,Incumbent,"SHERMAN, BRAD","REED, MARK"
CA-31,2012,Challenger,"MILLER, GARY G","AGUILAR, PETE"
CA-32,2012,Incumbent,"NAPOLITANO, GRACE","MILLER, DAVID LAWRENCE"
CA-33,2012,Incumbent,"WAXMAN, HENRY A","DAVID, CHRISTOPHER"
CA-34,2012,Incumbent,"BECERRA, XAVIER",
CA-35,2012,Challenger,"BROWN, K BRUCE","BACA, JOE"
CA-36,2012,Challenger,"BONO MACK, MARY","RUIZ, RAUL DR."
CA-37,2012,Incumbent,"BASS, KAREN","PARKER, STAR"
CA-38,2012,Open,,
CA-39,2012,Incumbent,"SANCHEZ, LINDA","ROYCE, EDWARD R"
CA-40,2012,Incumbent,"ROYBAL-ALLARD, LUCILLE",
CA-41,2012,Open,,"TAKANO, MARK"
CA-42,2012,Challenger,"CALVERT, KENNETH S","SMITH, CLIFFORD J"
CA-43,2012,Incumbent,"WATERS, MAXINE",
CA-44,2012,Incumbent,"HAHN, JANICE","RIGGS, CHRISTOPHER SCOTT"
CA-45,2012,Challenger,"CAMPBELL, JOHN BT III","KANG, SUKHEE"
CA-46,2012,Incumbent,"SANCHEZ, LORETTA","HAYDEN, GERARD P"
CA-47,2012,Challenger,"DELONG, GARY","LOWENTHAL, ALAN"
CA-48,2012,Challenger,"ROHRABACHER, DANA","VARASTEH, RON"
CA-49,2012,Challenger,"ISSA, DARRELL","TETALMAN, JERRY"
CA-50,2012,Challenger,"HUNTER, DUNCAN D.","NASCENZI, ROBERT ANTHONY"
CA-51,2012,Open,,"VARGAS, JUAN C."
CA-52,2012,Challenger,"BILBRAY, BRIAN PHILLIP","PETERS, SCOTT"
CA-53,2012,Incumbent,"DAVIS, SUSAN A","POPADITCH, NICHOLAS ALLEN"
CO-01,2012,Incumbent,"DEGETTE, DIANA L.","STROUD, DANNY E"
CO-02,2012,Incumbent,"POLIS, JARED","WEISSMANN, ERIC A"
CO-03,2012,Challenger,"TIPTON, SCOTT R.","PACE, SALVATORE II"
CO-04,2012,Challenger,"GARDNER, CORY","SHAFFER, BRANDON"
CO-05,2012,Open,,
CO-06,2012,Challenger,"COFFMAN, MICHAEL","MIKLOSI, JOE"
CO-07,2012,Incumbent,"PERLMUTTER, EDWIN G","COORS, JOSEPH JR"
CT-01,2012,Incumbent,"LARSON, JOHN B","DECKER, JOHN HENRY"
CT-02,2012,Incumbent,"COURTNEY, JOSEPH D","COUTU, CHRISTOPHER D"
CT-03,2012,Incumbent,"DELAURO, ROSA L","WINSLEY, WAYNE ANTHONY"
CT-04,2012,Incumbent,"HIMES, JIM","OBSITNIK, STEPHEN"
CT-05,2012,Open,,"ESTY, ELIZABETH"
CT-06,2012,Challenger,,"GIANNAROS, DEMETRIOS S"
DC-00,2012,Incumbent,"NORTON, ELEANOR HOLMES","SMITH, MARJORIE (MISSY) REILLY"
DE-00,2012,Incumbent,"CARNEY, JOHN CHARLES JR","CASTLE, MICHAEL N"
FL-01,2012,Open,,
FL-02,2012,Challenger,"SOUTHERLAND, WILLIAM STEVE II","LAWSON, ALFRED J JR"
FL-03,2012,Open,,"GAILLOT, JACQUES RENE JR"
FL-04,2012,Open,,
FL-05,2012,Incumbent,"BROWN, CORRINE","KOLB, EUNA LEANNE"
FL-06,2012,Challenger,"DESANTIS, RONALD D","BEAVEN, HEATHER M"
FL-07,2012,Challenger,"MICA, JOHN L. MR.","RUIZ, NICHOLAS III"
FL-08,2012,Challenger,"POSEY, BILL","GUNTER, DAVID ALAN"
FL-09,2012,Challenger,"QUINONES, JOHN","GRAYSON, ALAN MARK"
FL-10,2012,Challenger,"WEBSTER, DANIEL","DEMINGS, VALDEZ VAL"
FL-11,2012,Challenger,"NUGENT, RICHARD B","SCHONBERG, STEVE"
FL-12,2012,Challenger,"BILIRAKIS, GUS MICHAEL","SNOW, JONATHAN MICHAEL"
FL-13,2012,Challenger,"YOUNG, C W BILL","EHRLICH, JESSICA D"
FL-14,2012,Incumbent,"CASTOR, KATHY","MACK, CONNIE"
FL-15,2012,Open,,
FL-16,2012,Challenger,"BUCHANAN, VERNON","FITZGERALD, KEITH"
FL-17,2012,Open,,"VEREEN, RODERICK D"
FL-18,2012,Challenger,"WEST, ALLEN B MR.","MURPHY, PATRICK"
FL-19,2012,Challenger,"KREEGEL, PAIGE VANIER","WEXLER, ROBERT"
FL-20,2012,Incumbent,"HASTINGS, ALCEE L L","DEFARIA, OSVALDO JR"
FL-21,2012,Incumbent,"DEUTCH, THEODORE ELIOT","DIAZ-BALART, LINCOLN"
FL-22,2012,Challenger,"HASNER, ADAM","FRANKEL, LOIS J."
FL-23,2012,Incumbent,"SCHULTZ, DEBBIE WASSERMAN","HARRINGTON, KAREN"
FL-24,2012,Incumbent,"WILSON, FREDERICA S","FEENEY, TOM"
FL-25,2012,Challenger,"DIAZ-BALART, MARIO","GARCIA, LUIS R JR"
FL-26,2012,Challenger,"RIVERA, DAVID","GARCIA, JOE"
FL-27,2012,Open,,
GA-01,2012,Challenger,"KINGSTON, JACK REP.","MESSINGER, LESLI RAE"
GA-02,2012,Incumbent,"BISHOP, SANFORD D JR","HOUSE, JOHN M"
GA-03,2012,Challenger,"WESTMORELAND, LYNN A.","SAUNDERS, ROBERT FRANKLIN III"
GA-04,2012,Incumbent,"JOHNSON, HENRY C 'HANK'","VAUGHN, JEFFERY CHRIS"
GA-05,2012,Incumbent,"LEWIS, JOHN R.","STOPECK, HOWARD"
GA-06,2012,Challenger,"PRICE, THOMAS EDMUNDS","KAZANOW, JEFFREY H"
GA-07,2012,Challenger,"LINDER, JOHN","REILLY, STEVEN M"
GA-08,2012,Challenger,"SCOTT, JAMES AUSTIN","MARSHALL, JIM"
GA-09,2012,Challenger,"COLLINS, DOUGLAS ALLEN","COOLEY, JOSEPH DILLARD III (JODY)"
GA-10,2012,Open,,
GA-11,2012,Challenger,"GINGREY, J. PHILLIP","THOMPSON, JOHN PATRICK"
GA-12,2012,Incumbent,"BARROW, JOHN J.","ANDERSON, LEE I"
GA-13,2012,Incumbent,"SCOTT, DAVID ALBERT","CRANE, MICHAEL ROBERT"
GA-14,2012,Challenger,"GRAVES, JOHN THOMAS MR. JR.","GRANT, DANIEL FRANK"
GU-00,2012,Incumbent,"BORDALLO, MADELEINE Z. MS.","BLAS, FRANK FLORES JR"
HI-01,2012,Incumbent,"HANABUSA, COLLEEN WAKAKO","DJOU, CHARLES K"
HI-02,2012,Incumbent,"HIRONO, MAZIE MRS.","WHARTON, RAMSAY PUANANI"
IA-01,2012,Incumbent,"BRALEY, BRUCE L","LANGE, BEN"
IA-02,2012,Incumbent,"LOEBSACK, DAVID WAYNE","ARCHER, JOHN HENRY"
IA-03,2012,Incumbent,"BOSWELL, LEONARD L.","LATHAM, THOMAS"
IA-04,2012,Challenger,"KING, STEVE MR.","VILSACK, CHRISTIE"
IA-05,2012,Challenger,"BALLENGER, JEFFREY A","CAMPBELL, MATTHEW"
ID-01,2012,Challenger,"LABRADOR, RAUL","MINNICK, WALTER CLIFFORD"
ID-02,2012,Challenger,"SIMPSON, MICHAEL K","LEFAVOUR, NICOLE"
IL-01,2012,Incumbent,"RUSH, BOBBY L","PELOQUIN, DONALD"
IL-02,2012,Incumbent,"JACKSON, JESSE JR","WOODWORTH, BRIAN"
IL-03,2012,Incumbent,"LIPINSKI, DANIEL","GRABOWSKI, RICHARD L"
IL-04,2012,Incumbent,"GUTIERREZ, LUIS V","CONCEPCION, HECTOR L"
IL-05,2012,Incumbent,"QUIGLEY, MIKE","RATOWITZ, DAVID"
IL-06,2012,Challenger,"ROSKAM, PETER","COOLIDGE, LESLIE ANNE"
IL-07,2012,Incumbent,"DAVIS, DANNY K",
IL-08,2012,Challenger,"WALSH, JOE","DUCKWORTH, L. TAMMY"
IL-09,2012,Incumbent,"SCHAKOWSKY, JANICE D","WOLFE, TIMOTHY C"
IL-10,2012,Challenger,"DOLD, ROBERT JAMES MR JR","SCHNEIDER, BRADLEY SCOTT"
