district_id,party,cycle,amount
AK-00,D,2022,2999382.17
AL-07,D,2022,34559.41
AZ-01,D,2022,1809146.91
AZ-02,D,2022,1535007.45
AZ-03,D,2022,4450.0
AZ-04,D,2022,3222666.46
AZ-06,D,2022,318824.99
AZ-07,D,2022,2000.0
AZ-09,D,2022,98882.31
CA-02,D,2022,1000.0
CA-03,D,2022,133545.9
CA-09,D,2022,109169.29
CA-10,D,2022,28781.0
CA-13,D,2022,1248165.98
CA-15,D,2022,106100.0
CA-22,D,2022,10621776.25
CA-23,D,2022,49841.66
CA-24,D,2022,59358.14
CA-25,D,2022,20000.0
CA-26,D,2022,780583.04
CA-27,D,2022,195530.12
CA-28,D,2022,4816.65
CA-34,D,2022,24431.25
CA-37,D,2022,187130.0
CA-39,D,2022,2003.48
CA-40,D,2022,111698.79
CA-41,D,2022,702708.59
CA-45,D,2022,441751.47
CA-47,D,2022,160129.84
CA-48,D,2022,8000.0
CA-49,D,2022,8690619.16
CA-50,D,2022,15116.04
CO-03,D,2022,668874.0
CO-06,D,2022,7851.84
CO-07,D,2022,1038769.97
CO-08,D,2022,6364996.94
CT-02,D,2022,14225.5
CT-05,D,2022,6642305.75
FL-09,D,2022,4239.389999999999
FL-10,D,2022,27759.12
FL-13,D,2022,7127633.28
FL-22,D,2022,2171.74
FL-23,D,2022,38450.92
FL-24,D,2022,1014.39
FL-26,D,2022,33895.66
FL-27,D,2022,370295.29000000004
FL-28,D,2022,30000.0
GA-02,D,2022,3193319.69
GA-04,D,2022,13.5
GA-05,D,2022,13.5
GA-06,D,2022,26421.309999999998
GA-07,D,2022,2076.92
GA-13,D,2022,50000.0
GA-14,D,2022,60212.67
IA-01,D,2022,54150.0
IA-03,D,2022,1990156.51
IL-02,D,2022,2106.62
IL-03,D,2022,2.25
IL-04,D,2022,32000.0
IL-06,D,2022,853428.1699999999
IL-13,D,2022,3483624.62
IL-14,D,2022,1188811.24
IL-17,D,2022,7456513.12
IN-01,D,2022,5321707.08
KS-03,D,2022,7284763.33
KY-04,D,2022,2046.95
LA-01,D,2022,49841.67
LA-03,D,2022,48648.0
MD-01,D,2022,23629.35
MD-06,D,2022,3623.1400000000003
ME-01,D,2022,4.5
ME-02,D,2022,10302511.93
MI-03,D,2022,3595088.62
MI-04,D,2022,4909.85
MI-05,D,2022,14891.14
MI-06,D,2022,5342.71
MI-07,D,2022,12561842.45
MI-08,D,2022,6333686.84
MI-09,D,2022,1318.97
MI-10,D,2022,21071.5
MI-11,D,2022,10162.75
MI-12,D,2022,8712.1
MI-13,D,2022,2650.83
MN-01,D,2022,7790.0
MN-02,D,2022,8768560.0
MN-05,D,2022,2076.92
MO-01,D,2022,2076.92
MO-02,D,2022,2000.0
MO-05,D,2022,12500.0
MO-08,D,2022,2000.0
NC-01,D,2022,5021177.7
NC-02,D,2022,195284.32
NC-05,D,2022,90865.0
NC-06,D,2022,9594.43
NC-12,D,2022,2884.69
NC-13,D,2022,4148488.29
NC-14,D,2022,82907.86
NE-02,D,2022,3616820.3
NE-04,D,2022,2275.0
NH-01,D,2022,7903890.89
NH-02,D,2022,1162231.93
NJ-02,D,2022,324.15
NJ-03,D,2022,198531.08000000002
NJ-05,D,2022,4365933.97
NJ-07,D,2022,2031839.0
NJ-08,D,2022,15126.25
NJ-11,D,2022,5253677.79
NM-01,D,2022,1700.0
NM-02,D,2022,6658858.99
NM-03,D,2022,373688.22
NV-01,D,2022,7562708.25
NV-02,D,2022,58987.41
NV-03,D,2022,9427160.15
NV-04,D,2022,6016369.53
NY-02,D,2022,530774.5
NY-03,D,2022,2846122.97
NY-04,D,2022,1508883.12
NY-06,D,2022,9600.0
NY-11,D,2022,9908.36
NY-14,D,2022,2076.92
NY-15,D,2022,9.0
NY-17,D,2022,4975842.0
NY-18,D,2022,5979503.47
NY-19,D,2022,5788627.32
NY-21,D,2022,79698.01
NY-22,D,2022,4709287.11
NY-24,D,2022,19610.0
NY-25,D,2022,279727.64
OH-01,D,2022,4226108.12
OH-04,D,2022,7709.0
OH-09,D,2022,2477346.54
OH-13,D,2022,7250707.09
OH-14,D,2022,1200.0
OR-04,D,2022,1750067.65
OR-05,D,2022,2773550.71
OR-06,D,2022,5702754.74
PA-01,D,2022,291752.38
PA-02,D,2022,4570.71
PA-03,D,2022,4570.7
PA-04,D,2022,18061.21
PA-05,D,2022,4581.9400000000005
PA-06,D,2022,982772.72
PA-07,D,2022,9933614.73
PA-08,D,2022,6035734.95
PA-09,D,2022,4570.71
PA-10,D,2022,23576.47
PA-11,D,2022,4570.68
PA-12,D,2022,1179609.02
PA-14,D,2022,4570.68
PA-15,D,2022,4570.71
PA-17,D,2022,8712532.15
RI-02,D,2022,3159150.02
TN-02,D,2022,120915.0
TN-05,D,2022,160260.91999999998
TN-07,D,2022,164491.11
TX-02,D,2022,35495.5
TX-07,D,2022,42.76
TX-09,D,2022,6.75
TX-15,D,2022,676199.15
TX-18,D,2022,8916.75
TX-20,D,2022,11.25
TX-21,D,2022,19455.0
TX-22,D,2022,34510.0
TX-24,D,2022,27969.41
TX-28,D,2022,9284804.76
TX-29,D,2022,6.75
TX-32,D,2022,6.75
TX-33,D,2022,6.75
TX-34,D,2022,5575794.85
TX-35,D,2022,4202.52
VA-01,D,2022,1730.8600000000001
VA-02,D,2022,5245406.86
VA-05,D,2022,3296.0
VA-06,D,2022,4453.5
VA-07,D,2022,12131239.09
VA-10,D,2022,76147.62
VA-11,D,2022,22530.79
VT-00,D,2022,54.09
WA-03,D,2022,1234004.15
WA-07,D,2022,2076.92
WA-08,D,2022,8947266.24
WI-03,D,2022,637359.1000000001
AK-00,R,2022,615717.97
AL-06,R,2022,140.0
AL-08,R,2022,38.08
AR-02,R,2022,15247.66
AR-04,R,2022,42132.13
AZ-01,R,2022,1075947.57
AZ-02,R,2022,2371348.53
AZ-04,R,2022,46292.81
AZ-06,R,2022,2826907.49
AZ-08,R,2022,26124.4
CA-03,R,2022,559321.26
CA-04,R,2022,93500.0
CA-13,R,2022,194977.27
CA-22,R,2022,7654100.95
CA-27,R,2022,4655711.81
CA-36,R,2022,11925.0
CA-40,R,2022,1191561.25
CA-41,R,2022,30594.1
CA-45,R,2022,104619.05
CA-47,R,2022,2314441.06
CA-48,R,2022,1065.6399999999999
CO-03,R,2022,87307.91
CO-07,R,2022,336231.69
CO-08,R,2022,4471063.6
CT-02,R,2022,235469.43
CT-04,R,2022,82969.21
CT-05,R,2022,125049.82
DE-00,R,2022,164326.7
FL-01,R,2022,8000.7
FL-02,R,2022,55590.0
FL-03,R,2022,165742.65
FL-04,R,2022,153984.0
FL-05,R,2022,49934.72
FL-06,R,2022,16319.93
FL-07,R,2022,2764.22
FL-08,R,2022,291.27
FL-09,R,2022,31731.18
FL-12,R,2022,24984.87
FL-13,R,2022,428925.1
FL-15,R,2022,302305.32
FL-16,R,2022,33361.91
FL-19,R,2022,10200.0
FL-20,R,2022,10000.0
FL-21,R,2022,25431.21
FL-22,R,2022,24000.0
FL-25,R,2022,46350.0
FL-27,R,2022,1445404.6
FL-28,R,2022,15491.07
GA-02,R,2022,31211.31
GA-06,R,2022,33000.0
GA-07,R,2022,5000.0
IA-01,R,2022,722770.22
IA-02,R,2022,1046080.63
IA-03,R,2022,4346108.8100000005
IL-03,R,2022,36690.24
IL-06,R,2022,106424.11
IL-10,R,2022,57350.39
IL-11,R,2022,1177406.87
IL-12,R,2022,24289.62
IL-13,R,2022,55837.52
IL-14,R,2022,15505.279999999999
IL-16,R,2022,15000.0
IL-17,R,2022,1257888.95
IN-01,R,2022,1713584.23
IN-02,R,2022,89998.3
IN-03,R,2022,50687.5
IN-04,R,2022,108048.39
IN-05,R,2022,157620.35
IN-06,R,2022,102619.25
IN-07,R,2022,16951.77
IN-08,R,2022,90939.45999999999
IN-09,R,2022,54648.5
KS-01,R,2022,2463.9300000000003
KS-02,R,2022,2463.93
KS-03,R,2022,204490.28
KS-04,R,2022,3674.2599999999998
KY-04,R,2022,20000.0
KY-06,R,2022,12940.0
LA-03,R,2022,1804.0
LA-06,R,2022,87341.53
MD-06,R,2022,6510.88
ME-02,R,2022,5200490.57
MI-01,R,2022,687.5
MI-03,R,2022,1414524.44
MI-04,R,2022,130096.06
MI-05,R,2022,2000.0
MI-07,R,2022,8846543.69
MI-08,R,2022,1730819.11
MI-10,R,2022,832763.23
MI-13,R,2022,13333.34
MN-01,R,2022,70974.68
MN-02,R,2022,3957378.62
MN-04,R,2022,8000.0
MN-05,R,2022,13333.33
MN-07,R,2022,13162.44
MO-02,R,2022,244592.53999999998
MO-04,R,2022,22500.0
MO-07,R,2022,17767.56
MS-04,R,2022,54500.0
MT-00,R,2022,939867.5
NC-01,R,2022,92806.61
NC-04,R,2022,36000.0
NC-05,R,2022,3940.0
NC-06,R,2022,54060.0
NC-09,R,2022,11275.0
NC-11,R,2022,5663.68
NC-12,R,2022,50000.0
NC-13,R,2022,3765050.64
NE-02,R,2022,2511648.7
NH-01,R,2022,4419771.21
NH-02,R,2022,3115.12
NJ-03,R,2022,3348924.5
NJ-04,R,2022,51564.25
NJ-05,R,2022,24000.0
NJ-07,R,2022,1622554.77
NM-02,R,2022,5671729.12
NM-03,R,2022,9099.6
NM-07,R,2022,3267.05
NV-00,R,2022,10372.45
NV-01,R,2022,812975.47
NV-02,R,2022,88285.66
NV-03,R,2022,4534271.32
NV-04,R,2022,2515679.28
NY-01,R,2022,78875.0
NY-02,R,2022,46809.78
NY-03,R,2022,3377.8
NY-14,R,2022,13333.33
NY-17,R,2022,1303624.61
NY-18,R,2022,88956.03
NY-19,R,2022,1779749.8
NY-21,R,2022,19000.0
NY-22,R,2022,2590155.84
OH-01,R,2022,2660199.67
OH-04,R,2022,1200.35
OH-07,R,2022,122440.57999999999
OH-08,R,2022,1804.0
OH-09,R,2022,759039.98
OH-13,R,2022,4186471.45
OK-02,R,2022,2326.35
OK-03,R,2022,18000.0
OR-04,R,2022,100569.53
OR-05,R,2022,943121.89
OR-06,R,2022,362500.0
PA-01,R,2022,128424.06
PA-06,R,2022,9000.0
