CD,Town,Clinton,Trump,Total,Clinton%,Trump%
1,Barkhamsted,905,"1,157","2,193",41.27%,52.76%
,Berlin,"4,913","6,210","11,591",42.39%,53.58%
,Bloomfield,"9,637","1,683","11,627",82.88%,14.47%
,Bristol,"12,499","12,752","26,421",47.31%,48.26%
,Colebrook,324,528,898,36.08%,58.80%
,Cromwell,"3,808","3,486","7,694",49.49%,45.31%
,East Granby,"1,389","1,371","2,945",47.16%,46.55%
,East Hartford,"13,180","5,213","19,032",69.25%,27.39%
,East Windsor,"2,441","2,606","5,294",46.11%,49.23%
,Glastonbury (pt.),"10,497","7,092","18,511",56.71%,38.31%
,Granby,"3,114","2,967","6,488",48.00%,45.73%
,Hartford,"30,375","2,531","33,663",90.23%,7.52%
,Hartland,349,804,"1,232",28.33%,65.26%
,Manchester,"15,109","8,358","24,800",60.92%,33.70%
,Middletown (pt.),"1,340",921,"2,360",56.78%,39.03%
,New Hartford,"1,654","2,243","4,120",40.15%,54.44%
,Newington,"8,425","6,557","15,674",53.75%,41.83%
,Portland,"2,494","2,491","5,253",47.48%,47.42%
,Rocky Hill,"5,090","4,331","9,830",51.78%,44.06%
,South Windsor,"7,721","5,557","13,942",55.38%,39.86%
,Southington,"9,890","12,383","23,291",42.46%,53.17%
,Torrington (pt.),"2,661","4,367","7,346",36.22%,59.45%
,West Hartford,"23,781","8,055","33,274",71.47%,24.21%
,Wethersfield,"7,734","5,794","14,169",54.58%,40.89%
,Winchester,"1,816","2,903","4,987",36.41%,58.21%
,Windsor,"11,370","4,013","15,999",71.07%,25.08%
,Windsor Locks,"2,789","3,022","6,140",45.42%,49.22%
1 Total,,"195,305","119,395","328,774",59.40%,36.32%
2,Andover,896,891,"1,908",46.96%,46.70%
,Ashford,"1,112","1,042","2,325",47.83%,44.82%
,Bolton,"1,385","1,436","2,990",46.32%,48.03%
,Bozrah,536,764,"1,389",38.59%,55.00%
,Brooklyn,"1,462","2,052","3,715",39.35%,55.24%
,Canterbury,932,"1,609","2,702",34.49%,59.55%
,Chaplin,434,624,"1,147",37.84%,54.40%
,Chester,"1,365",781,"2,269",60.16%,34.42%
,Clinton,"3,493","3,415","7,182",48.64%,47.55%
,Colchester,"3,898","4,108","8,556",45.56%,48.01%
,Columbia,"1,558","1,500","3,273",47.60%,45.83%
,Coventry,"3,083","3,262","6,771",45.53%,48.18%
,Deep River,"1,412","1,077","2,604",54.22%,41.36%
,East Haddam,"2,331","2,487","5,077",45.91%,48.99%
,East Hampton,"3,210","3,648","7,223",44.44%,50.51%
,East Lyme,"5,512","4,214","10,200",54.04%,41.31%
,Eastford,367,513,949,38.67%,54.06%
,Ellington,"3,531","4,199","8,167",43.23%,51.41%
,Enfield,"8,646","9,233","18,933",45.67%,48.77%
,Essex,"2,291","1,620","4,092",55.99%,39.59%
,Franklin,413,613,"1,093",37.79%,56.08%
,Glastonbury (pt.),577,441,"1,069",53.98%,41.25%
,Griswold,"1,934","3,012","5,267",36.72%,57.19%
,Groton,"8,453","5,936","15,323",55.17%,38.74%
,Haddam,"2,141","2,556","4,961",43.16%,51.52%
,Hampton,484,509,"1,057",45.79%,48.16%
,Hebron,"2,627","2,555","5,470",48.03%,46.71%
,Killingly,"2,491","3,916","6,874",36.24%,56.97%
,Killingworth,"1,895","1,943","4,012",47.23%,48.43%
,Lebanon,"1,583","2,115","3,938",40.20%,53.71%
,Ledyard,"3,336","3,471","7,273",45.87%,47.72%
