CD,County,Clinton,Trump,Total,Clinton%,Trump%
1,Escambia,"57,461","88,808","152,467",37.69%,58.25%
,Holmes (pt.),482,"4,813","5,400",8.93%,89.13%
,Okaloosa,"23,780","71,893","100,852",23.58%,71.29%
,Santa Rosa,"18,464","65,339","87,744",21.04%,74.47%
,Walton,"6,876","25,756","33,637",20.44%,76.57%
1 Total,,"107,063","256,609","380,100",28.17%,67.51%
2,Bay,"21,797","62,194","87,449",24.93%,71.12%
,Calhoun,"1,241","4,655","6,081",20.41%,76.55%
,Columbia (pt.),"5,850","18,606","25,107",23.30%,74.11%
,Dixie,"1,270","5,822","7,202",17.63%,80.84%
,Franklin,"1,744","4,125","6,015",28.99%,68.58%
,Gilchrist,"1,458","6,740","8,420",17.32%,80.05%
,Gulf,"1,720","5,329","7,293",23.58%,73.07%
,Holmes (pt.),371,"2,670","3,114",11.91%,85.75%
,Jackson,"6,397","14,257","21,039",30.41%,67.76%
,Jefferson (pt.),293,414,717,40.82%,57.76%
,Lafayette,518,"2,809","3,392",15.27%,82.81%
,Leon (pt.),"38,163","32,972","74,252",51.40%,44.41%
,Levy,"5,101","13,775","19,395",26.30%,71.02%
,Liberty,651,"2,543","3,296",19.75%,77.15%
,Marion (pt.),"9,334","17,713","27,687",33.71%,63.98%
,Suwannee,"3,964","14,287","18,693",21.21%,76.43%
,Taylor,"2,152","6,930","9,290",23.16%,74.60%
,Wakulla,"4,348","10,512","15,350",28.33%,68.48%
,Washington,"2,264","8,637","11,156",20.29%,77.42%
2 Total,,"108,636","234,991","354,948",30.61%,66.20%
3,Alachua,"75,820","46,834","128,569",58.97%,36.43%
,Bradford,"2,924","8,913","12,098",24.17%,73.67%
,Clay,"27,822","74,963","106,483",26.13%,70.40%
,Marion (pt.),"23,688","40,062","65,727",36.04%,60.95%
,Putnam,"10,094","22,138","33,117",30.48%,66.85%
,Union,"1,014","4,568","5,694",17.81%,80.22%
3 Total,,"141,362","197,478","351,688",40.20%,56.15%
4,Duval (pt.),"95,976","151,223","257,716",37.24%,58.68%
,Nassau,"10,869","34,266","46,607",23.32%,73.52%
,St. Johns (pt.),"36,830","76,338","117,294",31.40%,65.08%
4 Total,,"143,675","261,826","421,618",34.08%,62.10%
5,Baker,"2,112","10,294","12,634",16.72%,81.48%
,Columbia (pt.),"1,751","1,762","3,600",48.63%,48.94%
,Duval (pt.),"109,728","60,449","174,968",62.71%,34.55%
,Gadsden,"15,020","6,728","22,113",67.92%,30.43%
,Hamilton,"1,904","3,443","5,460",34.87%,63.06%
,Jefferson (pt.),"3,248","3,516","6,928",46.89%,50.75%
,Leon (pt.),"53,905","20,849","77,863",69.23%,26.78%
,Madison,"3,526","4,851","8,505",41.46%,57.04%
5 Total,,"191,194","111,892","312,071",61.27%,35.85%
6,Flagler,"22,026","33,850","57,503",38.30%,58.87%
,Lake (pt.),"14,067","26,737","42,222",33.32%,63.32%
,St. Johns (pt.),"6,269","12,346","19,219",32.62%,64.24%
,Volusia,"109,091","143,007","260,860",41.82%,54.82%
6 Total,,"151,453","215,941","379,804",39.88%,56.86%
