CD,County,Clinton,Trump,Total,Clinton%,Trump%
1,Lake,"116,935","75,625","200,349",58.37%,37.75%
,LaPorte (pt.),"11,747","10,181","23,173",50.69%,43.93%
,Porter,"33,676","38,832","76,761",43.87%,50.59%
1 Total,,"162,358","124,638","300,283",54.07%,41.51%
2,Elkhart,"20,740","41,867","65,323",31.75%,64.09%
,Fulton,"1,960","6,010","8,374",23.41%,71.77%
,Kosciusko (pt.),"2,095","8,830","11,421",18.34%,77.31%
,LaPorte (pt.),"8,051","12,506","21,833",36.88%,57.28%
,Marshall,"4,798","12,288","18,010",26.64%,68.23%
,Miami,"2,766","9,975","13,440",20.58%,74.22%
,Pulaski,"1,327","3,854","5,437",24.41%,70.88%
,St. Joseph,"52,252","52,021","109,459",47.74%,47.53%
,Starke,"2,489","6,367","9,226",26.98%,69.01%
,Wabash,"3,018","9,821","13,417",22.49%,73.20%
2 Total,,"99,496","163,539","275,940",36.06%,59.27%
3,Adams,"2,805","9,648","13,048",21.50%,73.94%
,Allen,"55,382","83,930","146,114",37.90%,57.44%
,Blackford (pt.),264,785,"1,113",23.72%,70.53%
,DeKalb,"3,942","12,054","16,817",23.44%,71.68%
,Huntington,"3,506","11,649","15,974",21.95%,72.92%
,Jay,"1,889","5,697","7,962",23.73%,71.55%
,Kosciusko (pt.),"4,218","15,105","20,514",20.56%,73.63%
,LaGrange,"2,080","7,025","9,552",21.78%,73.54%
,Noble,"3,904","12,198","16,890",23.11%,72.22%
,Steuben,"3,744","10,133","14,539",25.75%,69.70%
,Wells,"2,586","10,005","13,130",19.70%,76.20%
,Whitley,"3,379","11,358","15,536",21.75%,73.11%
3 Total,,"87,699","189,587","291,189",30.12%,65.11%
4,Benton,860,"2,579","3,654",23.54%,70.58%
,Boone (pt.),"3,434","10,233","14,644",23.45%,69.88%
,Carroll,"1,892","6,273","8,610",21.97%,72.86%
,Cass,"3,759","9,701","14,140",26.58%,68.61%
,Clinton,"2,819","8,531","11,897",23.70%,71.71%
,Fountain,"1,476","5,662","7,475",19.75%,75.75%
,Hendricks,"22,600","48,337","75,275",30.02%,64.21%
,Howard (pt.),"10,171","19,730","31,519",32.27%,62.60%
,Jasper,"3,329","9,382","13,331",24.97%,70.38%
,Montgomery,"3,362","11,059","15,109",22.25%,73.19%
,Morgan (pt.),"2,096","7,648","10,266",20.42%,74.50%
,Newton,"1,404","4,077","5,795",24.23%,70.35%
,Putnam,"3,356","10,637","14,680",22.86%,72.46%
,Tippecanoe,"27,282","30,768","62,052",43.97%,49.58%
,Warren,839,"2,898","3,921",21.40%,73.91%
,White,"2,590","6,893","10,013",25.87%,68.84%
4 Total,,"91,269","194,408","302,381",30.18%,64.29%
5,Blackford (pt.),979,"2,565","3,710",26.39%,69.14%
,Boone (pt.),"6,747","9,421","17,417",38.74%,54.09%
,Grant,"7,010","17,008","25,216",27.80%,67.45%
,Hamilton,"57,263","87,404","153,789",37.23%,56.83%
,Howard (pt.),"1,049","3,948","5,243",20.01%,75.30%
,Madison,"18,600","32,389","53,679",34.65%,60.34%
,Marion (pt.),"56,860","34,698","97,060",58.58%,35.75%
,Tipton,"1,587","5,589","7,510",21.13%,74.42%
5 Total,,"150,095","193,022","363,624",41.28%,53.08%
6,Bartholomew,"9,841","20,640","32,392",30.38%,63.72%
,Dearborn,"4,883","18,113","23,913",20.42%,75.75%
,Decatur,"2,121","8,490","11,098",19.11%,76.50%
,Delaware,"18,153","24,263","44,804",40.52%,54.15%
,Fayette,"2,252","6,839","9,530",23.63%,71.76%
,Franklin,"1,969","8,669","10,996",17.91%,78.84%
,Hancock,"8,904","25,074","36,055",24.70%,69.54%
,Henry,"5,124","13,895","20,075",25.52%,69.22%
,Jefferson,"4,326","8,546","13,470",32.12%,63.44%
,Jennings,"2,364","8,224","11,117",21.26%,73.98%
,Ohio,686,"2,118","2,917",23.52%,72.61%
,Randolph,"2,446","7,517","10,458",23.39%,71.88%
,Ripley,"2,471","9,806","12,790",19.32%,76.67%
,Rush,"1,525","5,292","7,214",21.14%,73.36%
,Scott (pt.),"1,219","2,894","4,260",28.62%,67.93%
,Shelby,"4,247","12,718","17,935",23.68%,70.91%
,Switzerland,930,"2,558","3,639",25.56%,70.29%
,Union,715,"2,445","3,286",21.76%,74.41%
