CD,County,Clinton,Trump,Total,Clinton%,Trump%
1,Cumberland ,"103,857","57,821","172,418",60.24%,33.54%
,Kennebec (pt.),"18,966","17,871","39,866",47.57%,44.83%
,Knox,"12,549","9,166","23,206",54.08%,39.50%
,Lincoln,"10,328","9,746","21,546",47.93%,45.23%
,Sagadahoc,"10,755","9,322","21,700",49.56%,42.96%
,York,"56,319","50,501","114,615",49.14%,44.06%
1 Total,,"212,773","154,425","393,351",54.09%,39.26%
2,Androscoggin,"23,205","28,282","55,687",41.67%,50.79%
,Aroostook,"13,500","19,457","35,137",38.42%,55.37%
,Franklin,"7,076","7,933","16,497",42.89%,48.09%
,Hancock,"16,254","13,732","32,202",50.47%,42.64%
,Kennebec (pt.),"10,585","13,866","26,503",39.94%,52.32%
,Oxford,"12,276","16,241","31,239",39.30%,51.99%
,Penobscot,"33,117","41,703","80,648",41.06%,51.71%
,Piscataquis,"3,124","5,416","9,188",34.01%,58.95%
,Somerset,"9,169","15,030","26,088",35.15%,57.61%
,Waldo,"10,529","10,398","22,747",46.29%,45.71%
,Washington,"6,127","9,111","16,405",37.35%,55.54%
2 Total,,"144,962","181,168","352,341",41.14%,51.42%
Grand Total,,"357,735","335,593","745,692",47.97%,45.00%
