CD,County,Clinton,Trump,Total,Clinton%,Trump%
1,Blue Earth,"14,428","15,667","33,256",43.38%,47.11%
,Brown,"3,763","8,708","13,663",27.54%,63.73%
,Cottonwood (pt.),406,"1,291","1,811",22.42%,71.29%
,Dodge,"3,102","6,527","10,564",29.36%,61.79%
,Faribault,"2,153","4,659","7,355",29.27%,63.34%
,Fillmore,"3,872","6,271","10,977",35.27%,57.13%
,Freeborn,"6,041","8,808","15,929",37.92%,55.30%
,Houston,"4,145","5,616","10,515",39.42%,53.41%
,Jackson,"1,492","3,609","5,453",27.36%,66.18%
,Le Sueur,"4,623","9,182","14,867",31.10%,61.76%
,Martin,"2,733","7,062","10,469",26.11%,67.46%
,Mower,"7,437","8,823","17,576",42.31%,50.20%
,Nicollet,"7,886","8,437","17,915",44.02%,47.09%
,Nobles,"2,733","5,299","8,591",31.81%,61.68%
,Olmsted,"36,268","35,668","79,280",45.75%,44.99%
,Rice (pt.),"6,117","10,874","18,359",33.32%,59.23%
,Rock,"1,373","3,091","4,807",28.56%,64.30%
,Steele,"6,241","11,198","19,042",32.77%,58.81%
,Waseca,"2,838","5,967","9,579",29.63%,62.29%
,Watonwan,"1,814","2,768","4,971",36.49%,55.68%
,Winona,"11,366","12,122","25,852",43.97%,46.89%
1 Total,,"130,831","181,647","340,831",38.39%,53.30%
2,Dakota,"110,483","99,583","228,866",48.27%,43.51%
,Goodhue,"9,446","14,041","25,538",36.99%,54.98%
,Rice (pt.),"8,320","4,555","13,858",60.04%,32.87%
,Scott,"28,502","39,948","74,389",38.31%,53.70%
,Wabasha,"3,866","6,989","11,764",32.86%,59.41%
,Washington (pt.),"10,670","10,691","23,472",45.46%,45.55%
2 Total,,"171,287","175,807","377,887",45.33%,46.52%
3,Anoka (pt.),"14,237","15,427","32,496",43.81%,47.47%
,Carver (pt.),"15,133","16,470","34,538",43.82%,47.69%
,Hennepin (pt.),"172,463","132,362","329,974",52.27%,40.11%
3 Total,,"201,833","164,259","397,008",50.84%,41.37%
4,Ramsey (pt.),"176,511","70,386","268,217",65.81%,26.24%
,Washington (pt.),"47,292","40,777","95,433",49.56%,42.73%
4 Total,,"223,803","111,163","363,650",61.54%,30.57%
5,Anoka (pt.),"15,512","8,954","26,828",57.82%,33.38%
,Hennepin (pt.),"256,663","59,073","342,128",75.02%,17.27%
,Ramsey (pt.),"1,227",508,"1,913",64.14%,26.56%
5 Total,,"273,402","68,535","370,869",73.72%,18.48%
6,Anoka (pt.),"45,751","68,958","124,759",36.67%,55.27%
,Benton,"5,640","12,872","19,911",28.33%,64.65%
,Carver (pt.),"6,375","12,586","20,563",31.00%,61.21%
,Hennepin (pt.),162,335,550,29.45%,60.91%
,Sherburne,"13,293","31,053","47,934",27.73%,64.78%
,Stearns (pt.),"22,650","36,508","64,141",35.31%,56.92%
,Washington (pt.),"9,124","12,960","23,937",38.12%,54.14%
,Wright,"20,334","43,274","69,152",29.40%,62.58%
6 Total,,"123,329","218,546","370,947",33.25%,58.92%
