CD,County,Clinton,Trump,Total,Clinton%,Trump%
1,Baldwin,"18,458","72,883","94,261",19.58%,77.32%
,Clarke (pt.),"1,409","2,863","4,325",32.57%,66.19%
,Escambia,"4,605","9,935","14,765",31.19%,67.29%
,Mobile,"72,186","95,116","171,384",42.12%,55.50%
,Monroe,"4,332","5,795","10,232",42.34%,56.64%
,Washington,"2,374","6,042","8,511",27.89%,70.99%
1 Total,,"103,364","192,634","303,478",34.06%,63.48%
2,Autauga,"5,936","18,172","24,759",23.98%,73.40%
,Barbour,"4,871","5,454","10,436",46.67%,52.26%
,Bullock,"3,530","1,140","4,702",75.07%,24.25%
,Butler,"3,726","4,901","8,705",42.80%,56.30%
,Coffee,"4,221","15,875","20,596",20.49%,77.08%
,Conecuh,"3,080","3,420","6,561",46.94%,52.13%
,Covington,"2,387","13,267","15,873",15.04%,83.58%
,Crenshaw,"1,664","4,513","6,256",26.60%,72.14%
,Dale,"4,413","13,808","18,633",23.68%,74.11%
,Elmore,"8,443","27,634","36,927",22.86%,74.83%
,Geneva,"1,525","9,994","11,692",13.04%,85.48%
,Henry,"2,292","5,632","8,032",28.54%,70.12%
,Houston,"10,664","30,728","42,315",25.20%,72.62%
,Montgomery (pt.),"32,491","23,274","57,123",56.88%,40.74%
,Pike,"5,056","7,693","13,054",38.73%,58.93%
2 Total,,"94,299","185,505","285,664",33.01%,64.94%
3,Calhoun,"13,242","32,865","47,485",27.89%,69.21%
,Chambers,"5,784","7,843","13,839",41.79%,56.67%
,Cherokee (pt.),"1,458","8,321","9,940",14.67%,83.71%
,Clay,"1,237","5,245","6,591",18.77%,79.58%
,Cleburne,684,"5,764","6,558",10.43%,87.89%
,Lee,"21,230","34,617","58,241",36.45%,59.44%
,Macon,"7,566","1,431","9,115",83.01%,15.70%
,Montgomery (pt.),"7,000","9,617","17,025",41.12%,56.48%
,Randolph,"2,291","7,705","10,139",22.60%,75.99%
,Russell,"9,579","9,210","19,138",50.05%,48.12%
,St. Clair,"5,589","31,651","38,054",14.69%,83.17%
,Talladega,"12,121","20,614","33,252",36.45%,61.99%
,Tallapoosa,"5,519","13,594","19,398",28.45%,70.08%
3 Total,,"93,300","188,477","288,776",32.31%,65.27%
4,Blount (pt.),165,"1,716","1,905",8.64%,90.08%
,Cherokee (pt.),89,632,733,12.11%,86.23%
,Colbert,"7,312","16,746","24,676",29.63%,67.86%
,Cullman,"3,798","32,989","37,608",10.10%,87.72%
,DeKalb,"3,622","21,405","25,637",14.13%,83.49%
,Etowah,"10,442","32,353","43,794",23.84%,73.88%
,Fayette,"1,362","6,712","8,207",16.60%,81.78%
,Franklin,"2,197","9,466","11,955",18.38%,79.18%
,Jackson (pt.),10,73,86,11.85%,85.47%
,Lamar,"1,036","5,823","6,936",14.94%,83.95%
,Lawrence,"3,627","10,833","14,741",24.60%,73.49%
,Marion,"1,432","11,274","12,913",11.09%,87.31%
,Marshall,"4,917","29,233","34,986",14.05%,83.56%
,Tuscaloosa (pt.),"5,345","20,912","26,976",19.81%,77.52%
,Walker,"4,497","24,266","29,313",15.34%,82.78%
,Winston,872,"9,228","10,260",8.50%,89.94%
4 Total,,"50,722","233,661","290,726",17.45%,80.37%
5,Jackson (pt.),"3,663","16,599","20,742",17.66%,80.02%
,Lauderdale,"9,952","27,899","39,060",25.48%,71.43%
,Limestone,"9,468","29,067","39,792",23.79%,73.05%
,Madison,"62,822","89,520","160,217",39.21%,55.87%
,Morgan,"11,254","37,486","50,126",22.45%,74.78%
5 Total,,"97,159","200,571","309,937",31.35%,64.71%
6,Bibb,"1,874","6,738","8,753",21.41%,76.98%
,Blount (pt.),"1,991","21,143","23,537",8.46%,89.83%
,Chilton,"2,911","15,081","18,272",15.93%,82.54%
,Coosa,"1,782","3,381","5,230",34.07%,64.65%
,Jefferson (pt.),"54,581","114,131","174,615",31.26%,65.36%
,Shelby,"22,977","73,020","99,442",23.11%,73.43%
6 Total,,"86,116","233,493","329,849",26.11%,70.79%
7,Choctaw,"3,109","4,106","7,273",42.75%,56.46%
,Clarke (pt.),"4,340","4,277","8,680",50.00%,49.28%
,Dallas,"12,836","5,789","18,745",68.48%,30.88%
,Greene,"4,013",838,"4,869",82.42%,17.21%
,Hale,"4,775","3,173","8,014",59.58%,39.59%
,Jefferson (pt.),"102,292","20,637","125,225",81.69%,16.48%
,Lowndes,"4,883","1,751","6,677",73.13%,26.22%
,Marengo,"5,615","5,233","10,965",51.21%,47.72%
,Montgomery (pt.),"19,424","1,113","20,747",93.62%,5.36%
,Perry,"3,824","1,407","5,260",72.70%,26.75%
,Pickens,"3,972","5,456","9,496",41.83%,57.46%
,Sumter,"4,746","1,581","6,398",74.18%,24.71%
,Tuscaloosa (pt.),"26,417","26,811","54,772",48.23%,48.95%
,Wilcox,"4,339","1,742","6,110",71.01%,28.51%
7 Total,,"204,586","83,915","293,231",69.77%,28.62%
Grand Total,,"729,547","1,318,255","2,101,660",34.71%,62.72%
