CD,County,Clinton,Trump,Total,Clinton%,Trump%
1,Apache,"17,083","8,240","27,013",63.24%,30.50%
,Coconino,"32,404","21,108","57,904",55.96%,36.45%
,Gila (pt.),"3,731","3,824","7,957",46.89%,48.06%
,Graham,"3,301","8,025","11,939",27.65%,67.22%
,Greenlee,"1,092","1,892","3,243",33.67%,58.34%
,Maricopa (pt.),416,47,490,84.90%,9.59%
,Mohave (pt.),222,63,299,74.25%,21.07%
,Navajo,"16,459","20,577","39,149",42.04%,52.56%
,Pima (pt.),"22,781","29,041","54,424",41.86%,53.36%
,Pinal (pt.),"28,454","35,075","66,820",42.58%,52.49%
,Yavapai (pt.),"6,931","8,036","15,735",44.05%,51.07%
1 Total,,"132,874","135,928","284,973",46.63%,47.70%
2,Cochise,"17,450","28,092","48,929",35.66%,57.41%
,Pima (pt.),"139,226","113,104","266,910",52.16%,42.38%
2 Total,,"156,676","141,196","315,839",49.61%,44.71%
3,Maricopa (pt.),"37,715","28,308","69,773",54.05%,40.57%
,Pima (pt.),"62,654","25,283","92,575",67.68%,27.31%
,Pinal (pt.),111,5,117,94.87%,4.27%
,Santa Cruz,"11,690","3,897","16,240",71.98%,24.00%
,Yuma (pt.),"18,296","10,459","30,229",60.52%,34.60%
3 Total,,"130,466","67,952","208,934",62.44%,32.52%
4,Gila (pt.),"3,272","10,358","14,243",22.97%,72.72%
,La Paz,"1,575","4,003","5,862",26.87%,68.29%
,Maricopa (pt.),"5,817","13,724","20,469",28.42%,67.05%
,Mohave (pt.),"17,233","58,219","78,817",21.86%,73.87%
,Pinal (pt.),"19,327","37,739","60,260",32.07%,62.63%
,Yavapai (pt.),"28,659","63,294","96,769",29.62%,65.41%
,Yuma (pt.),"6,309","14,706","22,063",28.60%,66.65%
4 Total,,"82,192","202,043","298,483",27.54%,67.69%
5,Maricopa (pt.),"121,280","191,432","332,093",36.52%,57.64%
5 Total,,"121,280","191,432","332,093",36.52%,57.64%
6,Maricopa (pt.),"143,571","177,332","338,331",42.44%,52.41%
6 Total,,"143,571","177,332","338,331",42.44%,52.41%
7,Maricopa (pt.),"117,958","37,232","164,399",71.75%,22.65%
7 Total,,"117,958","37,232","164,399",71.75%,22.65%
8,Maricopa (pt.),"120,992","190,163","327,325",36.96%,58.10%
8 Total,,"120,992","190,163","327,325",36.96%,58.10%
9,Maricopa (pt.),"155,158","109,123","283,863",54.66%,38.44%
9 Total,,"155,158","109,123","283,863",54.66%,38.44%
Grand Total,,"1,161,167","1,252,401","2,554,240",45.46%,49.03%
