CD,County,Clinton,Trump,Total,Clinton%,Trump%
1,Arkansas,"1,939","3,826","6,212",31.21%,61.59%
,Baxter,"4,169","14,682","19,766",21.09%,74.28%
,Chicot,"2,350","1,716","4,176",56.27%,41.09%
,Clay,"1,199","3,781","5,200",23.06%,72.71%
,Cleburne,"2,101","9,458","12,085",17.39%,78.26%
,Craighead,"10,538","22,892","35,573",29.62%,64.35%
,Crittenden,"8,410","6,964","15,952",52.72%,43.66%
,Cross,"1,999","4,584","6,874",29.08%,66.69%
,Desha,"2,228","1,919","4,257",52.34%,45.08%
,Fulton,"1,067","3,471","4,772",22.36%,72.74%
,Greene,"3,071","10,720","14,600",21.03%,73.42%
,Independence,"2,881","9,936","13,614",21.16%,72.98%
,Izard,"1,113","4,042","5,448",20.43%,74.19%
,Jackson,"1,583","3,267","5,156",30.70%,63.36%
,Jefferson (pt.),315,151,490,64.25%,30.75%
,Lawrence,"1,263","4,064","5,685",22.22%,71.49%
,Lee,"1,735","1,229","3,026",57.34%,40.61%
,Lincoln,"1,252","2,455","3,826",32.72%,64.17%
,Lonoke,"5,664","19,958","27,100",20.90%,73.65%
,Mississippi,"5,670","7,061","13,204",42.94%,53.48%
,Monroe,"1,312","1,489","2,884",45.49%,51.63%
,Phillips,"4,310","2,446","6,953",61.99%,35.18%
,Poinsett,"1,880","5,502","7,722",24.35%,71.25%
,Prairie,814,"2,505","3,444",23.64%,72.74%
,Randolph,"1,425","4,509","6,379",22.34%,70.69%
,Searcy (pt.),576,"2,749","3,492",16.49%,78.72%
,Sharp,"1,472","5,407","7,249",20.31%,74.59%
,St. Francis,"4,031","3,195","7,430",54.25%,43.00%
,Stone,"1,203","4,113","5,577",21.57%,73.75%
,Woodruff,"1,118","1,347","2,571",43.49%,52.39%
1 Total,,"78,688","169,438","260,717",30.18%,64.99%
2,Conway,"2,656","4,849","7,927",33.51%,61.17%
,Faulkner,"14,629","29,346","47,527",30.78%,61.75%
,Perry,"1,049","3,008","4,306",24.36%,69.86%
,Pulaski,"89,574","61,257","159,776",56.06%,38.34%
,Saline,"13,256","35,863","52,100",25.44%,68.83%
,Van Buren,"1,549","5,382","7,339",21.11%,73.33%
,White,"5,170","21,077","27,999",18.46%,75.28%
2 Total,,"127,883","160,782","306,974",41.66%,52.38%
3,Benton,"28,005","60,871","96,824",28.92%,62.87%
,Boone,"2,926","12,235","16,111",18.16%,75.94%
,Carroll,"3,342","6,786","10,758",31.07%,63.08%
,Crawford (pt.),"3,279","11,954","16,181",20.26%,73.88%
,Marion,"1,434","5,336","7,107",20.18%,75.08%
,Newton (pt.),172,"1,019","1,227",14.02%,83.05%
,Pope,"5,000","16,256","22,569",22.15%,72.03%
,Searcy (pt.),25,206,236,10.59%,87.29%
,Sebastian (pt.),"11,532","24,782","39,289",29.35%,63.08%
,Washington,"33,366","41,476","81,861",40.76%,50.67%
3 Total,,"89,081","180,921","292,163",30.49%,61.92%
4,Ashley,"2,408","5,338","8,083",29.79%,66.04%
,Bradley,"1,317","2,164","3,653",36.05%,59.24%
,Calhoun,639,"1,556","2,269",28.16%,68.58%
,Clark,"3,620","4,404","8,526",42.46%,51.65%
,Cleveland,723,"2,462","3,354",21.56%,73.40%
,Columbia,"3,140","5,456","8,887",35.33%,61.39%
,Crawford (pt.),"1,209","4,732","6,269",19.29%,75.48%
,Dallas,"1,165","1,509","2,771",42.04%,54.46%
,Drew,"2,365","3,968","6,595",35.86%,60.17%
,Franklin,"1,376","5,039","6,770",20.32%,74.43%
,Garland,"12,311","26,087","40,805",30.17%,63.93%
,Grant,"1,373","5,725","7,445",18.44%,76.90%
,Hempstead,"2,377","4,401","7,049",33.72%,62.43%
,Hot Spring,"3,149","8,172","11,944",26.36%,68.42%
,Howard,"1,351","3,157","4,674",28.90%,67.54%
,Jefferson (pt.),"15,457","9,099","25,404",60.85%,35.82%
,Johnson,"2,427","6,091","9,112",26.64%,66.85%
,Lafayette,"1,032","1,758","2,860",36.08%,61.47%
,Little River,"1,397","3,605","5,227",26.73%,68.97%
,Logan,"1,715","5,746","7,921",21.65%,72.54%
,Madison,"1,588","4,928","6,841",23.21%,72.04%
,Miller,"4,273","11,294","16,091",26.56%,70.19%
,Montgomery,748,"2,643","3,559",21.02%,74.26%
,Nevada,"1,157","2,000","3,246",35.64%,61.61%
,Newton (pt.),527,"1,856","2,526",20.86%,73.48%
,Ouachita,"4,321","5,351","9,935",43.49%,53.86%
,Pike,685,"3,150","3,981",17.21%,79.13%
,Polk,"1,212","6,618","8,231",14.72%,80.40%
,Scott,602,"2,731","3,510",17.15%,77.81%
,Sebastian (pt.),768,"4,345","5,348",14.36%,81.25%
,Sevier,"1,075","3,282","4,562",23.56%,71.94%
,Union,"5,855","10,456","16,894",34.66%,61.89%
,Yell,"1,480","4,608","6,439",22.98%,71.56%
4 Total,,"84,842","173,731","270,781",31.33%,64.16%
Grand Total,,"380,494","684,872","1,130,635",33.65%,60.57%
