CD,County,Clinton,Trump,Total,Clinton%,Trump%
1,Butte,"41,567","45,144","94,431",44.02%,47.81%
,Glenn (pt.),182,741,968,18.80%,76.55%
,Lassen,"2,224","7,574","10,422",21.34%,72.67%
,Modoc,877,"2,696","3,758",23.34%,71.74%
,Nevada (pt.),"20,979","21,386","46,412",45.20%,46.08%
,Placer (pt.),"8,494","13,736","23,781",35.72%,57.76%
,Plumas,"3,459","5,420","9,505",36.39%,57.02%
,Shasta,"22,301","51,778","79,090",28.20%,65.47%
,Sierra,601,"1,048","1,804",33.31%,58.09%
,Siskiyou,"7,234","11,341","20,113",35.97%,56.39%
,Tehama,"6,809","15,494","23,684",28.75%,65.42%
1 Total,,"114,727","176,358","313,968",36.54%,56.17%
2,Del Norte,"3,485","5,134","9,361",37.23%,54.84%
,Humboldt,"33,200","18,373","57,796",57.44%,31.79%
,Marin,"108,707","21,771","138,118",78.71%,15.76%
,Mendocino,"22,079","10,888","36,557",60.40%,29.78%
,Sonoma (pt.),"68,472","21,567","97,551",70.19%,22.11%
,Trinity,"2,214","2,812","5,588",39.62%,50.32%
2 Total,,"238,157","80,545","344,971",69.04%,23.35%
3,Colusa,"2,661","3,551","6,596",40.34%,53.84%
,Glenn (pt.),"2,883","5,047","8,411",34.28%,60.00%
,Lake (pt.),"5,198","4,730","10,912",47.64%,43.35%
,Sacramento (pt.),"4,781","6,497","12,086",39.56%,53.76%
,Solano (pt.),"58,219","39,489","104,367",55.78%,37.84%
,Sutter,"13,076","18,176","33,269",39.30%,54.63%
,Yolo (pt.),"44,154","15,200","63,696",69.32%,23.86%
,Yuba,"7,910","13,170","22,749",34.77%,57.89%
3 Total,,"138,882","105,860","262,086",52.99%,40.39%
4,Alpine,334,217,600,55.67%,36.17%
,Amador,"6,004","10,485","17,575",34.16%,59.66%
,Calaveras,"7,944","13,511","23,039",34.48%,58.64%
,El Dorado,"36,404","49,247","92,293",39.44%,53.36%
,Fresno (pt.),"1,575","5,272","7,235",21.77%,72.87%
,Madera (pt.),"4,195","9,075","14,039",29.88%,64.64%
,Mariposa,"3,122","5,185","8,877",35.17%,58.41%
,Nevada (pt.),"5,074","1,979","7,658",66.26%,25.84%
,Placer (pt.),"65,015","81,402","156,850",41.45%,51.90%
,Tuolumne,"9,123","14,551","25,222",36.17%,57.69%
4 Total,,"138,790","190,924","353,388",39.27%,54.03%
5,Contra Costa (pt.),"29,345","8,532","40,055",73.26%,21.30%
,Lake (pt.),"6,302","5,873","13,320",47.31%,44.09%
,Napa,"39,199","17,411","60,630",64.65%,28.72%
,Solano (pt.),"44,141","12,431","59,742",73.89%,20.81%
,Sonoma (pt.),"91,963","29,841","131,305",70.04%,22.73%
5 Total,,"210,950","74,088","305,052",69.15%,24.29%
6,Sacramento (pt.),"158,089","54,010","226,632",69.76%,23.83%
,Yolo (pt.),"10,598","5,539","17,278",61.34%,32.06%
6 Total,,"168,687","59,549","243,910",69.16%,24.41%
7,Sacramento (pt.),"159,066","124,249","304,118",52.30%,40.86%
7 Total,,"159,066","124,249","304,118",52.30%,40.86%
8,Inyo,"3,155","4,248","7,996",39.46%,53.13%
,Mono,"2,773","2,111","5,271",52.61%,40.05%
,San Bernardino (pt.),"86,306","121,105","219,568",39.31%,55.16%
8 Total,,"92,234","127,464","232,835",39.61%,54.74%
9,Contra Costa (pt.),"44,196","27,166","75,584",58.47%,35.94%
,Sacramento (pt.),"4,087","5,033","9,790",41.75%,51.41%
,San Joaquin (pt.),"86,436","58,285","152,817",56.56%,38.14%
9 Total,,"134,719","90,484","238,191",56.56%,37.99%
10,San Joaquin (pt.),"34,688","30,651","69,329",50.03%,44.21%
,Stanislaus,"81,647","78,494","170,351",47.93%,46.08%
10 Total,,"116,335","109,145","239,680",48.54%,45.54%
11,Contra Costa (pt.),"223,559","70,869","312,568",71.52%,22.67%
11 Total,,"223,559","70,869","312,568",71.52%,22.67%
12,San Francisco (pt.),"309,221","31,158","358,774",86.19%,8.68%
12 Total,,"309,221","31,158","358,774",86.19%,8.68%
13,Alameda (pt.),"291,926","22,743","334,194",87.35%,6.81%
13 Total,,"291,926","22,743","334,194",87.35%,6.81%
14,San Francisco (pt.),"35,863","6,530","44,584",80.44%,14.65%
,San Mateo (pt.),"193,145","47,699","253,159",76.29%,18.84%
14 Total,,"229,008","54,229","297,743",76.91%,18.21%
15,Alameda (pt.),"176,777","59,419","251,174",70.38%,23.66%
,Contra Costa (pt.),"22,187","9,389","33,362",66.50%,28.14%
15 Total,,"198,964","68,808","284,536",69.93%,24.18%
16,Fresno (pt.),"48,353","18,806","71,113",67.99%,26.45%
,Madera (pt.),"12,834","14,282","28,736",44.66%,49.70%
,Merced,"37,317","28,725","70,115",53.22%,40.97%
16 Total,,"98,504","61,813","169,964",57.96%,36.37%
17,Alameda (pt.),"46,139","13,760","63,294",72.90%,21.74%
,Santa Clara (pt.),"137,662","37,166","185,401",74.25%,20.05%
