CD,County,Clinton,Trump,Total,Clinton%,Trump%
1,Arapahoe (pt.),"15,540","9,257","27,501",56.51%,33.66%
,Denver,"244,551","62,690","331,852",73.69%,18.89%
,Jefferson (pt.),"17,699","21,539","43,100",41.06%,49.97%
1 Total,,"277,790","93,486","402,453",69.02%,23.23%
2,Boulder (pt.),"104,612","24,411","138,896",75.32%,17.58%
,Broomfield,"19,731","14,367","37,689",52.35%,38.12%
,Clear Creek,"2,729","2,575","5,866",46.52%,43.90%
,Eagle (pt.),"4,172","1,955","6,763",61.69%,28.91%
,Gilpin,"1,634","1,566","3,576",45.69%,43.79%
,Grand,"3,358","4,494","8,588",39.10%,52.33%
,Jefferson (pt.),"24,378","23,808","52,710",46.25%,45.17%
,Larimer,"93,113","83,430","195,980",47.51%,42.57%
,Park (pt.),"1,682","3,063","5,222",32.21%,58.66%
,Summit,"9,557","5,100","16,174",59.09%,31.53%
2 Total,,"264,966","164,769","471,464",56.20%,34.95%
3,Alamosa,"3,189","3,046","6,939",45.96%,43.90%
,Archuleta,"2,500","4,264","7,339",34.06%,58.10%
,Conejos,"1,771","1,914","4,022",44.03%,47.59%
,Costilla,"1,125",588,"1,848",60.88%,31.82%
,Custer,797,"2,061","3,066",25.99%,67.22%
,Delta,"4,087","11,655","16,790",24.34%,69.42%
,Dolores,242,944,"1,255",19.28%,75.22%
,Eagle (pt.),"9,927","7,035","18,460",53.78%,38.11%
,Garfield,"11,271","13,132","26,470",42.58%,49.61%
,Gunnison,"5,128","3,289","9,412",54.48%,34.94%
,Hinsdale,197,339,589,33.45%,57.56%
,Huerfano,"1,633","1,883","3,783",43.17%,49.78%
,Jackson,171,629,861,19.86%,73.05%
,La Plata,"15,525","12,587","31,150",49.84%,40.41%
,Lake,"1,616","1,270","3,199",50.52%,39.70%
,Mesa,"21,729","49,779","77,653",27.98%,64.10%
,Mineral,237,344,652,36.35%,52.76%
,Moffat,874,"5,305","6,525",13.39%,81.30%
,Montezuma,"3,973","7,853","12,858",30.90%,61.07%
,Montrose,"5,466","14,382","21,186",25.80%,67.88%
,Ouray,"1,697","1,351","3,310",51.27%,40.82%
,Pitkin,"7,333","2,550","10,523",69.69%,24.23%
,Pueblo,"35,875","36,265","78,646",45.62%,46.11%
,Rio Blanco,436,"2,791","3,450",12.64%,80.90%
,Rio Grande,"2,001","3,085","5,534",36.16%,55.75%
,Routt,"7,600","5,230","13,986",54.34%,37.39%
,Saguache,"1,417","1,147","2,835",49.98%,40.46%
,San Juan,265,215,506,52.37%,42.49%
,San Miguel,"2,975","1,033","4,329",68.72%,23.86%
3 Total,,"151,057","195,966","377,176",40.05%,51.96%
4,Adams (pt.),765,"3,033","4,107",18.63%,73.85%
,Arapahoe (pt.),779,"3,218","4,291",18.15%,74.99%
,Baca,283,"1,753","2,153",13.14%,81.42%
,Bent,590,"1,188","1,927",30.62%,61.65%
,Boulder (pt.),"27,722","16,985","49,246",56.29%,34.49%
,Cheyenne,132,925,"1,102",11.98%,83.94%
,Crowley,339,"1,079","1,527",22.20%,70.66%
,Douglas (pt.),"42,979","72,270","126,286",34.03%,57.23%
,Elbert,"3,134","11,705","15,978",19.61%,73.26%
,Kiowa,91,728,855,10.64%,85.15%
,Kit Carson,536,"2,967","3,702",14.48%,80.15%
,Las Animas,"2,650","3,710","6,793",39.01%,54.62%
,Lincoln,409,"1,892","2,436",16.79%,77.67%
,Logan,"1,851","7,282","9,722",19.04%,74.90%
,Morgan,"3,151","8,145","11,960",26.35%,68.10%
,Otero,"2,943","4,928","8,452",34.82%,58.31%
,Phillips,436,"1,791","2,332",18.70%,76.80%
,Prowers,"1,186","3,531","5,016",23.64%,70.39%
,Sedgwick,267,"1,015","1,364",19.57%,74.41%
,Washington,296,"2,299","2,733",10.83%,84.12%
,Weld,"46,519","76,651","135,428",34.35%,56.60%
,Yuma,726,"3,850","4,791",15.15%,80.36%
4 Total,,"137,784","230,945","402,201",34.26%,57.42%
5,Chaffee,"4,888","5,391","11,250",43.45%,47.92%
,El Paso,"108,010","179,228","318,967",33.86%,56.19%
,Fremont,"5,297","15,122","21,973",24.11%,68.82%
,Park (pt.),"1,739","3,072","5,195",33.47%,59.13%
,Teller,"3,603","9,745","14,444",24.94%,67.47%
5 Total,,"123,537","212,558","371,829",33.22%,57.17%
6,Adams (pt.),"21,855","22,234","48,059",45.48%,46.26%
,Arapahoe (pt.),"143,566","104,578","271,254",52.93%,38.55%
,Douglas (pt.),"25,678","30,303","61,213",41.95%,49.50%
6 Total,,"191,099","157,115","380,526",50.22%,41.29%
7,Adams (pt.),"73,938","54,815","141,499",52.25%,38.74%
,Jefferson (pt.),"118,699","92,830","233,072",50.93%,39.83%
7 Total,,"192,637","147,645","374,571",51.43%,39.42%
Grand Total,,"1,338,870","1,202,484","2,780,220",48.16%,43.25%
