CD,County,Clinton,Trump,Total,Clinton%,Trump%
1,Bacon,608,"3,364","4,019",15.13%,83.70%
,Brantley,619,"5,567","6,292",9.84%,88.48%
,Bryan,"4,014","10,529","15,085",26.61%,69.80%
,Camden,"5,930","12,310","18,869",31.43%,65.24%
,Charlton,"1,004","2,951","4,009",25.04%,73.61%
,Chatham,"62,290","45,688","111,481",55.87%,40.98%
,Clinch,686,"1,727","2,447",28.03%,70.58%
,Echols,156,"1,007","1,176",13.27%,85.63%
,Effingham (pt.),"2,967","11,238","14,626",20.29%,76.84%
,Glynn,"11,775","21,512","34,112",34.52%,63.06%
,Liberty,"9,556","6,134","16,117",59.29%,38.06%
,Long,"1,360","2,626","4,117",33.03%,63.78%
,Lowndes (pt.),538,888,"1,472",36.55%,60.33%
,McIntosh,"2,303","3,487","5,903",39.01%,59.07%
,Pierce,903,"6,302","7,298",12.37%,86.35%
,Ware,"3,440","8,513","12,159",28.29%,70.01%
,Wayne,"2,041","8,153","10,386",19.65%,78.50%
1 Total,,"110,190","151,996","269,568",40.88%,56.39%
2,Baker,650,775,"1,440",45.14%,53.82%
,Bibb (pt.),"28,153","11,828","40,718",69.14%,29.05%
,Calhoun,"1,179",830,"2,025",58.22%,40.99%
,Chattahoochee,594,751,"1,390",42.73%,54.03%
,Clay,697,566,"1,271",54.84%,44.53%
,Crawford,"1,421","3,635","5,162",27.53%,70.42%
,Crisp,"2,837","4,549","7,512",37.77%,60.56%
,Decatur,"4,124","6,020","10,270",40.16%,58.62%
,Dooly,"1,872","1,951","3,859",48.51%,50.56%
,Dougherty,"23,311","10,232","34,018",68.53%,30.08%
,Early,"2,168","2,552","4,785",45.31%,53.33%
,Grady,"3,013","6,053","9,201",32.75%,65.79%
,Lee,"3,170","10,646","14,115",22.46%,75.42%
,Macon,"2,705","1,540","4,287",63.10%,35.92%
,Marion,"1,213","1,921","3,183",38.11%,60.35%
,Miller,623,"1,891","2,544",24.49%,74.33%
,Mitchell,"3,493","4,279","7,865",44.41%,54.41%
,Muscogee (pt.),"33,704","14,421","49,327",68.33%,29.23%
,Peach,"5,100","5,413","10,724",47.56%,50.48%
,Quitman,461,575,"1,044",44.16%,55.08%
,Randolph,"1,598","1,271","2,897",55.16%,43.87%
,Schley,401,"1,472","1,909",21.01%,77.11%
,Seminole,"1,189","2,345","3,582",33.19%,65.47%
,Stewart,"1,222",805,"2,055",59.46%,39.17%
,Sumter,"5,520","5,276","10,974",50.30%,48.08%
,Talbot,"2,002","1,196","3,244",61.71%,36.87%
,Taylor,"1,296","2,064","3,405",38.06%,60.62%
,Terrell,"2,267","1,874","4,181",54.22%,44.82%
,Webster,473,630,"1,116",42.38%,56.45%
2 Total,,"136,455","107,361","248,103",55.00%,43.27%
3,Carroll,"12,464","30,029","43,839",28.43%,68.50%
,Coweta,"16,583","42,533","61,351",27.03%,69.33%
,Fayette (pt.),"17,161","30,964","49,962",34.35%,61.98%
,Harris,"4,086","11,936","16,401",24.91%,72.78%
,Heard,743,"3,370","4,206",17.67%,80.12%
,Henry (pt.),"15,112","12,859","28,759",52.55%,44.71%
,Lamar,"2,270","5,190","7,586",29.92%,68.42%
,Meriwether,"3,804","5,222","9,191",41.39%,56.82%
