CD,County,Clinton,Trump,Total,Clinton%,Trump%
1,Ada (pt.),"26,932","59,433","99,873",26.97%,59.51%
,Adams,415,"1,556","2,183",19.01%,71.28%
,Benewah,770,"3,103","4,184",18.40%,74.16%
,Boise,777,"2,673","3,812",20.38%,70.12%
,Bonner,"5,819","13,343","20,925",27.81%,63.77%
,Boundary,933,"3,789","5,162",18.07%,73.40%
,Canyon,"16,883","47,222","72,765",23.20%,64.90%
,Clearwater,704,"2,852","3,801",18.52%,75.03%
,Gem,"1,229","5,980","7,952",15.46%,75.20%
,Idaho,"1,196","6,441","8,226",14.54%,78.30%
,Kootenai,"16,264","44,449","66,286",24.54%,67.06%
,Latah,"8,093","7,265","18,156",44.57%,40.01%
,Lewis,270,"1,202","1,590",16.98%,75.60%
,Nez Perce,"4,828","10,699","17,195",28.08%,62.22%
,Owyhee,591,"3,052","3,924",15.06%,77.78%
,Payette,"1,507","6,489","8,704",17.31%,74.55%
,Shoshone,"1,384","3,297","5,120",27.03%,64.39%
,Valley,"1,913","2,906","5,349",35.76%,54.33%
,Washington,776,"3,283","4,454",17.42%,73.71%
1 Total,,"91,284","229,034","359,661",25.38%,63.68%
2,Ada (pt.),"48,745","34,319","95,753",50.91%,35.84%
,Bannock,"10,342","17,180","33,405",30.96%,51.43%
,Bear Lake,255,"2,203","2,928",8.71%,75.24%
,Bingham,"2,924","10,907","16,625",17.59%,65.61%
,Blaine,"6,416","3,340","10,723",59.83%,31.15%
,Bonneville,"8,930","26,699","44,212",20.20%,60.39%
,Butte,160,914,"1,230",13.01%,74.31%
,Camas,110,410,590,18.64%,69.49%
,Caribou,271,"2,275","3,035",8.93%,74.96%
,Cassia,"1,036","5,949","8,178",12.67%,72.74%
,Clark,44,203,283,15.55%,71.73%
,Custer,427,"1,777","2,413",17.70%,73.64%
,Elmore,"1,814","5,816","8,519",21.29%,68.27%
,Franklin,385,"3,901","5,499",7.00%,70.94%
,Fremont,651,"4,090","5,713",11.40%,71.59%
,Gooding,930,"3,743","5,191",17.92%,72.11%
,Jefferson,976,"8,436","11,471",8.51%,73.54%
,Jerome,"1,329","4,644","6,751",19.69%,68.79%
,Lemhi,733,"3,011","4,096",17.90%,73.51%
,Lincoln,360,"1,184","1,748",20.59%,67.73%
,Madison,"1,201","8,941","15,687",7.66%,57.00%
,Minidoka,"1,167","4,887","6,870",16.99%,71.14%
,Oneida,184,"1,531","2,068",8.90%,74.03%
,Power,699,"1,666","2,758",25.34%,60.41%
,Teton,"2,159","2,167","4,975",43.40%,43.56%
,Twin Falls,"6,233","19,828","29,873",20.86%,66.37%
2 Total,,"98,481","180,021","330,594",29.79%,54.45%
Grand Total,,"189,765","409,055","690,255",27.49%,59.26%
