CD,County,Clinton,Trump,Total,Clinton%,Trump%
1,Cook - Chicago (pt.),"173,163","5,397","182,024",95.13%,2.97%
,Cook - Suburban (pt.),"53,424","36,389","93,983",56.84%,38.72%
,Will (pt.),"19,322","28,170","50,169",38.51%,56.15%
1 Total,,"245,908","69,956","326,175",75.39%,21.45%
2,Cook - Chicago (pt.),"70,365","3,934","75,808",92.82%,5.19%
,Cook - Suburban (pt.),"134,869","18,723","157,387",85.69%,11.90%
,Kankakee,"18,971","25,129","46,679",40.64%,53.83%
,Will (pt.),"12,521","10,239","23,748",52.72%,43.12%
2 Total,,"236,726","58,024","303,622",77.97%,19.11%
3,Cook - Chicago (pt.),"56,995","25,585","86,392",65.97%,29.62%
,Cook - Suburban (pt.),"82,310","68,364","158,637",51.89%,43.09%
,DuPage (pt.),386,259,690,55.94%,37.54%
,Will (pt.),"17,692","19,570","39,251",45.07%,49.86%
3 Total,,"157,383","113,779","284,970",55.23%,39.93%
4,Cook - Chicago (pt.),"130,223","14,894","152,132",85.60%,9.79%
,Cook - Suburban (pt.),"42,152","12,913","57,799",72.93%,22.34%
4 Total,,"172,374","27,807","209,931",82.11%,13.25%
5,Cook - Chicago (pt.),"187,195","46,920","247,853",75.53%,18.93%
,Cook - Suburban (pt.),"26,515","17,953","46,672",56.81%,38.47%
,DuPage (pt.),"16,227","13,196","31,511",51.50%,41.88%
5 Total,,"229,937","78,069","326,036",70.52%,23.94%
6,Cook - Suburban (pt.),"23,383","19,211","45,561",51.32%,42.16%
,DuPage (pt.),"96,047","75,318","183,817",52.25%,40.97%
,Kane (pt.),"24,208","23,935","51,178",47.30%,46.77%
,Lake (pt.),"14,538","15,052","31,531",46.11%,47.74%
,McHenry (pt.),"19,402","19,393","41,679",46.55%,46.53%
6 Total,,"177,578","152,909","353,766",50.20%,43.22%
7,Cook - Chicago (pt.),"204,777","20,079","232,231",88.18%,8.65%
,Cook - Suburban (pt.),"66,323","8,501","77,929",85.11%,10.91%
7 Total,,"271,100","28,580","310,159",87.41%,9.21%
8,Cook - Suburban (pt.),"77,041","46,637","130,717",58.94%,35.68%
,DuPage (pt.),"55,552","39,230","100,233",55.42%,39.14%
,Kane (pt.),"15,640","7,059","24,115",64.86%,29.27%
8 Total,,"148,233","92,926","255,064",58.12%,36.43%
9,Cook - Chicago (pt.),"90,225","18,508","113,904",79.21%,16.25%
,Cook - Suburban (pt.),"147,871","65,948","225,683",65.52%,29.22%
9 Total,,"238,096","84,456","339,587",70.11%,24.87%
10,Cook - Suburban (pt.),"44,120","22,053","69,282",63.68%,31.83%
,Lake (pt.),"134,737","72,056","219,021",61.52%,32.90%
10 Total,,"178,857","94,108","288,303",62.04%,32.64%
11,Cook - Suburban (pt.),997,"1,279","2,403",41.49%,53.23%
,DuPage (pt.),"56,004","35,703","97,796",57.27%,36.51%
,Kane (pt.),"24,258","9,305","35,524",68.29%,26.19%
,Kendall (pt.),"8,948","6,137","16,060",55.72%,38.21%
,Will (pt.),"74,426","46,680","127,837",58.22%,36.52%
11 Total,,"164,632","99,104","279,620",58.88%,35.44%
12,Alexander,"1,262","1,496","2,820",44.75%,53.05%
,Franklin,"4,727","13,116","18,567",25.46%,70.64%
,Jackson,"11,634","10,843","24,207",48.06%,44.79%
,Jefferson,"4,425","11,695","16,851",26.26%,69.40%
,Madison (pt.),"20,632","24,144","47,371",43.55%,50.97%
,Monroe,"5,535","12,629","19,106",28.97%,66.10%
