CD,County,Clinton,Trump,Total,Clinton%,Trump%
1,Allamakee,"2,421","4,093","6,874",35.22%,59.54%
,Benton,"4,678","8,232","13,705",34.13%,60.07%
,Black Hawk,"32,233","27,476","63,570",50.70%,43.22%
,Bremer,"5,356","7,208","13,367",40.07%,53.92%
,Buchanan,"3,970","5,510","10,147",39.12%,54.30%
,Clayton,"3,237","5,317","9,059",35.73%,58.69%
,Delaware,"2,957","5,694","9,172",32.24%,62.08%
,Dubuque,"22,850","23,460","49,217",46.43%,47.67%
,Fayette,"3,689","5,620","9,871",37.37%,56.93%
,Howard,"1,677","2,611","4,512",37.17%,57.87%
,Iowa,"3,084","5,205","8,819",34.97%,59.02%
,Jackson,"3,837","5,824","10,208",37.59%,57.05%
,Jones,"3,787","5,720","10,024",37.78%,57.06%
,Linn,"58,935","48,390","115,395",51.07%,41.93%
,Marshall,"7,652","9,146","17,752",43.11%,51.52%
,Mitchell,"1,888","3,190","5,383",35.07%,59.26%
,Poweshiek,"4,304","4,946","9,738",44.20%,50.79%
,Tama,"3,196","4,971","8,642",36.98%,57.52%
,Winneshiek,"5,254","5,344","11,246",46.72%,47.52%
,Worth,"1,530","2,453","4,233",36.14%,57.95%
1 Total,,"176,535","190,410","390,934",45.16%,48.71%
2,Appanoose,"1,814","4,033","6,099",29.74%,66.13%
,Cedar,"3,599","5,295","9,430",38.17%,56.15%
,Clarke,"1,465","2,713","4,415",33.18%,61.45%
,Clinton,"10,095","11,276","22,800",44.28%,49.46%
,Davis,977,"2,723","3,862",25.30%,70.51%
,Decatur,"1,201","2,296","3,703",32.43%,62.00%
,Des Moines,"8,212","9,529","18,803",43.67%,50.68%
,Henry,"2,904","5,779","9,310",31.19%,62.07%
,Jasper,"7,109","10,560","18,781",37.85%,56.23%
,Jefferson,"3,710","3,748","8,020",46.26%,46.73%
,Johnson,"50,200","21,044","75,976",66.07%,27.70%
,Keokuk,"1,342","3,390","4,941",27.16%,68.61%
,Lee,"6,215","8,803","15,964",38.93%,55.14%
,Louisa,"1,648","3,069","4,960",33.23%,61.88%
,Lucas,"1,239","2,877","4,304",28.79%,66.84%
,Mahaska,"2,619","7,432","10,537",24.86%,70.53%
,Marion,"5,482","10,962","17,593",31.16%,62.31%
,Monroe,"1,056","2,638","3,851",27.42%,68.50%
,Muscatine,"8,368","9,584","19,221",43.54%,49.86%
,Scott,"40,440","39,149","85,101",47.52%,46.00%
,Van Buren,845,"2,527","3,529",23.94%,71.61%
,Wapello,"5,594","8,715","15,005",37.28%,58.08%
,Washington,"3,943","6,173","10,833",36.40%,56.98%
,Wayne,719,"2,069","2,921",24.61%,70.83%
2 Total,,"170,796","186,384","379,959",44.95%,49.05%
3,Adair,"1,133","2,461","3,773",30.03%,65.23%
,Adams,565,"1,395","2,084",27.11%,66.94%
,Cass,"1,951","4,761","7,068",27.60%,67.36%
,Dallas,"18,288","22,119","43,416",42.12%,50.95%
,Fremont,963,"2,407","3,564",27.02%,67.54%
,Guthrie,"1,732","3,628","5,697",30.40%,63.68%
,Madison,"2,678","5,360","8,565",31.27%,62.58%
,Mills,"2,090","5,067","7,639",27.36%,66.33%
,Montgomery,"1,314","3,436","5,005",26.25%,68.65%
,Page,"1,807","4,893","6,995",25.83%,69.95%
,Polk,"119,804","93,492","228,659",52.39%,40.89%
,Pottawattamie,"15,355","24,447","42,249",36.34%,57.86%
,Ringgold,753,"1,824","2,688",28.01%,67.86%
,Taylor,758,"2,111","3,009",25.19%,70.16%
,Union,"1,922","3,525","5,775",33.28%,61.04%
,Warren,"10,411","14,814","27,005",38.55%,54.86%
3 Total,,"181,524","195,740","403,191",45.02%,48.55%
4,Audubon,"1,080","2,136","3,382",31.93%,63.16%
,Boone,"5,541","7,484","14,034",39.48%,53.33%
,Buena Vista,"2,856","4,903","8,194",34.85%,59.84%
,Butler,"2,157","4,921","7,456",28.93%,66.00%
,Calhoun,"1,398","3,468","5,110",27.36%,67.87%
,Carroll,"3,309","6,638","10,454",31.65%,63.50%
,Cerro Gordo,"9,862","11,621","22,709",43.43%,51.17%
,Cherokee,"1,679","4,192","6,193",27.11%,67.69%
,Chickasaw,"2,266","3,742","6,372",35.56%,58.73%
,Clay,"2,249","5,877","8,554",26.29%,68.70%
,Crawford,"1,991","4,617","6,878",28.95%,67.13%
,Dickinson,"3,056","6,753","10,265",29.77%,65.79%
,Emmet,"1,357","3,124","4,712",28.80%,66.30%
,Floyd,"3,179","4,375","7,991",39.78%,54.75%
,Franklin,"1,493","3,163","4,930",30.28%,64.16%
,Greene,"1,691","2,820","4,766",35.48%,59.17%
,Grundy,"1,856","4,527","6,776",27.39%,66.81%
,Hamilton,"2,726","4,463","7,614",35.80%,58.62%
,Hancock,"1,587","3,977","5,830",27.22%,68.22%
,Hardin,"2,787","5,254","8,464",32.93%,62.07%
,Harrison,"2,131","4,902","7,397",28.81%,66.27%
,Humboldt,"1,252","3,568","5,038",24.85%,70.82%
,Ida,792,"2,655","3,591",22.06%,73.93%
,Kossuth,"2,543","5,653","8,537",29.79%,66.22%
,Lyon,920,"5,192","6,345",14.50%,81.83%
,Monona,"1,247","3,120","4,533",27.51%,68.83%
,O'Brien,"1,315","5,752","7,370",17.84%,78.05%
,Osceola,552,"2,531","3,200",17.25%,79.09%
,Palo Alto,"1,398","3,081","4,679",29.88%,65.85%
,Plymouth,"2,885","9,680","13,088",22.04%,73.96%
,Pocahontas,963,"2,702","3,842",25.07%,70.33%
,Sac,"1,270","3,703","5,170",24.56%,71.62%
,Shelby,"1,662","4,362","6,307",26.35%,69.16%
,Sioux,"2,300","14,785","18,029",12.76%,82.01%
,Story,"25,709","19,458","49,976",51.44%,38.93%
,Webster,"6,305","10,056","17,260",36.53%,58.26%
,Winnebago,"1,931","3,447","5,739",33.65%,60.06%
,Woodbury,"16,210","24,727","43,149",37.57%,57.31%
,Wright,"1,896","3,800","5,966",31.78%,63.69%
