CD,County,Clinton,Trump,Total,Clinton%,Trump%
1,Barton,"1,839","7,888","10,231",17.97%,77.10%
,Chase,316,969,"1,361",23.22%,71.20%
,Cheyenne,181,"1,173","1,403",12.90%,83.61%
,Clark,120,825,"1,001",11.99%,82.42%
,Clay,677,"2,891","3,803",17.80%,76.02%
,Cloud,761,"2,919","3,915",19.44%,74.56%
,Decatur,178,"1,210","1,450",12.28%,83.45%
,Dickinson,"1,609","6,029","8,176",19.68%,73.74%
,Ellis,"2,742","8,466","11,909",23.02%,71.09%
,Ellsworth,521,"1,969","2,671",19.51%,73.72%
,Finney,"3,195","6,350","10,149",31.48%,62.57%
,Ford,"2,149","5,114","7,680",27.98%,66.59%
,Geary,"2,722","4,274","7,464",36.47%,57.26%
,Gove,149,"1,140","1,343",11.09%,84.88%
,Graham,188,"1,025","1,281",14.68%,80.02%
,Grant,441,"1,804","2,379",18.54%,75.83%
,Gray,263,"1,698","2,066",12.73%,82.19%
,Greeley,83,534,650,12.77%,82.15%
,Hamilton,121,705,871,13.89%,80.94%
,Haskell,245,"1,040","1,348",18.18%,77.15%
,Hodgeman,124,855,"1,017",12.19%,84.07%
,Jewell,180,"1,223","1,492",12.06%,81.97%
,Kearny,174,"1,075","1,303",13.35%,82.50%
,Lane,106,718,871,12.17%,82.43%
,Lincoln,215,"1,179","1,464",14.69%,80.53%
,Logan,149,"1,132","1,356",10.99%,83.48%
,Lyon,"4,649","6,552","12,202",38.10%,53.70%
,Marion,"1,204","4,003","5,577",21.59%,71.78%
,Marshall (pt.),559,"1,575","2,239",24.98%,70.36%
,McPherson,"3,226","8,549","12,644",25.51%,67.61%
,Meade,210,"1,415","1,705",12.32%,82.99%
,Mitchell,477,"2,308","2,929",16.29%,78.80%
,Morris,601,"1,820","2,621",22.93%,69.44%
,Morton,147,995,"1,189",12.36%,83.68%
,Ness,162,"1,228","1,453",11.15%,84.51%
,Norton,281,"1,840","2,229",12.61%,82.55%
,Osborne,233,"1,460","1,780",13.09%,82.02%
,Ottawa,424,"2,283","2,893",14.66%,78.91%
,Pawnee (pt.),556,"1,786","2,499",22.25%,71.47%
,Phillips,300,"2,233","2,649",11.33%,84.30%
,Pottawatomie,"2,225","7,612","10,573",21.04%,71.99%
,Rawlins,163,"1,220","1,464",11.13%,83.33%
,Reno,"6,837","15,513","24,086",28.39%,64.41%
,Republic,375,"2,024","2,525",14.85%,80.16%
,Rice,695,"2,837","3,795",18.31%,74.76%
,Riley,"9,341","10,107","21,315",43.82%,47.42%
,Rooks,275,"2,031","2,415",11.39%,84.10%
,Rush,233,"1,197","1,503",15.50%,79.64%
,Russell,461,"2,574","3,190",14.45%,80.69%
,Saline,"6,317","13,828","21,984",28.73%,62.90%
,Scott,236,"1,865","2,197",10.74%,84.89%
,Seward,"1,628","3,159","5,031",32.36%,62.79%
,Sheridan,127,"1,197","1,374",9.24%,87.12%
,Sherman,347,"2,089","2,594",13.38%,80.53%
,Smith,297,"1,661","2,042",14.54%,81.34%
,Stanton,115,492,633,18.17%,77.73%
,Stevens,220,"1,599","1,891",11.63%,84.56%
,Thomas,473,"2,908","3,568",13.26%,81.50%
,Trego,198,"1,227","1,482",13.36%,82.79%
,Wabaunsee,776,"2,372","3,360",23.10%,70.60%
,Wallace,46,721,790,5.82%,91.27%
,Washington,387,"2,194","2,750",14.07%,79.78%
,Wichita,140,769,939,14.91%,81.90%
1 Total,,"64,389","183,448","264,764",24.32%,69.29%
2,Allen,"1,433","3,651","5,434",26.37%,67.19%
,Anderson,672,"2,435","3,339",20.13%,72.93%
,Atchison,"1,989","4,049","6,517",30.52%,62.13%
,Bourbon,"1,336","4,424","6,073",22.00%,72.85%
,Brown,863,"2,906","4,024",21.45%,72.22%
,Cherokee,"2,005","6,182","8,613",23.28%,71.78%
,Coffey,727,"3,050","4,036",18.01%,75.57%
,Crawford,"5,199","8,624","14,809",35.11%,58.23%
,Doniphan,587,"2,606","3,374",17.40%,77.24%
,Douglas,"31,195","14,688","49,867",62.56%,29.45%
,Franklin,"2,892","7,185","10,910",26.51%,65.86%
,Jackson,"1,512","3,939","5,807",26.04%,67.83%
,Jefferson,"2,518","5,213","8,300",30.34%,62.81%
,Labette,"2,291","5,335","8,090",28.32%,65.95%
,Leavenworth,"10,209","17,638","30,120",33.89%,58.56%
,Linn,736,"3,484","4,404",16.71%,79.11%
,Marshall (pt.),513,"1,732","2,417",21.21%,71.64%
,Miami (pt.),"2,510","5,995","9,113",27.54%,65.79%
,Montgomery,"2,637","8,679","11,933",22.10%,72.73%
,Nemaha,725,"4,124","5,095",14.23%,80.94%
,Neosho,"1,501","4,431","6,292",23.86%,70.42%
,Osage,"1,753","4,826","7,046",24.88%,68.49%
,Shawnee,"33,926","35,934","75,024",45.22%,47.90%
,Wilson,594,"2,788","3,577",16.61%,77.94%
,Woodson,273,"1,082","1,443",18.92%,74.98%
2 Total,,"110,596","165,000","295,657",37.41%,55.81%
3,Johnson,"129,852","137,490","287,520",45.16%,47.82%
,Miami (pt.),"1,481","4,008","5,823",25.43%,68.83%
,Wyandotte,"30,146","15,806","48,624",62.00%,32.51%
3 Total,,"161,479","157,304","341,967",47.22%,46.00%
4,Barber,286,"1,850","2,242",12.76%,82.52%
,Butler,"6,573","19,073","27,456",23.94%,69.47%
,Chautauqua,197,"1,236","1,481",13.30%,83.46%
,Comanche,102,715,867,11.76%,82.47%
,Cowley,"3,551","8,270","12,575",28.24%,65.77%
,Edwards,212,"1,037","1,316",16.11%,78.80%
,Elk,160,"1,048","1,259",12.71%,83.24%
,Greenwood,485,"2,160","2,826",17.16%,76.43%
,Harper,393,"1,996","2,566",15.32%,77.79%
,Harvey,"5,068","8,668","14,790",34.27%,58.61%
,Kingman,599,"2,530","3,312",18.09%,76.39%
,Kiowa,114,900,"1,074",10.61%,83.80%
,Pawnee (pt.),23,118,149,15.44%,79.19%
,Pratt,771,"2,838","3,823",20.17%,74.23%
,Sedgwick,"69,627","104,353","187,236",37.19%,55.73%
,Stafford,304,"1,490","1,890",16.08%,78.84%
,Sumner,"2,076","6,984","9,685",21.44%,72.11%
4 Total,,"90,541","165,266","274,547",32.98%,60.20%
Grand Total,,"427,005","671,018","1,176,935",36.28%,57.01%
