CD,County,Clinton,Trump,Total,Clinton%,Trump%
1,Adair,"1,323","6,637","8,231",16.07%,80.63%
,Allen,"1,349","6,466","8,091",16.67%,79.92%
,Ballard,816,"3,161","4,101",19.90%,77.08%
,Caldwell,"1,260","4,507","5,975",21.09%,75.43%
,Calloway,"4,749","10,367","16,045",29.60%,64.61%
,Carlisle,432,"2,094","2,601",16.61%,80.51%
,Casey,767,"5,482","6,439",11.91%,85.14%
,Christian,"7,188","14,108","22,083",32.55%,63.89%
,Clinton,547,"3,809","4,458",12.27%,85.44%
,Crittenden,617,"3,290","4,037",15.28%,81.50%
,Cumberland,459,"2,502","3,066",14.97%,81.60%
,Fulton,774,"1,549","2,382",32.49%,65.03%
,Graves,"3,308","12,671","16,592",19.94%,76.37%
,Henderson,"6,707","12,159","19,705",34.04%,61.71%
,Hickman,449,"1,657","2,157",20.82%,76.82%
,Hopkins,"4,310","15,277","20,341",21.19%,75.10%
,Livingston,887,"3,570","4,643",19.10%,76.89%
,Logan,"2,755","7,778","10,899",25.28%,71.36%
,Lyon,"1,045","2,789","3,961",26.38%,70.41%
,Marion,"2,679","5,122","8,109",33.04%,63.16%
,Marshall,"3,672","12,322","16,688",22.00%,73.84%
,McCracken,"9,134","20,774","31,294",29.19%,66.38%
,McLean,988,"3,381","4,566",21.64%,74.05%
,Metcalfe,976,"3,491","4,619",21.13%,75.58%
,Monroe,601,"4,278","4,991",12.04%,85.71%
,Muhlenberg,"3,272","9,393","13,054",25.07%,71.95%
,Ohio,"2,080","7,942","10,398",20.00%,76.38%
,Russell,"1,093","6,863","8,174",13.37%,83.96%
,Simpson,"2,144","5,077","7,529",28.48%,67.43%
,Taylor,"2,553","8,320","11,304",22.58%,73.60%
,Todd,"1,042","3,612","4,774",21.83%,75.66%
,Trigg,"1,587","4,931","6,748",23.52%,73.07%
,Union,"1,331","4,701","6,211",21.43%,75.69%
,Washington (pt.),45,180,228,19.74%,78.95%
,Webster,"1,240","4,397","5,805",21.36%,75.75%
1 Total,,"74,179","224,657","310,299",23.91%,72.40%
2,Barren,"4,275","13,483","18,483",23.13%,72.95%
,Boyle,"4,281","8,040","12,938",33.09%,62.14%
,Breckinridge,"1,960","6,484","8,771",22.35%,73.93%
,Bullitt,"8,255","26,210","36,054",22.90%,72.70%
,Butler,947,"4,428","5,576",16.98%,79.41%
,Daviess,"14,163","28,907","45,781",30.94%,63.14%
,Edmonson,979,"4,135","5,241",18.68%,78.90%
,Garrard,"1,453","5,904","7,619",19.07%,77.49%
,Grayson,"1,959","8,219","10,572",18.53%,77.74%
,Green,832,"4,372","5,333",15.60%,81.98%
,Hancock,"1,244","2,788","4,293",28.98%,64.94%
,Hardin,"13,944","26,971","43,142",32.32%,62.52%
,Hart,"1,730","5,320","7,263",23.82%,73.25%
,Jessamine (pt.),"1,563","4,720","7,009",22.30%,67.34%
,Larue,"1,278","4,799","6,367",20.07%,75.37%
,Meade,"3,026","8,660","12,229",24.74%,70.82%
,Mercer,"2,395","7,740","10,584",22.63%,73.13%
,Nelson,"6,434","13,431","20,773",30.97%,64.66%
,Spencer (pt.),504,"2,035","2,646",19.05%,76.91%
,Warren,"16,966","28,673","48,436",35.03%,59.20%
,Washington (pt.),"1,375","3,833","5,402",25.45%,70.96%
2 Total,,"89,563","219,152","324,512",27.60%,67.53%
3,Jefferson (pt.),"186,549","135,714","340,043",54.86%,39.91%
3 Total,,"186,549","135,714","340,043",54.86%,39.91%
4,Boone,"15,026","39,082","57,570",26.10%,67.89%
,Boyd (pt.),"5,072","10,451","16,218",31.27%,64.44%
,Bracken,705,"2,711","3,527",19.99%,76.86%
,Campbell,"14,658","25,050","42,489",34.50%,58.96%
,Carroll,"1,106","2,588","3,855",28.69%,67.13%
,Gallatin,749,"2,443","3,337",22.45%,73.21%
,Grant,"1,910","7,268","9,556",19.99%,76.06%
,Greenup,"4,146","11,546","16,273",25.48%,70.95%
,Harrison (pt.),"1,142","3,401","4,716",24.22%,72.12%
,Henry,"1,828","4,944","7,145",25.58%,69.20%
,Jefferson (pt.),"4,287","8,054","12,914",33.19%,62.37%
,Kenton,"24,214","42,958","71,948",33.65%,59.71%
,Lewis,785,"4,363","5,298",14.82%,82.35%
,Mason,"1,970","4,944","7,216",27.30%,68.51%
,Oldham,"10,268","20,469","32,853",31.25%,62.30%
,Owen,"1,062","3,745","4,999",21.24%,74.91%
,Pendleton,"1,164","4,604","6,007",19.38%,76.64%
,Shelby,"6,276","13,196","20,573",30.51%,64.14%
,Spencer (pt.),"1,417","5,161","6,867",20.63%,75.16%
,Trimble,879,"2,771","3,788",23.20%,73.15%
4 Total,,"98,664","219,749","337,149",29.26%,65.18%
5,Bell,"1,720","7,764","9,718",17.70%,79.89%
,Boyd (pt.),949,"3,140","4,236",22.40%,74.13%
,Breathitt,"1,537","3,991","5,735",26.80%,69.59%
,Carter,"2,276","7,587","10,274",22.15%,73.85%
,Clay,752,"5,861","6,765",11.12%,86.64%
,Elliott,740,"2,000","2,855",25.92%,70.05%
,Floyd,"4,015","11,993","16,540",24.27%,72.51%
,Harlan,"1,372","9,129","10,757",12.75%,84.87%
,Jackson,482,"4,889","5,500",8.76%,88.89%
,Johnson,"1,250","8,043","9,572",13.06%,84.03%
,Knott,"1,245","4,357","5,763",21.60%,75.60%
,Knox,"1,761","9,885","12,012",14.66%,82.29%
,Laurel,"3,440","20,592","24,824",13.86%,82.95%
,Lawrence,"1,045","4,816","6,042",17.30%,79.71%
,Lee,444,"2,151","2,667",16.65%,80.65%
,Leslie,400,"4,015","4,492",8.90%,89.38%
,Letcher,"1,542","7,293","9,134",16.88%,79.84%
,Lincoln,"1,865","7,338","9,561",19.51%,76.75%
,Magoffin,"1,172","3,824","5,116",22.91%,74.75%
,Martin,363,"3,503","3,953",9.18%,88.62%
,McCreary,664,"5,012","5,776",11.50%,86.77%
,Morgan,"1,006","3,628","4,770",21.09%,76.06%
,Owsley,256,"1,474","1,759",14.55%,83.80%
,Perry,"2,136","8,158","10,572",20.20%,77.17%
,Pike,"4,280","19,747","24,663",17.35%,80.07%
,Pulaski,"4,208","22,902","28,036",15.01%,81.69%
,Rockcastle,915,"5,609","6,688",13.68%,83.87%
,Rowan,"3,295","5,174","8,842",37.27%,58.52%
,Wayne,"1,431","6,371","7,992",17.91%,79.72%
,Whitley,"2,067","11,312","13,769",15.01%,82.16%
5 Total,,"48,628","221,558","278,383",17.47%,79.59%
6,Anderson,"2,634","8,242","11,420",23.06%,72.17%
,Bath,"1,361","3,082","4,583",29.70%,67.25%
