CD,Parish,Clinton,Trump,Total,Clinton%,Trump%
1,Jefferson (pt.),"28,989","71,854","106,177",27.30%,67.67%
,Lafourche (pt.),"2,031","15,523","18,088",11.23%,85.82%
,Orleans (pt.),"12,085","9,831","23,853",50.66%,41.21%
,Plaquemines,"3,347","6,900","10,573",31.66%,65.26%
,St. Bernard,"4,960","10,237","15,815",31.36%,64.73%
,St. Tammany,"27,717","90,915","124,392",22.28%,73.09%
,Tangipahoa (pt.),"9,609","20,832","31,535",30.47%,66.06%
,Terrebonne (pt.),"6,433","18,816","26,049",24.69%,72.23%
1 Total,,"95,169","244,907","356,482",26.70%,68.70%
2,Ascension (pt.),"6,313","1,964","8,479",74.46%,23.17%
,Assumption (pt.),"2,164","1,452","3,704",58.41%,39.19%
,East Baton Rouge (pt.),"39,517","1,584","41,845",94.44%,3.79%
,Iberville (pt.),"6,357","3,518","10,164",62.54%,34.61%
,Jefferson (pt.),"44,681","28,544","75,462",59.21%,37.83%
,Orleans (pt.),"121,911","14,461","141,959",85.88%,10.19%
,St. Charles (pt.),"6,418","10,287","17,281",37.14%,59.53%
,St. James,"6,418","5,456","12,085",53.11%,45.15%
,St. John The Baptist (pt.),"10,423","4,224","14,979",69.58%,28.20%
,West Baton Rouge (pt.),"3,288","2,290","5,745",57.23%,39.85%
2 Total,,"247,490","73,779","331,702",74.61%,22.24%
3,Acadia,"5,638","21,162","27,389",20.58%,77.26%
,Calcasieu,"26,296","54,191","83,785",31.39%,64.68%
,Cameron,323,"3,256","3,692",8.75%,88.19%
,Iberia,"10,698","20,903","32,454",32.96%,64.41%
,Jefferson Davis,"3,080","10,775","14,277",21.57%,75.47%
,Lafayette,"32,726","68,195","105,603",30.99%,64.58%
,St. Landry (pt.),307,"1,240","1,566",19.61%,79.23%
,St. Martin,"8,266","16,873","25,750",32.10%,65.53%
,St. Mary,"8,050","14,359","22,877",35.19%,62.77%
,Vermilion,"4,857","20,063","25,632",18.95%,78.27%
3 Total,,"100,241","231,017","343,025",29.22%,67.35%
4,Allen,"2,106","6,867","9,245",22.78%,74.28%
,Beauregard,"2,393","12,238","15,078",15.87%,81.16%
,Bienville,"3,129","3,756","7,005",44.67%,53.62%
,Bossier,"12,641","35,474","49,848",25.36%,71.16%
,Caddo,"53,483","49,006","105,804",50.55%,46.32%
,Claiborne,"2,717","3,585","6,421",42.31%,55.83%
,De Soto,"5,165","8,068","13,500",38.26%,59.76%
,Evangeline,"4,208","10,360","14,882",28.28%,69.61%
,Natchitoches,"7,144","8,968","16,621",42.98%,53.96%
,Red River,"1,938","2,391","4,422",43.83%,54.07%
,Sabine,"1,703","7,879","9,787",17.40%,80.50%
,St. Landry (pt.),"8,356","11,400","20,177",41.41%,56.50%
,Union,"2,691","7,972","10,894",24.70%,73.18%
,Vernon,"2,665","13,471","16,633",16.02%,80.99%
,Webster,"6,260","11,542","18,145",34.50%,63.61%
4 Total,,"116,599","192,977","318,462",36.61%,60.60%
5,Avoyelles,"5,035","11,165","16,586",30.36%,67.32%
,Caldwell,788,"3,822","4,692",16.79%,81.46%
,Catahoula,"1,322","3,479","4,856",27.22%,71.64%
,Concordia,"3,272","5,477","8,872",36.88%,61.73%
,East Carroll,"1,838","1,059","2,939",62.54%,36.03%
,East Feliciana (pt.),"2,682","2,150","4,956",54.12%,43.39%
,Franklin,"2,506","6,514","9,162",27.35%,71.10%
,Grant,"1,181","7,408","8,821",13.39%,83.98%
,Jackson,"2,139","5,169","7,464",28.66%,69.25%
,LaSalle,605,"5,836","6,569",9.21%,88.84%
,Lincoln,"7,107","10,761","18,669",38.07%,57.64%
,Madison,"2,744","1,927","4,732",57.99%,40.72%
,Morehouse,"5,155","6,502","11,852",43.49%,54.86%
,Ouachita,"24,428","41,734","68,017",35.91%,61.36%
,Rapides,"18,322","36,816","56,844",32.23%,64.77%
,Richland,"3,157","6,287","9,597",32.90%,65.51%
,St. Helena (pt.),532,988,"1,560",34.11%,63.33%
,St. Landry (pt.),"8,546","9,331","18,234",46.87%,51.17%
,Tangipahoa (pt.),"7,269","13,127","20,881",34.81%,62.87%
,Tensas,"1,332","1,182","2,548",52.28%,46.39%
,Washington,"5,692","12,556","18,628",30.56%,67.40%
,West Carroll,715,"3,970","4,759",15.02%,83.42%
,West Feliciana,"2,248","3,390","5,799",38.77%,58.46%
,Winn,"1,644","4,608","6,372",25.80%,72.32%
5 Total,,"110,259","205,258","323,409",34.09%,63.47%
6,Ascension (pt.),"10,163","34,179","46,199",22.00%,73.98%
,Assumption (pt.),"1,767","5,262","7,200",24.55%,73.09%
,East Baton Rouge (pt.),"63,311","83,076","154,646",40.94%,53.72%
,East Feliciana (pt.),"1,553","3,419","5,086",30.53%,67.22%
,Iberville (pt.),"1,967","3,802","5,879",33.46%,64.68%
,Lafourche (pt.),"6,392","16,436","23,557",27.14%,69.77%
,Livingston,"6,950","48,824","57,730",12.04%,84.57%
,Pointe Coupee,"4,764","6,789","11,761",40.51%,57.72%
,St. Charles (pt.),"2,141","6,334","8,911",24.02%,71.08%
,St. Helena (pt.),"2,821","1,509","4,404",64.05%,34.27%
,St. John The Baptist (pt.),"2,238","3,345","5,764",38.83%,58.04%
,Terrebonne (pt.),"4,233","13,086","17,847",23.72%,73.33%
,West Baton Rouge (pt.),"2,095","4,637","6,967",30.07%,66.56%
6 Total,,"110,395","230,700","355,951",31.01%,64.81%
Grand Total,,"780,154","1,178,638","2,029,032",38.45%,58.09%
