CD,County,Clinton,Trump,Total,Clinton%,Trump%
1,Berkshire,"43,714","16,839","64,735",67.53%,26.01%
,Franklin (pt.),"5,658","2,256","8,703",65.01%,25.92%
,Hampden (pt.),"112,509","78,567","202,839",55.47%,38.73%
,Hampshire (pt.),"19,056","11,697","33,146",57.49%,35.29%
,Worcester (pt.),"13,099","14,594","29,903",43.80%,48.80%
1 Total,,"194,036","123,953","339,326",57.18%,36.53%
2,Franklin (pt.),"18,820","8,108","29,453",63.90%,27.53%
,Hampden (pt.),81,118,214,37.85%,55.14%
,Hampshire (pt.),"36,311","10,093","49,733",73.01%,20.29%
,Norfolk (pt.),808,937,"1,862",43.39%,50.32%
,Worcester (pt.),"141,472","110,181","270,161",52.37%,40.78%
2 Total,,"197,492","129,437","351,423",56.20%,36.83%
3,Essex (pt.),"55,502","31,054","90,903",61.06%,34.16%
,Middlesex (pt.),"115,902","67,896","196,967",58.84%,34.47%
,Worcester (pt.),"31,548","24,397","60,693",51.98%,40.20%
3 Total,,"202,952","123,347","348,563",58.23%,35.39%
4,Bristol (pt.),"78,184","69,840","157,435",49.66%,44.36%
,Middlesex (pt.),"41,821","10,675","55,136",75.85%,19.36%
,Norfolk (pt.),"94,376","43,204","146,208",64.55%,29.55%
,Plymouth (pt.),"2,466","3,374","6,241",39.51%,54.06%
,Worcester (pt.),"9,129","6,612","16,747",54.51%,39.48%
4 Total,,"225,976","133,705","381,767",59.19%,35.02%
5,Middlesex (pt.),"238,220","83,277","338,648",70.34%,24.59%
,Suffolk (pt.),"17,158","10,747","29,038",59.09%,37.01%
,Worcester (pt.),"3,530","1,898","5,812",60.74%,32.66%
5 Total,,"258,908","95,922","373,498",69.32%,25.68%
6,Essex (pt.),"166,808","105,262","288,617",57.80%,36.47%
,Middlesex (pt.),"58,050","47,982","112,429",51.63%,42.68%
6 Total,,"224,858","153,244","401,046",56.07%,38.21%
7,Middlesex (pt.),"66,367","9,963","79,925",83.04%,12.47%
,Norfolk (pt.),"14,676","3,828","19,158",76.61%,19.98%
,Suffolk (pt.),"172,994","22,227","202,856",85.28%,10.96%
7 Total,,"254,037","36,018","301,939",84.14%,11.93%
8,Bristol (pt.),"1,472","1,683","3,334",44.15%,50.48%
,Norfolk (pt.),"111,959","71,754","193,971",57.72%,36.99%
,Plymouth (pt.),"62,326","40,740","108,873",57.25%,37.42%
,Suffolk (pt.),"55,599","17,447","76,739",72.45%,22.74%
8 Total,,"231,356","131,624","382,917",60.42%,34.37%
9,Barnstable,"72,430","54,099","133,785",54.14%,40.44%
,Bristol (pt.),"49,884","33,920","88,083",56.63%,38.51%
,Dukes,"8,400","2,477","11,502",73.03%,21.54%
,Nantucket,"4,146","1,892","6,406",64.72%,29.53%
,Plymouth (pt.),"70,721","71,255","151,513",46.68%,47.03%
9 Total,,"205,581","163,643","391,289",52.54%,41.82%
Grand Total,,"1,995,196","1,090,893","3,271,768",60.98%,33.34%
