CD,County,Clinton,Trump,Total,Clinton%,Trump%
1,Alcona,"1,732","4,201","6,179",28.03%,67.99%
,Alger,"1,663","2,585","4,513",36.85%,57.28%
,Alpena,"4,877","9,090","14,688",33.20%,61.89%
,Antrim,"4,448","8,469","13,572",32.77%,62.40%
,Baraga,"1,156","2,158","3,486",33.16%,61.90%
,Benzie,"4,108","5,539","10,221",40.19%,54.19%
,Charlevoix,"5,137","8,674","14,567",35.26%,59.55%
,Cheboygan,"4,302","8,683","13,650",31.52%,63.61%
,Chippewa,"5,379","9,122","15,437",34.84%,59.09%
,Crawford,"2,110","4,354","6,833",30.88%,63.72%
,Delta,"6,436","11,121","18,481",34.82%,60.18%
,Dickinson,"3,923","8,580","13,140",29.86%,65.30%
,Emmet,"6,972","10,616","18,774",37.14%,56.55%
,Gogebic,"2,925","4,018","7,312",40.00%,54.95%
,Grand Traverse,"20,965","27,413","51,462",40.74%,53.27%
,Houghton,"6,018","8,475","15,623",38.52%,54.25%
,Iron,"2,004","3,675","5,910",33.91%,62.18%
,Kalkaska,"2,280","6,116","8,824",25.84%,69.31%
,Keweenaw,527,814,"1,429",36.88%,56.96%
,Leelanau,"6,774","7,239","14,757",45.90%,49.05%
,Luce,681,"1,756","2,576",26.44%,68.17%
,Mackinac,"2,085","3,744","6,092",34.23%,61.46%
,Manistee,"4,979","6,915","12,598",39.52%,54.89%
,Marquette,"16,042","14,646","32,897",48.76%,44.52%
,Mason (pt.),"1,343","2,400","3,961",33.90%,60.59%
,Menominee,"3,539","6,702","10,763",32.88%,62.27%
,Montmorency,"1,287","3,498","5,009",25.69%,69.83%
,Ontonagon,"1,176","2,066","3,418",34.41%,60.44%
,Oscoda,"1,044","2,843","4,062",25.70%,69.99%
,Otsego,"3,556","8,266","12,529",28.38%,65.97%
,Presque Isle,"2,400","4,488","7,217",33.25%,62.19%
,Schoolcraft,"1,369","2,556","4,151",32.98%,61.58%
1 Total,,"133,237","210,822","364,131",36.59%,57.90%
2,Allegan (pt.),442,567,"1,074",41.13%,52.74%
,Kent (pt.),"33,681","36,372","75,031",44.89%,48.48%
,Lake,"1,939","3,159","5,328",36.39%,59.29%
,Mason (pt.),"3,938","6,105","10,697",36.82%,57.07%
,Muskegon,"37,304","36,127","77,962",47.85%,46.34%
,Newaygo,"6,212","15,173","22,604",27.48%,67.13%
,Oceana,"3,973","7,228","11,903",33.38%,60.72%
,Ottawa,"44,973","88,467","141,905",31.69%,62.34%
2 Total,,"132,462","193,198","346,505",38.23%,55.76%
3,Barry,"9,114","19,202","30,277",30.10%,63.42%
,Calhoun,"24,157","31,494","58,801",41.08%,53.56%
,Ionia,"8,352","16,635","26,791",31.17%,62.09%
,Kent (pt.),"105,002","111,808","231,590",45.34%,48.28%
,Montcalm (pt.),705,"1,206","2,031",34.70%,59.35%
