CD,County,Clinton,Trump,Total,Clinton%,Trump%
1,Alcorn,"2,684","11,819","14,783",18.16%,79.95%
,Benton,"1,719","2,251","4,013",42.84%,56.09%
,Calhoun,"1,910","4,390","6,396",29.86%,68.64%
,Chickasaw,"3,649","4,127","7,890",46.25%,52.31%
,Choctaw,"1,218","2,788","4,065",29.96%,68.59%
,Clay,"5,722","4,150","10,003",57.20%,41.49%
,DeSoto,"20,591","43,089","65,695",31.34%,65.59%
,Itawamba,"1,117","8,470","9,737",11.47%,86.99%
,Lafayette,"7,969","10,872","19,643",40.57%,55.35%
,Lee,"10,029","22,220","32,913",30.47%,67.51%
,Lowndes,"11,819","13,271","25,575",46.21%,51.89%
,Marshall,"8,023","6,587","14,839",54.07%,44.39%
,Monroe,"5,524","10,167","15,884",34.78%,64.01%
,Oktibbeha (pt.),695,937,"1,651",42.06%,56.73%
,Pontotoc,"2,386","10,336","12,984",18.38%,79.61%
,Prentiss,"2,067","7,648","9,872",20.94%,77.47%
,Tate,"3,926","7,495","11,627",33.77%,64.46%
,Tippah,"1,842","7,240","9,235",19.95%,78.40%
,Tishomingo,999,"7,166","8,371",11.93%,85.61%
,Union,"2,012","9,235","11,496",17.50%,80.33%
,Webster,"1,019","3,976","5,069",20.10%,78.44%
,Winston,"3,850","4,910","8,881",43.35%,55.29%
1 Total,,"100,770","203,144","310,622",32.44%,65.40%
2,Attala,"3,242","4,897","8,256",39.27%,59.31%
,Bolivar,"9,046","4,590","13,824",65.44%,33.20%
,Carroll,"1,680","3,799","5,528",30.39%,68.72%
,Claiborne,"3,708",540,"4,272",86.80%,12.64%
,Coahoma,"6,378","2,426","8,912",71.57%,27.22%
,Copiah,"6,741","6,103","12,982",51.93%,47.01%
,Grenada,"4,424","5,970","10,513",42.08%,56.79%
,Hinds (pt.),"61,113","19,366","81,771",74.74%,23.68%
,Holmes,"6,689","1,309","8,076",82.83%,16.21%
,Humphreys,"3,071","1,151","4,253",72.21%,27.06%
,Issaquena,395,298,699,56.51%,42.63%
,Jefferson,"3,337",490,"3,860",86.45%,12.69%
,Leake,"3,584","4,782","8,449",42.42%,56.60%
,Leflore,"7,787","3,212","11,140",69.90%,28.83%
,Madison (pt.),"9,332","2,405","11,854",78.72%,20.29%
,Montgomery,"2,115","2,818","4,996",42.33%,56.41%
,Panola,"7,431","7,449","15,064",49.33%,49.45%
,Quitman,"2,312","1,001","3,365",68.71%,29.75%
,Sharkey,"1,479",692,"2,190",67.53%,31.60%
,Sunflower,"6,725","2,794","9,598",70.07%,29.11%
,Tallahatchie,"3,337","2,462","5,870",56.85%,41.94%
,Tunica,"2,667",853,"3,567",74.77%,23.91%
,Warren,"9,284","9,767","19,416",47.82%,50.30%
,Washington,"11,380","5,244","16,825",67.64%,31.17%
,Yalobusha,"2,582","3,376","6,077",42.49%,55.55%
,Yazoo,"5,369","4,598","10,070",53.32%,45.66%
2 Total,,"185,208","102,392","291,427",63.55%,35.13%
3,Adams,"7,757","5,874","13,836",56.06%,42.45%
,Amite,"2,697","4,289","7,050",38.26%,60.84%
,Clarke (pt.),"2,006","4,704","6,773",29.62%,69.45%
,Covington,"3,276","5,435","8,811",37.18%,61.68%
,Franklin,"1,502","2,721","4,290",35.01%,63.43%
,Hinds (pt.),"6,481","5,909","12,910",50.20%,45.77%
,Jasper,"4,368","4,038","8,475",51.54%,47.65%
,Jefferson Davis,"3,720","2,466","6,237",59.64%,39.54%
,Kemper,"2,827","1,778","4,639",60.94%,38.33%
,Lauderdale,"11,269","17,741","29,506",38.19%,60.13%
,Lawrence,"2,195","4,091","6,364",34.49%,64.28%
,Lincoln,"4,458","10,550","15,193",29.34%,69.44%
,Madison (pt.),"11,011","25,860","37,948",29.02%,68.15%
,Neshoba,"2,715","7,679","10,553",25.73%,72.77%
,Newton,"2,756","6,548","9,438",29.20%,69.38%
,Noxubee,"4,347","1,200","5,574",77.99%,21.53%
,Oktibbeha (pt.),"8,164","7,639","16,473",49.56%,46.38%
,Pike,"8,043","8,009","16,310",49.31%,49.10%
,Rankin,"14,110","47,178","62,768",22.48%,75.16%
,Scott,"4,268","6,122","10,522",40.56%,58.18%
,Simpson,"3,874","7,393","11,419",33.93%,64.74%
,Smith,"1,617","5,928","7,627",21.20%,77.72%
,Walthall,"2,790","4,056","6,919",40.32%,58.62%
,Wilkinson,"2,857","1,318","4,218",67.73%,31.25%
3 Total,,"119,108","198,527","323,853",36.78%,61.30%
4,Clarke (pt.),579,433,"1,018",56.88%,42.53%
,Forrest,"11,716","15,461","28,064",41.75%,55.09%
,George,"1,027","8,696","9,891",10.38%,87.92%
,Greene,974,"4,335","5,369",18.14%,80.74%
,Hancock,"3,344","13,811","17,637",18.96%,78.31%
,Harrison,"21,169","40,354","63,313",33.44%,63.74%
,Jackson,"14,657","33,629","49,567",29.57%,67.85%
,Jones,"7,791","20,133","28,352",27.48%,71.01%
,Lamar,"5,190","18,751","24,592",21.10%,76.25%
,Marion,"3,677","7,836","11,693",31.45%,67.01%
,Pearl River,"3,604","17,782","21,883",16.47%,81.26%
,Perry,"1,220","4,135","5,432",22.46%,76.12%
,Stone,"1,573","5,306","7,045",22.33%,75.32%
,Wayne,"3,524","5,990","9,599",36.71%,62.40%
4 Total,,"80,045","196,652","283,455",28.24%,69.38%
Grand Total,,"485,131","700,714","1,209,357",40.11%,57.94%
