CD,County,Clinton,Trump,Total,Clinton%,Trump%
1,St. Louis (pt.),"141,872","39,304","188,722",75.18%,20.83%
,St. Louis City,"104,235","20,832","130,884",79.64%,15.92%
1 Total,,"246,107","60,136","319,606",77.00%,18.82%
2,Jefferson (pt.),"6,689","12,485","20,296",32.96%,61.52%
,St. Charles (pt.),"26,126","45,227","75,270",34.71%,60.09%
,St. Louis (pt.),"144,832","163,130","324,506",44.63%,50.27%
2 Total,,"177,647","220,842","420,072",42.29%,52.57%
3,Callaway,"4,989","13,057","19,138",26.07%,68.23%
,Camden (pt.),"2,921","10,026","13,463",21.70%,74.47%
,Cole,"10,913","24,616","37,275",29.28%,66.04%
,Franklin,"12,341","35,430","50,058",24.65%,70.78%
,Gasconade,"1,520","5,670","7,445",20.42%,76.16%
,Jefferson (pt.),"17,029","36,861","56,880",29.94%,64.81%
,Lincoln,"5,575","18,159","24,920",22.37%,72.87%
,Maries,794,"3,561","4,500",17.64%,79.13%
,Miller,"1,750","9,285","11,414",15.33%,81.35%
,Montgomery,"1,119","4,127","5,429",20.61%,76.02%
,Osage,998,"5,856","7,089",14.08%,82.61%
,St. Charles (pt.),"42,500","76,423","125,467",33.87%,60.91%
,Warren,"3,915","11,111","15,768",24.83%,70.47%
3 Total,,"106,365","254,183","378,846",28.08%,67.09%
4,Audrain (pt.),"2,034","5,457","7,911",25.70%,68.98%
,Barton,795,"4,959","5,933",13.40%,83.58%
,Bates,"1,618","6,001","8,023",20.17%,74.80%
,Benton,"2,025","7,213","9,589",21.12%,75.22%
,Boone,"41,125","36,200","83,426",49.30%,43.39%
,Camden (pt.),"1,847","6,918","9,013",20.49%,76.75%
,Cass,"14,846","33,098","50,846",29.20%,65.09%
,Cedar,"1,011","5,021","6,281",16.10%,79.94%
,Cooper,"1,932","5,624","7,977",24.22%,70.50%
,Dade,637,"3,184","3,951",16.12%,80.59%
,Dallas,"1,272","5,895","7,443",17.09%,79.20%
,Henry,"2,357","7,075","9,859",23.91%,71.76%
,Hickory,"1,016","3,542","4,720",21.53%,75.04%
,Howard,"1,283","3,277","4,855",26.43%,67.50%
,Johnson,"5,930","13,719","21,119",28.08%,64.96%
,Laclede,"2,553","12,881","16,016",15.94%,80.43%
,Moniteau,"1,237","5,347","6,813",18.16%,78.48%
,Morgan,"1,768","6,760","8,818",20.05%,76.66%
,Pettis,"4,324","12,810","18,067",23.93%,70.90%
,Pulaski,"2,922","9,876","13,461",21.71%,73.37%
,Randolph,"2,283","7,529","10,309",22.15%,73.03%
,St. Clair,936,"3,501","4,630",20.22%,75.62%
,Vernon,"1,707","6,533","8,585",19.88%,76.10%
,Webster (pt.),"2,387","9,742","12,645",18.88%,77.05%
4 Total,,"99,844","222,162","340,290",29.34%,65.29%
5,Clay (pt.),"14,436","18,277","35,012",41.23%,52.20%
,Jackson (pt.),"55,669","66,458","129,601",42.95%,51.28%
,Kansas City- Jackson,"97,735","24,654","128,271",76.19%,19.22%
,Lafayette,"4,053","10,988","15,833",25.60%,69.40%
,Ray,"3,090","7,104","10,839",28.51%,65.54%
,Saline,"2,789","5,977","9,247",30.16%,64.64%
5 Total,,"177,772","133,458","328,803",54.07%,40.59%
6,Adair,"3,500","6,030","10,153",34.47%,59.39%
,Andrew,"2,045","6,665","9,140",22.37%,72.92%
,Atchison,541,"2,060","2,724",19.86%,75.62%
,Audrain (pt.),536,"1,524","2,135",25.13%,71.38%
,Buchanan,"12,013","21,320","35,571",33.77%,59.94%
,Caldwell,838,"3,232","4,311",19.44%,74.97%
,Carroll,745,"3,480","4,361",17.08%,79.80%
,Chariton,888,"2,950","3,965",22.40%,74.40%
,Clark,724,"2,458","3,316",21.83%,74.13%
,Clay (pt.),"30,868","39,199","74,524",41.42%,52.60%
,Clinton,"2,572","7,067","10,208",25.20%,69.23%
,Daviess,730,"2,767","3,696",19.75%,74.86%
,De Kalb,824,"3,540","4,590",17.95%,77.12%
,Gentry,605,"2,304","3,033",19.95%,75.96%
,Grundy,780,"3,462","4,413",17.68%,78.45%
,Harrison,574,"2,965","3,682",15.59%,80.53%
,Holt,347,"1,926","2,349",14.77%,81.99%
,Jackson (pt.),"15,568","25,099","43,122",36.10%,58.20%
,Knox,379,"1,416","1,870",20.27%,75.72%
,Lewis,934,"3,344","4,454",20.97%,75.08%
,Linn,"1,240","4,088","5,577",22.23%,73.30%
,Livingston,"1,265","4,879","6,408",19.74%,76.14%
,Macon,"1,548","5,798","7,613",20.33%,76.16%
,Marion,"2,994","9,419","12,905",23.20%,72.99%
,Mercer,216,"1,486","1,739",12.42%,85.45%
,Monroe,853,"3,159","4,147",20.57%,76.18%
,Nodaway,"2,529","6,380","9,440",26.79%,67.58%
,Pike,"1,806","5,274","7,375",24.49%,71.51%
,Platte,"20,057","25,933","48,902",41.01%,53.03%
,Putnam,353,"1,936","2,343",15.07%,82.63%
,Ralls,"1,138","3,969","5,266",21.61%,75.37%
,Schuyler,354,"1,505","1,932",18.32%,77.90%
,Scotland,365,"1,525","1,968",18.55%,77.49%
,Shelby,606,"2,524","3,252",18.63%,77.61%
,Sullivan,526,"1,884","2,484",21.18%,75.85%
,Worth,195,808,"1,046",18.64%,77.25%
6 Total,,"112,056","223,375","354,014",31.65%,63.10%
7,Barry,"2,710","11,428","14,605",18.56%,78.25%
,Christian,"8,508","30,946","41,403",20.55%,74.74%
,Greene,"42,728","78,035","128,660",33.21%,60.65%
,Jasper,"10,572","35,070","48,201",21.93%,72.76%
,Lawrence,"2,901","13,089","16,683",17.39%,78.46%
,McDonald,"1,329","6,599","8,233",16.14%,80.15%
,Newton,"4,990","20,553","26,515",18.82%,77.51%
,Polk,"2,631","10,438","13,713",19.19%,76.12%
,Stone,"2,887","13,158","16,549",17.45%,79.51%
,Taney,"4,373","18,276","23,445",18.65%,77.95%
,Webster (pt.),790,"3,098","4,062",19.44%,76.25%
7 Total,,"84,419","240,690","342,069",24.68%,70.36%
8,Bollinger,705,"4,827","5,669",12.44%,85.15%
,Butler,"3,036","13,650","17,235",17.62%,79.20%
,Cape Girardeau,"8,492","27,017","36,982",22.96%,73.05%
,Carter,436,"2,324","2,844",15.33%,81.72%
,Crawford,"1,824","7,724","9,920",18.39%,77.86%
,Dent,978,"5,600","6,779",14.43%,82.61%
,Douglas,984,"5,486","6,664",14.77%,82.32%
,Dunklin,"2,360","8,026","10,574",22.32%,75.90%
,Howell,"2,881","13,893","17,422",16.54%,79.74%
,Iron,933,"3,173","4,260",21.90%,74.48%
,Jefferson (pt.),"7,850","19,690","28,880",27.18%,68.18%
,Madison,"1,005","4,102","5,318",18.90%,77.13%
,Mississippi,"1,458","3,600","5,165",28.23%,69.70%
,New Madrid,"1,933","5,270","7,352",26.29%,71.68%
,Oregon,865,"3,671","4,667",18.53%,78.66%
,Ozark,724,"3,639","4,501",16.09%,80.85%
,Pemiscot,"1,947","3,964","6,027",32.30%,65.77%
,Perry,"1,520","6,908","8,733",17.41%,79.10%
