CD,County,Biden,Trump,Total,Biden%,Trump%
AL,Beaverhead,"1,608","3,923","5,661",28.40%,69.30%
,Big Horn,"2,491","2,207","4,784",52.07%,46.13%
,Blaine,"1,589","1,469","3,117",50.98%,47.13%
,Broadwater,835,"3,173","4,097",20.38%,77.45%
,Carbon,"2,421","4,468","7,052",34.33%,63.36%
,Carter,74,775,864,8.56%,89.70%
,Cascade,"15,456","23,315","39,885",38.75%,58.46%
,Chouteau,991,"1,891","2,965",33.42%,63.78%
,Custer,"1,514","4,205","5,860",25.84%,71.76%
,Daniels,195,799,"1,014",19.23%,78.80%
,Dawson,962,"3,758","4,825",19.94%,77.89%
,Deer Lodge,"2,562","2,186","4,891",52.38%,44.69%
,Fallon,172,"1,375","1,575",10.92%,87.30%
,Fergus,"1,496","4,869","6,507",22.99%,74.83%
,Flathead,"20,274","38,321","59,936",33.83%,63.94%
,Gallatin,"37,044","31,696","70,979",52.19%,44.66%
,Garfield,41,764,813,5.04%,93.97%
,Glacier,"3,610","1,884","5,617",64.27%,33.54%
,Golden Valley,78,414,503,15.51%,82.31%
,Granite,638,"1,419","2,102",30.35%,67.51%
,Hill,"2,981","3,957","7,182",41.51%,55.10%
,Jefferson,"2,625","5,345","8,151",32.20%,65.57%
,Judith Basin,275,"1,040","1,344",20.46%,77.38%
,Lake,"6,916","9,322","16,626",41.60%,56.07%
,Lewis & Clark,"19,743","21,409","42,265",46.71%,50.65%
,Liberty,249,821,"1,083",22.99%,75.81%
,Lincoln,"2,835","8,672","11,747",24.13%,73.82%
,Madison,"1,771","4,191","6,087",29.09%,68.85%
,McCone,155,956,"1,128",13.74%,84.75%
,Meagher,258,833,"1,110",23.24%,75.05%
,Mineral,686,"1,828","2,563",26.77%,71.32%
,Missoula,"43,357","26,347","71,495",60.64%,36.85%
,Musselshell,413,"2,423","2,881",14.34%,84.10%
,Park,"5,280","6,025","11,566",45.65%,52.09%
,Petroleum,39,298,348,11.21%,85.63%
,Phillips,416,"1,936","2,382",17.46%,81.28%
,Pondera,903,"2,031","2,995",30.15%,67.81%
,Powder River,154,970,"1,136",13.56%,85.39%
,Powell,752,"2,355","3,179",23.66%,74.08%
,Prairie,126,603,744,16.94%,81.05%
,Ravalli,"8,763","19,114","28,507",30.74%,67.05%
,Richland,875,"4,800","5,798",15.09%,82.79%
,Roosevelt,"1,910","1,996","4,017",47.55%,49.69%
,Rosebud,"1,199","2,486","3,773",31.78%,65.89%
,Sanders,"1,820","5,660","7,622",23.88%,74.26%
,Sheridan,574,"1,403","2,030",28.28%,69.11%
,Silver Bow,"10,392","7,745","18,658",55.70%,41.51%
,Stillwater,"1,156","4,462","5,724",20.20%,77.95%
,Sweet Grass,549,"1,840","2,446",22.44%,75.22%
,Teton,"1,007","2,608","3,679",27.37%,70.89%
,Toole,467,"1,596","2,119",22.04%,75.32%
,Treasure,78,373,460,16.96%,81.09%
,Valley,"1,030","3,135","4,261",24.17%,73.57%
,Wheatland,225,823,"1,068",21.07%,77.06%
,Wibaux,77,516,598,12.88%,86.29%
,Yellowstone,"30,679","50,772","83,821",36.60%,60.57%
AL Total,,"244,786","343,602","603,640",40.55%,56.92%
Grand Total,,"244,786","343,602","603,640",40.55%,56.92%
