CD,Town,Biden,Trump,Total,Biden%,Trump%
1,Barkhamsted,"1,154","1,228","2,440",47.30%,50.33%
,Berlin,"6,008","6,687","12,872",46.67%,51.95%
,Bloomfield,"11,007","1,698","12,817",85.88%,13.25%
,Bristol,"15,462","13,834","29,774",51.93%,46.46%
,Colebrook,403,563,988,40.79%,56.98%
,Cromwell,"4,872","3,749","8,773",55.53%,42.73%
,East Granby,"1,789","1,405","3,264",54.81%,43.05%
,East Hartford,"14,787","5,524","20,605",71.76%,26.81%
,East Windsor,"3,008","2,541","5,651",53.23%,44.97%
,Glastonbury (pt.),"13,255","7,537","21,160",62.64%,35.62%
,Granby,"4,029","3,166","7,368",54.68%,42.97%
,Hartford,"28,301","4,116","32,686",86.58%,12.59%
,Hartland,457,818,"1,291",35.40%,63.36%
,Manchester,"19,455","8,530","28,449",68.39%,29.98%
,Middletown (pt.),"1,826","1,007","2,881",63.38%,34.95%
,New Hartford,"2,089","2,382","4,575",45.66%,52.07%
,Newington,"10,031","7,074","17,352",57.81%,40.77%
,Portland,"3,155","2,641","5,887",53.59%,44.86%
,Rocky Hill,"6,115","4,670","10,937",55.91%,42.70%
,South Windsor,"9,596","5,630","15,518",61.84%,36.28%
,Southington,"12,855","13,473","26,714",48.12%,50.43%
,Torrington (pt.),"3,418","4,621","8,183",41.77%,56.47%
,West Hartford,"27,298","8,451","36,271",75.26%,23.30%
,Wethersfield,"9,612","6,413","16,274",59.06%,39.41%
,Winchester,"2,304","2,799","5,133",44.89%,54.53%
,Windsor,"13,183","4,090","17,509",75.29%,23.36%
,Windsor Locks,"3,751","3,156","7,020",53.43%,44.96%
1 Total,,"229,220","127,803","362,392",63.25%,35.27%
2,Andover,"1,058",998,"2,091",50.60%,47.73%
,Ashford,"1,330","1,160","2,542",52.32%,45.63%
,Bolton,"1,727","1,482","3,286",52.56%,45.10%
,Bozrah,703,817,"1,548",45.41%,52.78%
,Brooklyn,"1,876","2,262","4,221",44.44%,53.59%
,Canterbury,"1,182","1,755","3,012",39.24%,58.27%
,Chaplin,598,662,"1,290",46.36%,51.32%
,Chester,"1,701",853,"2,594",65.57%,32.88%
,Clinton,"4,368","3,312","7,804",55.97%,42.44%
,Colchester,"5,216","4,243","9,691",53.82%,43.78%
,Columbia,"1,888","1,600","3,567",52.93%,44.86%
,Coventry,"4,011","3,545","7,759",51.69%,45.69%
,Deep River,"1,785","1,076","2,902",61.51%,37.08%
,East Haddam,"2,980","2,731","5,824",51.17%,46.89%
,East Hampton,"4,051","3,746","7,984",50.74%,46.92%
,East Lyme,"7,290","4,285","11,756",62.01%,36.45%
,Eastford,464,572,"1,067",43.49%,53.61%
,Ellington,"4,787","4,515","9,480",50.50%,47.63%
,Enfield,"11,263","9,298","20,918",53.84%,44.45%
,Essex,"3,011","1,635","4,713",63.89%,34.69%
,Franklin,553,674,"1,260",43.89%,53.49%
,Glastonbury (pt.),735,461,"1,214",60.54%,37.97%
,Griswold,"2,565","3,257","5,980",42.89%,54.46%
,Groton,"10,699","6,272","17,382",61.55%,36.08%
,Haddam,"2,728","2,693","5,511",49.50%,48.87%
,Hampton,572,551,"1,138",50.26%,48.42%
,Hebron,"3,388","2,731","6,266",54.07%,43.58%
,Killingly,"3,402","4,678","8,281",41.08%,56.49%
,Killingworth,"2,343","1,979","4,386",53.42%,45.12%
,Lebanon,"2,052","2,268","4,438",46.24%,51.10%
,Ledyard,"4,534","3,664","8,425",53.82%,43.49%
,Lisbon,"1,099","1,331","2,490",44.14%,53.45%
,Lyme,"1,165",576,"1,772",65.74%,32.51%
,Madison,"7,625","4,638","12,431",61.34%,37.31%
,Mansfield,"5,608","1,708","7,483",74.94%,22.83%
,Marlborough,"2,119","1,861","4,059",52.20%,45.85%
,Montville,"4,406","4,242","8,871",49.67%,47.82%
,New London,"6,912","2,045","9,123",75.76%,22.42%
,North Stonington,"1,601","1,710","3,375",47.44%,50.67%
,Norwich,"9,306","5,643","15,289",60.87%,36.91%
,Old Lyme,"3,226","2,099","5,413",59.60%,38.78%
,Old Saybrook,"4,253","2,995","7,343",57.92%,40.79%
,Plainfield,"2,849","4,080","7,086",40.21%,57.58%
,Pomfret,"1,357","1,113","2,522",53.81%,44.13%
,Preston,"1,270","1,529","2,868",44.28%,53.31%
,Putnam,"2,063","2,193","4,349",47.44%,50.43%
,Salem,"1,285","1,291","2,619",49.06%,49.29%
,Scotland,406,537,970,41.86%,55.36%
,Somers,"2,445","3,204","5,720",42.74%,56.01%
,Sprague,641,882,"1,557",41.17%,56.65%
,Stafford,"2,809","3,461","6,420",43.75%,53.91%
,Sterling,639,"1,229","1,907",33.51%,64.45%
,Stonington,"7,453","4,240","11,888",62.69%,35.67%
,Suffield,"4,363","4,155","8,684",50.24%,47.85%
,Thompson,"2,050","3,005","5,155",39.77%,58.29%
,Tolland,"5,103","3,975","9,255",55.14%,42.95%
,Union,249,307,571,43.61%,53.77%
,Vernon,"9,259","5,848","15,399",60.13%,37.98%
,Voluntown,566,918,"1,524",37.14%,60.24%
,Waterford,"6,917","5,124","12,313",56.18%,41.61%
,Westbrook,"2,288","1,958","4,309",53.10%,45.44%
,Willington,"1,674","1,445","3,200",52.31%,45.16%
,Windham,"5,365","2,824","8,345",64.29%,33.84%
,Woodstock,"2,548","2,520","5,178",49.21%,48.67%
2 Total,,"205,779","164,461","377,818",54.47%,43.53%
3,Ansonia,"4,521","3,797","8,418",53.71%,45.11%
,Beacon Falls,"1,543","2,191","3,803",40.57%,57.61%
,Bethany,"1,912","1,718","3,698",51.70%,46.46%
,Branford,"10,562","7,098","17,906",58.99%,39.64%
,Derby,"2,963","2,749","5,778",51.28%,47.58%
,Durham,"2,363","2,330","4,780",49.44%,48.74%
,East Haven,"6,757","7,572","14,498",46.61%,52.23%
,Guilford,"9,616","5,050","14,864",64.69%,33.97%
,Hamden,"21,652","7,139","29,104",74.40%,24.53%
,Middlefield,"1,442","1,356","2,852",50.56%,47.55%
,Middletown (pt.),"13,682","6,604","20,624",66.34%,32.02%
,Milford,"17,626","13,997","32,052",54.99%,43.67%
,Naugatuck,"6,923","7,740","14,903",46.45%,51.94%
,New Haven,"35,521","6,146","42,076",84.42%,14.61%
,North Branford,"3,718","4,786","8,630",43.08%,55.46%
,North Haven,"7,389","7,879","15,437",47.87%,51.04%
,Orange,"4,816","4,317","9,249",52.07%,46.68%
,Prospect,"2,110","3,935","6,110",34.53%,64.40%
,Seymour,"4,011","5,242","9,392",42.71%,55.81%
,Shelton (pt.),571,616,"1,208",47.27%,50.99%
,Stratford,"17,363","10,516","28,194",61.58%,37.30%
,Wallingford,"13,560","11,831","25,779",52.60%,45.89%
,Waterbury (pt.),"3,596","3,029","6,700",53.67%,45.21%
,West Haven,"14,245","8,126","22,605",63.02%,35.95%
,Woodbridge,"3,855","1,816","5,739",67.17%,31.64%
3 Total,,"212,317","137,580","354,399",59.91%,38.82%
4,Bridgeport,"33,515","8,269","42,137",79.54%,19.62%
,Darien,"7,876","4,921","13,018",60.50%,37.80%
,Easton,"2,777","2,178","5,020",55.32%,43.39%
,Fairfield,"22,861","12,052","35,406",64.57%,34.04%
,Greenwich,"22,243","13,269","36,094",61.63%,36.76%
,Monroe,"5,838","5,989","12,002",48.64%,49.90%
,New Canaan,"7,298","4,855","12,359",59.05%,39.28%
,Norwalk,"29,382","13,311","43,214",67.99%,30.80%
,Oxford,"3,269","5,118","8,511",38.41%,60.13%
,Redding,"3,829","2,052","5,970",64.14%,34.37%
,Ridgefield,"10,278","5,689","16,235",63.31%,35.04%
,Shelton (pt.),"10,266","12,131","22,674",45.28%,53.50%
,Stamford,"40,437","18,242","59,399",68.08%,30.71%
,Trumbull,"11,919","9,769","21,995",54.19%,44.41%
,Weston,"4,733","1,680","6,522",72.57%,25.76%
,Westport,"13,048","4,222","17,522",74.47%,24.10%
,Wilton,"7,676","3,819","11,713",65.53%,32.60%
4 Total,,"237,245","127,566","369,791",64.16%,34.50%
5,Avon,"7,299","4,469","11,986",60.90%,37.29%
,Bethel,"6,270","4,734","11,169",56.14%,42.39%
,Bethlehem,937,"1,393","2,366",39.60%,58.88%
,Bridgewater,667,549,"1,233",54.10%,44.53%
,Brookfield,"5,426","5,226","10,802",50.23%,48.38%
,Burlington,"3,099","3,034","6,231",49.74%,48.69%
,Canaan,437,209,654,66.82%,31.96%
,Canton,"3,878","2,663","6,661",58.22%,39.98%
,Cheshire,"9,745","7,349","17,417",55.95%,42.19%
,Cornwall,760,250,"1,032",73.64%,24.22%
,Danbury,"18,869","12,788","32,018",58.93%,39.94%
,Farmington,"9,616","6,160","16,034",59.97%,38.42%
,Goshen,902,"1,161","2,100",42.95%,55.29%
,Harwinton,"1,397","2,229","3,700",37.76%,60.24%
,Kent,"1,277",568,"1,864",68.51%,30.47%
,Litchfield,"2,673","2,555","5,341",50.05%,47.84%
,Meriden,"14,955","9,981","25,316",59.07%,39.43%
,Middlebury,"2,259","2,741","5,074",44.52%,54.02%
,Morris,653,874,"1,559",41.89%,56.06%
,New Britain,"16,031","7,724","24,071",66.60%,32.09%
,New Fairfield,"4,101","4,343","8,555",47.94%,50.77%
,New Milford,"8,004","7,493","15,734",50.87%,47.62%
,Newtown,"9,695","7,292","17,256",56.18%,42.26%
,Norfolk,659,381,"1,060",62.17%,35.94%
,North Canaan,862,812,"1,705",50.56%,47.62%
,Plainville,"4,670","4,811","9,647",48.41%,49.87%
,Plymouth,"2,477","3,984","6,593",37.57%,60.43%
,Roxbury,937,660,"1,622",57.77%,40.69%
