CD,County,Biden,Trump,Total,Biden%,Trump%
1,Escambia,"70,929","96,674","170,339",41.64%,56.75%
,Holmes (pt.),527,"5,215","5,787",9.11%,90.13%
,Okaloosa,"34,248","79,798","116,338",29.44%,68.59%
,Santa Rosa,"27,612","77,385","106,925",25.82%,72.37%
,Walton,"10,338","32,947","43,708",23.65%,75.38%
1 Total,,"143,654","292,019","443,097",32.42%,65.90%
2,Bay,"25,614","66,097","93,008",27.54%,71.07%
,Calhoun,"1,209","5,274","6,526",18.53%,80.82%
,Columbia (pt.),"7,032","21,903","29,184",24.10%,75.05%
,Dixie,"1,365","6,759","8,167",16.71%,82.76%
,Franklin,"2,120","4,675","6,849",30.95%,68.26%
,Gilchrist,"1,700","7,895","9,682",17.56%,81.54%
,Gulf,"1,985","6,113","8,163",24.32%,74.89%
,Holmes (pt.),397,"2,865","3,281",12.09%,87.30%
,Jackson,"6,766","15,488","22,414",30.19%,69.10%
,Jefferson (pt.),295,462,766,38.50%,60.38%
,Lafayette,510,"3,128","3,658",13.94%,85.51%
,Leon (pt.),"43,268","34,762","78,885",54.85%,44.07%
,Levy,"6,205","16,749","23,144",26.81%,72.37%
,Liberty,694,"2,846","3,561",19.49%,79.92%
,Marion (pt.),"12,104","21,571","33,887",35.72%,63.66%
,Suwannee,"4,485","16,410","21,057",21.30%,77.93%
,Taylor,"2,299","7,751","10,125",22.71%,76.55%
,Wakulla,"5,351","12,874","18,404",29.08%,69.95%
,Washington,"2,347","9,876","12,327",19.04%,80.12%
2 Total,,"125,746","263,499","393,088",31.99%,67.03%
3,Alachua,"89,704","50,972","142,584",62.91%,35.75%
,Bradford,"3,160","10,334","13,631",23.18%,75.81%
,Clay,"38,317","84,480","124,393",30.80%,67.91%
,Marion (pt.),"27,672","46,654","75,057",36.87%,62.16%
,Putnam,"10,527","25,514","36,372",28.94%,70.15%
,Union,"1,053","5,133","6,245",16.86%,82.19%
3 Total,,"170,433","223,087","398,282",42.79%,56.01%
4,Duval (pt.),"127,298","167,192","298,558",42.64%,56.00%
,Nassau,"15,564","42,566","58,806",26.47%,72.38%
,St. Johns (pt.),"55,551","96,178","153,351",36.23%,62.72%
4 Total,,"198,414","305,935","510,715",38.85%,59.90%
5,Baker,"2,037","11,911","14,059",14.49%,84.72%
,Columbia (pt.),"1,882","1,933","3,858",48.78%,50.09%
,Duval (pt.),"125,258","66,570","194,185",64.50%,34.28%
,Gadsden,"16,153","7,465","23,762",67.98%,31.42%
,Hamilton,"1,963","3,815","5,829",33.68%,65.45%
,Jefferson (pt.),"3,602","4,017","7,682",46.89%,52.28%
,Leon (pt.),"60,249","22,691","83,991",71.73%,27.02%
,Madison,"3,747","5,576","9,380",39.95%,59.45%
5 Total,,"214,891","123,978","342,746",62.70%,36.17%
6,Flagler,"28,161","43,043","71,711",39.27%,60.02%
,Lake (pt.),"17,572","32,012","50,074",35.09%,63.93%
,St. Johns (pt.),"8,299","14,768","23,267",35.67%,63.47%
,Volusia,"130,575","173,821","307,416",42.48%,56.54%
6 Total,,"184,607","263,644","452,468",40.80%,58.27%
7,Orange (pt.),"93,977","58,173","154,155",60.96%,37.74%
