CD,County,Biden,Trump,Total,Biden%,Trump%
1,Lake,"124,870","91,760","219,842",56.80%,41.74%
,LaPorte (pt.),"13,014","11,786","25,240",51.56%,46.70%
,Porter,"39,746","45,008","86,410",46.00%,52.09%
1 Total,,"177,630","148,554","331,492",53.59%,44.81%
2,Elkhart,"26,108","46,972","74,321",35.13%,63.20%
,Fulton,"2,280","6,694","9,144",24.93%,73.21%
,Kosciusko (pt.),"2,543","10,101","12,926",19.67%,78.14%
,LaPorte (pt.),"9,413","14,211","24,152",38.97%,58.84%
,Marshall,"5,712","13,844","19,918",28.68%,69.50%
,Miami,"3,235","10,925","14,466",22.36%,75.52%
,Pulaski,"1,463","4,246","5,806",25.20%,73.13%
,St. Joseph,"59,896","53,164","114,985",52.09%,46.24%
,Starke,"2,650","7,466","10,290",25.75%,72.56%
,Wabash,"3,494","10,762","14,573",23.98%,73.85%
2 Total,,"116,794","178,385","300,581",38.86%,59.35%
3,Adams,"3,236","10,686","14,209",22.77%,75.21%
,Allen,"73,189","92,083","169,000",43.31%,54.49%
,Blackford (pt.),263,908,"1,208",21.77%,75.17%
,DeKalb,"4,966","14,237","19,628",25.30%,72.53%
,Huntington,"4,255","13,147","17,810",23.89%,73.82%
,Jay,"1,926","6,361","8,456",22.78%,75.22%
,Kosciusko (pt.),"5,821","16,398","22,840",25.49%,71.80%
,LaGrange,"2,355","8,110","10,633",22.15%,76.27%
,Noble,"4,660","14,195","19,190",24.28%,73.97%
,Steuben,"4,513","11,327","16,152",27.94%,70.13%
,Wells,"2,928","10,855","14,044",20.85%,77.29%
,Whitley,"4,234","12,862","17,549",24.13%,73.29%
3 Total,,"112,346","211,169","330,719",33.97%,63.85%
4,Benton,"1,009","3,007","4,108",24.56%,73.20%
,Boone (pt.),"4,926","11,765","17,123",28.77%,68.71%
,Carroll,"2,224","7,086","9,495",23.42%,74.63%
,Cass,"4,304","10,552","15,189",28.34%,69.47%
,Clinton,"3,361","9,334","12,941",25.97%,72.13%
,Fountain,"1,629","6,154","7,983",20.41%,77.09%
,Hendricks,"32,604","53,802","88,458",36.86%,60.82%
,Howard (pt.),"11,968","22,118","34,803",34.39%,63.55%
,Jasper,"3,798","11,383","15,469",24.55%,73.59%
,Montgomery,"4,213","12,659","17,198",24.50%,73.61%
,Morgan (pt.),"2,718","8,994","11,996",22.66%,74.97%
,Newton,"1,509","4,942","6,591",22.89%,74.98%
,Putnam,"3,946","12,278","16,595",23.78%,73.99%
,Tippecanoe,"35,017","34,581","71,430",49.02%,48.41%
,Warren,974,"3,401","4,471",21.78%,76.07%
,White,"3,032","7,957","11,159",27.17%,71.31%
4 Total,,"117,232","220,013","345,009",33.98%,63.77%
5,Blackford (pt.),"1,113","2,933","4,141",26.88%,70.83%
,Boone (pt.),"10,318","10,586","21,377",48.27%,49.52%
,Grant,"8,015","18,543","27,142",29.53%,68.32%
,Hamilton,"88,390","101,587","193,871",45.59%,52.40%
,Howard (pt.),"1,335","4,331","5,807",22.99%,74.58%
,Madison,"19,524","31,215","51,765",37.72%,60.30%
,Marion (pt.),"69,847","34,364","106,169",65.79%,32.37%
,Tipton,"1,834","6,110","8,115",22.60%,75.29%
5 Total,,"200,376","209,669","418,387",47.89%,50.11%
6,Bartholomew,"12,934","22,410","36,216",35.71%,61.88%
,Dearborn,"5,446","19,528","25,361",21.47%,77.00%
,Decatur,"2,439","9,575","12,287",19.85%,77.93%
,Delaware,"20,474","26,827","48,191",42.49%,55.67%
,Fayette,"2,237","7,755","10,136",22.07%,76.51%
,Franklin,"2,137","9,691","11,997",17.81%,80.78%
,Hancock,"12,895","28,996","42,907",30.05%,67.58%
,Henry,"5,544","15,043","21,021",26.37%,71.56%
,Jefferson,"4,731","9,663","14,690",32.21%,65.78%
,Jennings,"2,523","9,490","12,251",20.59%,77.46%
,Ohio,668,"2,054","3,075",21.72%,66.80%
,Randolph,"2,513","8,312","11,068",22.71%,75.10%
,Ripley,"2,774","11,261","14,264",19.45%,78.95%
,Rush,"1,754","6,035","7,932",22.11%,76.08%
,Scott (pt.),"1,186","3,621","4,857",24.42%,74.55%
,Shelby,"5,023","14,568","19,991",25.13%,72.87%
,Switzerland,964,"3,133","4,152",23.22%,75.46%
,Union,736,"2,688","3,483",21.13%,77.17%
