CD,Parish,Biden,Trump,Total,Biden%,Trump%
1,Jefferson (pt.),"36,550","76,115","114,779",31.84%,66.31%
,Lafourche (pt.),"2,084","17,507","19,855",10.50%,88.17%
,Orleans (pt.),"14,462","10,715","25,816",56.02%,41.51%
,Plaquemines,"3,414","7,412","11,014",31.00%,67.30%
,St. Bernard,"6,151","11,179","17,650",34.85%,63.34%
,St. Tammany,"37,746","99,666","140,110",26.94%,71.13%
,Tangipahoa (pt.),"11,188","23,587","35,423",31.58%,66.59%
,Terrebonne (pt.),"6,675","20,747","27,842",23.98%,74.52%
1 Total,,"118,270","266,928","392,488",30.13%,68.01%
2,Ascension (pt.),"7,330","2,374","9,912",73.95%,23.95%
,Assumption (pt.),"2,238","1,417","3,707",60.37%,38.22%
,East Baton Rouge (pt.),"35,049","1,931","37,607",93.20%,5.14%
,Iberville (pt.),"6,692","4,090","11,026",60.69%,37.09%
,Jefferson (pt.),"47,927","29,834","78,954",60.70%,37.79%
,Orleans (pt.),"133,392","15,949","152,003",87.76%,10.49%
,St. Charles (pt.),"6,851","10,983","18,122",37.81%,60.61%
,St. James,"6,510","5,954","12,590",51.71%,47.29%
,St. John The Baptist (pt.),"10,826","4,256","15,325",70.64%,27.77%
,West Baton Rouge (pt.),"3,772","2,782","6,654",56.69%,41.81%
2 Total,,"260,587","79,570","345,901",75.34%,23.00%
3,Acadia,"5,443","22,596","28,425",19.15%,79.49%
,Calcasieu,"25,982","55,066","82,663",31.43%,66.62%
,Cameron,324,"3,671","4,039",8.02%,90.89%
,Iberia,"11,027","21,251","32,713",33.71%,64.96%
,Jefferson Davis,"3,208","11,423","14,841",21.62%,76.97%
,Lafayette,"39,685","72,519","114,521",34.65%,63.32%
,St. Landry (pt.),276,"1,268","1,566",17.60%,80.99%
,St. Martin,"8,439","18,203","27,038",31.21%,67.32%
,St. Mary,"8,055","14,811","23,186",34.74%,63.88%
,Vermilion,"5,009","21,930","27,324",18.33%,80.26%
3 Total,,"107,448","242,738","356,316",30.16%,68.12%
4,Allen,"2,108","7,574","9,810",21.49%,77.21%
,Beauregard,"2,542","13,575","16,357",15.54%,82.99%
,Bienville,"3,067","3,891","7,050",43.50%,55.19%
,Bossier,"15,662","38,074","54,655",28.66%,69.66%
,Caddo,"55,110","48,021","104,912",52.53%,45.77%
,Claiborne,"2,731","3,770","6,580",41.50%,57.29%
,De Soto,"5,457","9,112","14,736",37.03%,61.83%
,Evangeline,"4,158","11,053","15,412",26.98%,71.72%
,Natchitoches,"6,896","9,358","16,554",41.66%,56.53%
,Red River,"1,644","2,413","4,132",39.79%,58.40%
,Sabine,"1,731","8,776","10,596",16.34%,82.82%
,St. Landry (pt.),"8,670","11,862","20,825",41.63%,56.96%
,Union,"2,654","8,407","11,201",23.69%,75.06%
,Vernon,"2,898","14,107","17,268",16.78%,81.69%
,Webster,"6,172","11,830","18,216",33.88%,64.94%
4 Total,,"121,500","201,823","328,304",37.01%,61.47%
5,Avoyelles,"4,979","12,028","17,292",28.79%,69.56%
,Caldwell,745,"3,976","4,762",15.64%,83.49%
,Catahoula,"1,269","3,541","4,858",26.12%,72.89%
,Concordia,"3,177","5,550","8,828",35.99%,62.87%
,East Carroll,"1,900","1,080","3,036",62.58%,35.57%
,East Feliciana (pt.),"2,780","2,421","5,290",52.55%,45.77%
,Franklin,"2,658","6,970","9,720",27.35%,71.71%
,Grant,"1,157","8,117","9,392",12.32%,86.42%
,Jackson,"2,143","5,394","7,632",28.08%,70.68%
,LaSalle,638,"6,378","7,077",9.02%,90.12%
,Lincoln,"7,559","11,311","19,275",39.22%,58.68%
,Madison,"2,654","1,930","4,670",56.83%,41.33%
,Morehouse,"4,946","6,510","11,574",42.73%,56.25%
,Ouachita,"25,913","42,255","69,166",37.46%,61.09%
,Rapides,"19,475","38,347","58,865",33.08%,65.14%
,Richland,"3,225","6,607","9,940",32.44%,66.47%
,St. Helena (pt.),488,"1,087","1,599",30.55%,67.95%
,St. Landry (pt.),"8,426","10,040","18,763",44.91%,53.51%
,Tangipahoa (pt.),"7,699","14,219","22,238",34.62%,63.94%
,Tensas,"1,329","1,197","2,554",52.04%,46.87%
,Washington,"5,970","13,307","19,513",30.59%,68.20%
,West Carroll,710,"4,317","5,052",14.05%,85.45%
,West Feliciana,"2,298","3,863","6,268",36.66%,61.63%
,Winn,"1,543","4,619","6,225",24.79%,74.20%
5 Total,,"113,682","215,064","333,589",34.08%,64.47%
6,Ascension (pt.),"13,069","38,313","52,413",24.94%,73.10%
,Assumption (pt.),"1,595","5,854","7,528",21.19%,77.77%
,East Baton Rouge (pt.),"80,528","86,489","170,575",47.21%,50.70%
,East Feliciana (pt.),"1,500","3,643","5,219",28.74%,69.79%
,Iberville (pt.),"1,822","3,803","5,693",32.01%,66.80%
,Lafourche (pt.),"6,588","18,517","25,533",25.80%,72.52%
,Livingston,"9,249","54,877","65,230",14.18%,84.13%
,Pointe Coupee,"4,683","7,503","12,371",37.85%,60.65%
,St. Charles (pt.),"2,949","7,250","10,395",28.36%,69.74%
,St. Helena (pt.),"2,858","1,627","4,559",62.68%,35.70%
,St. John The Baptist (pt.),"2,756","3,282","6,107",45.13%,53.74%
,Terrebonne (pt.),"4,523","13,592","18,398",24.58%,73.88%
,West Baton Rouge (pt.),"2,428","4,902","7,443",32.62%,65.86%
6 Total,,"134,547","249,652","391,463",34.37%,63.77%
Grand Total,,"856,034","1,255,776","2,148,062",39.85%,58.46%
