CD,County,Biden,Trump,Total,Biden%,Trump%
1,Cumberland ,"130,118","59,722","195,305",66.62%,30.58%
,Kennebec (pt.),"22,560","19,316","43,295",52.11%,44.61%
,Knox,"15,269","10,005","25,920",58.91%,38.60%
,Lincoln,"12,818","10,280","23,760",53.95%,43.27%
,Sagadahoc,"13,671","9,778","24,211",56.47%,40.39%
,York,"71,940","54,944","130,578",55.09%,42.08%
1 Total,,"266,376","164,045","443,067",60.12%,37.02%
2,Androscoggin,"27,918","29,336","59,091",47.25%,49.65%
,Arookstook,"14,108","21,129","35,951",39.24%,58.77%
,Franklin,"8,157","8,774","17,505",46.60%,50.13%
,Hancock,"19,580","15,017","35,578",55.03%,42.21%
,Kennebec (pt.),"12,715","15,486","29,035",43.79%,53.34%
,Oxford,"14,916","17,739","33,705",44.25%,52.63%
,Penobscot,"38,124","44,930","85,809",44.43%,52.36%
,Piscataquis,"3,555","6,157","9,960",35.69%,61.82%
,Somerset,"10,310","16,683","27,729",37.18%,60.16%
,Waldo,"12,479","11,222","24,490",50.96%,45.82%
,Washington,"6,835","10,218","17,454",39.16%,58.54%
2 Total,,"168,696","196,692","376,307",44.83%,52.27%
Grand Total,,"435,072","360,737","819,374",53.10%,44.03%
