CD,County,Biden,Trump,Total,Biden%,Trump%
1,Baltimore (pt.),"15,096","18,971","34,786",43.40%,54.54%
,Caroline,"5,095","10,283","15,729",32.39%,65.38%
,Carroll (pt.),"11,814","25,805","38,676",30.55%,66.72%
,Cecil,"16,809","29,439","47,273",35.56%,62.27%
,Dorchester,"6,857","8,764","15,934",43.03%,55.00%
,Harford (pt.),"35,804","61,508","99,469",36.00%,61.84%
,Kent,"5,329","5,195","10,740",49.62%,48.37%
,Queen Anne's,"10,709","18,741","30,079",35.60%,62.31%
,Somerset,"4,241","5,739","10,117",41.92%,56.73%
,Talbot,"11,062","10,946","22,400",49.38%,48.87%
,Wicomico,"22,054","22,944","45,975",47.97%,49.91%
,Worcester,"12,560","18,571","31,567",39.79%,58.83%
1 Total,,"157,430","236,906","402,745",39.09%,58.82%
2,Anne Arundel (pt.),"27,952","11,176","39,953",69.96%,27.97%
,Baltimore (pt.),"128,146","71,885","203,557",62.95%,35.31%
,Baltimore City (pt.),"23,809","3,102","27,276",87.29%,11.37%
,Harford (pt.),"27,291","19,422","47,752",57.15%,40.67%
,Howard (pt.),"18,235","5,316","24,037",75.86%,22.12%
2 Total,,"225,433","110,901","342,575",65.81%,32.37%
3,Anne Arundel (pt.),"68,355","46,182","116,913",58.47%,39.50%
,Baltimore (pt.),"43,006","24,541","68,803",62.51%,35.67%
,Baltimore City (pt.),"63,028","15,991","80,547",78.25%,19.85%
,Howard (pt.),"42,545","13,457","57,118",74.49%,23.56%
,Montgomery (pt.),"46,093","12,157","59,268",77.77%,20.51%
3 Total,,"263,027","112,328","382,649",68.74%,29.36%
4,Anne Arundel (pt.),"58,868","52,890","114,165",51.56%,46.33%
,Prince George's (pt.),"227,856","16,643","248,289",91.77%,6.70%
4 Total,,"286,724","69,533","362,454",79.11%,19.18%
5,Anne Arundel (pt.),"17,648","17,573","35,893",49.17%,48.96%
,Calvert,"22,587","25,346","48,832",46.25%,51.90%
,Charles,"62,171","25,579","89,063",69.81%,28.72%
,Prince George's (pt.),"151,352","20,447","174,562",86.70%,11.71%
,St. Mary's,"23,138","30,826","55,339",41.81%,55.70%
5 Total,,"276,896","119,771","403,689",68.59%,29.67%
6,Allegany,"9,158","20,886","30,511",30.02%,68.45%
,Frederick (pt.),"44,545","23,671","69,749",63.86%,33.94%
,Garrett,"3,281","12,002","15,579",21.06%,77.04%
,Montgomery (pt.),"144,186","43,952","191,688",75.22%,22.93%
,Washington,"26,044","40,224","67,510",38.58%,59.58%
6 Total,,"227,214","140,735","375,037",60.58%,37.53%
7,Baltimore (pt.),"72,161","30,805","104,760",68.88%,29.41%
,Baltimore City (pt.),"120,423","6,281","128,366",93.81%,4.89%
,Howard (pt.),"68,653","29,617","100,169",68.54%,29.57%
7 Total,,"261,237","66,703","333,295",78.38%,20.01%
8,Carroll (pt.),"24,642","34,413","60,732",40.57%,56.66%
,Frederick (pt.),"33,130","40,011","74,819",44.28%,53.48%
,Montgomery (pt.),"229,290","45,113","278,613",82.30%,16.19%
8 Total,,"287,062","119,537","414,164",69.31%,28.86%
Grand Total,,"1,985,023","976,414","3,016,608",65.80%,32.37%
