CD,County,Biden,Trump,Total,Biden%,Trump%
1,Berkshire,"51,705","18,064","71,161",72.66%,25.38%
,Franklin (pt.),"6,832","2,426","9,519",71.77%,25.49%
,Hampden (pt.),"125,839","87,211","217,183",57.94%,40.16%
,Hampshire (pt.),"23,876","11,928","36,614",65.21%,32.58%
,Worcester (pt.),"16,687","16,026","33,476",49.85%,47.87%
1 Total,,"224,939","135,655","367,953",61.13%,36.87%
2,Franklin (pt.),"23,198","8,775","32,784",70.76%,26.77%
,Hampden (pt.),109,107,220,49.55%,48.64%
,Hampshire (pt.),"39,486","10,353","50,883",77.60%,20.35%
,Norfolk (pt.),"1,046","1,000","2,104",49.71%,47.53%
,Worcester (pt.),"176,708","120,142","303,499",58.22%,39.59%
2 Total,,"240,547","140,377","389,490",61.76%,36.04%
3,Essex (pt.),"61,558","34,885","98,071",62.77%,35.57%
,Middlesex (pt.),"141,970","71,137","217,616",65.24%,32.69%
,Worcester (pt.),"39,775","26,735","68,278",58.25%,39.16%
3 Total,,"243,303","132,757","383,965",63.37%,34.58%
4,Bristol (pt.),"98,404","77,227","179,100",54.94%,43.12%
,Middlesex (pt.),"47,954","11,338","60,201",79.66%,18.83%
,Norfolk (pt.),"116,141","45,382","164,467",70.62%,27.59%
,Plymouth (pt.),"3,336","3,778","7,292",45.75%,51.81%
,Worcester (pt.),"10,985","6,929","18,260",60.16%,37.95%
4 Total,,"276,820","144,654","429,320",64.48%,33.69%
5,Middlesex (pt.),"279,804","84,738","370,736",75.47%,22.86%
,Suffolk (pt.),"19,650","10,973","31,036",63.31%,35.36%
,Worcester (pt.),"4,618","1,851","6,609",69.87%,28.01%
5 Total,,"304,072","97,562","408,381",74.46%,23.89%
6,Essex (pt.),"205,640","109,952","321,219",64.02%,34.23%
,Middlesex (pt.),"74,142","49,300","125,684",58.99%,39.23%
6 Total,,"279,782","159,252","446,903",62.60%,35.63%
7,Middlesex (pt.),"73,326","10,443","85,048",86.22%,12.28%
,Norfolk (pt.),"17,378","4,311","21,937",79.22%,19.65%
,Suffolk (pt.),"185,387","28,320","216,602",85.59%,13.07%
7 Total,,"276,091","43,074","323,587",85.32%,13.31%
8,Bristol (pt.),"1,949","1,767","3,790",51.42%,46.62%
,Norfolk (pt.),"138,747","74,601","217,042",63.93%,34.37%
,Plymouth (pt.),"77,245","42,050","121,354",63.65%,34.65%
,Suffolk (pt.),"65,485","19,320","86,151",76.01%,22.43%
8 Total,,"283,426","137,738","428,337",66.17%,32.16%
9,Barnstable,"91,994","55,311","149,799",61.41%,36.92%
,Bristol (pt.),"53,024","40,878","95,453",55.55%,42.83%
,Dukes,"9,914","2,631","12,765",77.67%,20.61%
,Nantucket,"5,241","1,914","7,277",72.02%,26.30%
,Plymouth (pt.),"93,049","75,399","171,845",54.15%,43.88%
9 Total,,"253,222","176,133","437,139",57.93%,40.29%
Grand Total,,"2,382,202","1,167,202","3,615,075",65.90%,32.29%
