CD,County,Biden,Trump,Total,Biden%,Trump%
1,Blue Earth,"18,330","16,731","35,969",50.96%,46.52%
,Brown,"4,753","9,552","14,595",32.57%,65.45%
,Cottonwood (pt.),489,"1,470","1,990",24.57%,73.87%
,Dodge,"4,079","7,783","12,157",33.55%,64.02%
,Faribault,"2,531","5,191","7,892",32.07%,65.78%
,Fillmore,"4,551","7,301","12,104",37.60%,60.32%
,Freeborn,"6,889","9,578","16,791",41.03%,57.04%
,Houston,"4,853","6,334","11,419",42.50%,55.47%
,Jackson,"1,745","3,948","5,813",30.02%,67.92%
,Le Sueur,"5,672","10,775","16,776",33.81%,64.23%
,Martin,"3,305","7,480","10,979",30.10%,68.13%
,Mower,"8,899","10,025","19,301",46.11%,51.94%
,Nicollet,"9,622","9,018","19,071",50.45%,47.29%
,Nobles,"2,933","5,600","8,692",33.74%,64.43%
,Olmsted,"49,491","39,692","91,085",54.33%,43.58%
,Rice (pt.),"7,708","12,450","20,602",37.41%,60.43%
,Rock,"1,556","3,583","5,228",29.76%,68.53%
,Steele,"7,917","12,656","21,076",37.56%,60.05%
,Waseca,"3,496","6,624","10,364",33.73%,63.91%
,Watonwan,"1,987","3,103","5,191",38.28%,59.78%
,Winona,"13,333","13,227","27,108",49.18%,48.79%
1 Total,,"164,139","202,121","374,203",43.86%,54.01%
2,Dakota,"146,155","109,638","261,275",55.94%,41.96%
,Goodhue,"11,806","16,052","28,567",41.33%,56.19%
,Rice (pt.),"9,694","5,014","15,007",64.60%,33.41%
,Scott,"40,040","45,872","87,733",45.64%,52.29%
,Wabasha,"4,696","8,153","13,097",35.86%,62.25%
,Washington (pt.),"14,198","12,276","27,113",52.37%,45.28%
2 Total,,"226,589","197,005","432,792",52.36%,45.52%
3,Anoka (pt.),"18,707","16,154","35,736",52.35%,45.20%
,Carver (pt.),"21,518","18,974","41,320",52.08%,45.92%
,Hennepin (pt.),"225,327","143,093","375,456",60.01%,38.11%
3 Total,,"265,552","178,221","452,512",58.68%,39.38%
4,Ramsey (pt.),"210,141","76,948","292,893",71.75%,26.27%
,Washington (pt.),"63,056","46,347","111,565",56.52%,41.54%
4 Total,,"273,197","123,295","404,458",67.55%,30.48%
5,Anoka (pt.),"20,222","9,397","30,287",66.77%,31.03%
,Hennepin (pt.),"307,065","62,498","377,100",81.43%,16.57%
,Ramsey (pt.),"1,479",428,"1,943",76.12%,22.03%
5 Total,,"328,766","72,323","409,330",80.32%,17.67%
6,Anoka (pt.),"61,964","79,351","144,468",42.89%,54.93%
,Benton,"7,280","14,382","22,218",32.77%,64.73%
,Carver (pt.),"9,256","15,035","24,801",37.32%,60.62%
,Hennepin (pt.),231,382,626,36.90%,61.02%
,Sherburne,"18,065","36,222","55,487",32.56%,65.28%
,Stearns (pt.),"28,233","38,570","68,353",41.30%,56.43%
,Washington (pt.),"11,911","15,141","27,590",43.17%,54.88%
,Wright,"28,430","51,973","82,194",34.59%,63.23%
6 Total,,"165,370","251,056","425,737",38.84%,58.97%
7,Becker,"6,589","12,438","19,358",34.04%,64.25%
,Beltrami (pt.),"7,948","6,661","14,981",53.05%,44.46%
,Big Stone,"1,053","1,863","2,970",35.45%,62.73%
,Chippewa,"2,226","4,250","6,599",33.73%,64.40%
,Clay,"16,357","15,043","32,138",50.90%,46.81%
,Clearwater,"1,260","3,372","4,699",26.81%,71.76%
,Cottonwood (pt.),"1,345","2,695","4,107",32.75%,65.62%
,Douglas,"7,868","15,799","24,120",32.62%,65.50%
,Grant,"1,300","2,269","3,650",35.62%,62.16%
,Kandiyohi,"8,440","14,437","23,313",36.20%,61.93%
,Kittson,"1,006","1,546","2,630",38.25%,58.78%
,Lac Qui Parle,"1,446","2,528","4,033",35.85%,62.68%
,Lake Of The Woods,671,"1,704","2,405",27.90%,70.85%
,Lincoln,937,"2,121","3,112",30.11%,68.16%
,Lyon,"4,634","7,979","12,864",36.02%,62.03%
,Mahnomen,"1,112","1,142","2,302",48.31%,49.61%
,Marshall,"1,295","3,721","5,101",25.39%,72.95%
,Mcleod,"6,413","13,986","20,888",30.70%,66.96%
,Meeker,"3,867","9,359","13,497",28.65%,69.34%
,Murray,"1,449","3,363","4,883",29.67%,68.87%
,Norman,"1,404","1,953","3,433",40.90%,56.89%
,Otter Tail,"11,958","23,800","36,311",32.93%,65.54%
,Pennington,"2,568","4,532","7,263",35.36%,62.40%
,Pipestone,"1,306","3,553","4,932",26.48%,72.04%
,Polk,"5,439","9,865","15,568",34.94%,63.37%
,Pope,"2,477","4,417","7,007",35.35%,63.04%
,Red Lake,691,"1,454","2,190",31.55%,66.39%
,Redwood,"2,355","5,771","8,268",28.48%,69.80%
,Renville,"2,496","5,467","8,116",30.75%,67.36%
,Roseau,"2,188","6,065","8,408",26.02%,72.13%
,Sibley,"2,417","5,864","8,437",28.65%,69.50%
,Stearns (pt.),"3,646","12,389","16,287",22.39%,76.07%
,Stevens,"1,922","3,044","5,066",37.94%,60.09%
,Swift,"1,784","3,316","5,185",34.41%,63.95%
,Todd,"3,286","9,753","13,236",24.83%,73.69%
,Traverse,661,"1,172","1,862",35.50%,62.94%
,Wilkin,"1,026","2,328","3,429",29.92%,67.89%
,Yellow Medicine,"1,688","3,734","5,513",30.62%,67.73%
7 Total,,"126,528","234,753","368,161",34.37%,63.76%
8,Aitkin,"3,607","6,258","10,010",36.03%,62.52%
,Beltrami (pt.),"3,478","5,527","9,150",38.01%,60.40%
,Carlton,"10,098","9,791","20,320",49.69%,48.18%
,Cass,"6,342","11,620","18,255",34.74%,63.65%
,Chisago,"11,806","21,916","34,497",34.22%,63.53%
,Cook,"2,496","1,203","3,785",65.94%,31.78%
,Crow Wing,"13,726","25,676","40,073",34.25%,64.07%
,Hubbard,"4,462","8,202","12,927",34.52%,63.45%
,Isanti,"7,138","16,491","24,162",29.54%,68.25%
,Itasca,"10,786","15,239","26,511",40.68%,57.48%
,Kanabec,"2,774","6,278","9,224",30.07%,68.06%
,Koochiching,"2,659","4,131","6,905",38.51%,59.83%
,Lake,"3,647","3,393","7,183",50.77%,47.24%
,Mille Lacs,"4,404","9,952","14,666",30.03%,67.86%
,Morrison,"4,367","14,821","19,525",22.37%,75.91%
,Pine,"5,419","10,256","15,972",33.93%,64.21%
,St. Louis,"67,704","49,017","119,187",56.80%,41.13%
,Wadena,"2,023","5,520","7,661",26.41%,72.05%
8 Total,,"166,936","225,291","400,013",41.73%,56.32%
Grand Total,,"1,717,077","1,484,065","3,267,206",52.55%,45.42%
