CD,County,Biden,Trump,Total,Biden%,Trump%
1,Burt,"1,063","2,580","3,731",28.49%,69.15%
,Butler,873,"3,542","4,498",19.41%,78.75%
,Cass,"4,737","10,121","15,284",30.99%,66.22%
,Colfax,"1,025","2,636","3,717",27.58%,70.92%
,Cuming,870,"3,507","4,451",19.55%,78.79%
,Dixon (pt.),33,79,120,27.50%,65.83%
,Dodge,"5,544","10,984","16,876",32.85%,65.09%
,Lancaster,"82,293","70,092","156,091",52.72%,44.90%
,Madison,"3,478","11,940","15,765",22.06%,75.74%
,Otoe,"2,490","5,649","8,315",29.95%,67.94%
,Platte,"3,260","12,186","15,673",20.80%,77.75%
,Polk,530,"2,291","2,879",18.41%,79.58%
,Sarpy (pt.),"15,088","16,761","32,870",45.90%,50.99%
,Saunders,"3,331","9,108","12,735",26.16%,71.52%
,Seward,"2,438","6,490","9,142",26.67%,70.99%
,Stanton,532,"2,561","3,161",16.83%,81.02%
,Thurston,"1,122","1,180","2,325",48.26%,50.75%
,Washington,"3,554","8,583","12,413",28.63%,69.15%
1 Total,,"132,261","180,290","320,046",41.33%,56.33%
2,Douglas,"150,350","119,159","274,951",54.68%,43.34%
,Sarpy (pt.),"26,118","35,218","62,803",41.59%,56.08%
2 Total,,"176,468","154,377","337,754",52.25%,45.71%
3,Adams,"4,213","10,085","14,602",28.85%,69.07%
,Antelope,452,"3,093","3,583",12.62%,86.32%
,Arthur,21,260,284,7.39%,91.55%
,Banner,43,362,410,10.49%,88.29%
,Blaine,35,280,317,11.04%,88.33%
,Boone,499,"2,653","3,217",15.51%,82.47%
,Box Butte,"1,051","4,002","5,181",20.29%,77.24%
,Boyd,135,"1,010","1,153",11.71%,87.60%
,Brown,191,"1,470","1,679",11.38%,87.55%
,Buffalo,"6,350","16,640","23,589",26.92%,70.54%
,Cedar,725,"4,174","4,996",14.51%,83.55%
,Chase,226,"1,740","1,993",11.34%,87.31%
,Cherry,373,"2,844","3,265",11.42%,87.11%
,Cheyenne,855,"3,813","4,765",17.94%,80.02%
,Clay,632,"2,848","3,558",17.76%,80.04%
,Custer,786,"5,090","5,993",13.12%,84.93%
,Dakota,"2,744","3,926","6,794",40.39%,57.79%
,Dawes,"1,082","2,931","4,121",26.26%,71.12%
,Dawson,"2,497","6,524","9,178",27.21%,71.08%
,Deuel,141,871,"1,032",13.66%,84.40%
,Dixon (pt.),618,"2,256","2,963",20.86%,76.14%
,Dundy,105,883,999,10.51%,88.39%
,Fillmore,693,"2,359","3,134",22.11%,75.27%
,Franklin,276,"1,437","1,724",16.01%,83.35%
,Frontier,189,"1,229","1,440",13.13%,85.35%
,Furnas,399,"2,163","2,601",15.34%,83.16%
,Gage,"3,385","7,445","11,068",30.58%,67.27%
,Garden,161,"1,016","1,195",13.47%,85.02%
,Garfield,133,933,"1,075",12.37%,86.79%
,Gosper,215,893,"1,118",19.23%,79.87%
,Grant,20,375,402,4.98%,93.28%
,Greeley,229,"1,016","1,258",18.20%,80.76%
,Hall,"7,681","16,189","24,374",31.51%,66.42%
,Hamilton,"1,118","4,309","5,533",20.21%,77.88%
,Harlan,282,"1,615","1,928",14.63%,83.77%
,Hayes,34,494,534,6.37%,92.51%
,Hitchcock,175,"1,264","1,469",11.91%,86.04%
,Holt,686,"4,769","5,537",12.39%,86.13%
,Hooker,59,376,442,13.35%,85.07%
,Howard,648,"2,786","3,501",18.51%,79.58%
,Jefferson,"1,016","2,616","3,716",27.34%,70.40%
,Johnson,647,"1,518","2,229",29.03%,68.10%
,Kearney,701,"2,822","3,604",19.45%,78.30%
,Keith,763,"3,544","4,364",17.48%,81.21%
,Keya Paha,49,476,529,9.26%,89.98%
,Kimball,268,"1,563","1,874",14.30%,83.40%
,Knox,905,"3,721","4,697",19.27%,79.22%
,Lincoln,"3,692","13,071","17,107",21.58%,76.41%
,Logan,38,407,450,8.44%,90.44%
,Loup,75,370,454,16.52%,81.50%
,McPherson,17,275,302,5.63%,91.06%
,Merrick,743,"3,419","4,257",17.45%,80.31%
,Morrill,386,"2,113","2,557",15.10%,82.64%
,Nance,359,"1,437","1,828",19.64%,78.61%
,Nemaha,921,"2,428","3,423",26.91%,70.93%
,Nuckolls,409,"1,857","2,303",17.76%,80.63%
,Pawnee,322,"1,071","1,429",22.53%,74.95%
,Perkins,199,"1,321","1,544",12.89%,85.56%
,Phelps,752,"4,157","5,009",15.01%,82.99%
,Pierce,480,"3,462","4,006",11.98%,86.42%
,Red Willow,811,"4,525","5,452",14.88%,83.00%
,Richardson,996,"3,073","4,126",24.14%,74.48%
,Rock,84,744,841,9.99%,88.47%
,Saline,"1,986","3,631","5,770",34.42%,62.93%
,Scotts Bluff,"4,196","10,952","15,469",27.13%,70.80%
,Sheridan,340,"2,292","2,672",12.72%,85.78%
,Sherman,343,"1,322","1,698",20.20%,77.86%
,Sioux,72,642,729,9.88%,88.07%
,Thayer,624,"2,308","2,980",20.94%,77.45%
,Thomas,45,377,427,10.54%,88.29%
,Valley,412,"1,901","2,340",17.61%,81.24%
,Wayne,"1,022","3,055","4,200",24.33%,72.74%
,Webster,335,"1,511","1,876",17.86%,80.54%
,Wheeler,59,438,502,11.75%,87.25%
,York,"1,630","5,337","7,143",22.82%,74.72%
3 Total,,"65,854","222,179","293,912",22.41%,75.59%
Grand Total,,"374,583","556,846","951,712",39.36%,58.51%
