CD,County,Biden,Trump,Total,Biden%,Trump%
1,Belknap (pt.),"16,515","20,492","37,599",43.92%,54.50%
,Carroll,"16,649","16,150","33,221",50.12%,48.61%
,Grafton (pt.),"1,120",964,"2,129",52.61%,45.28%
,Hillsborough (pt.),"50,677","41,888","94,232",53.78%,44.45%
,Merrimack (pt.),"4,060","4,387","8,585",47.29%,51.10%
,Rockingham (pt.),"82,920","74,629","159,877",51.86%,46.68%
,Strafford,"41,721","30,489","73,596",56.69%,41.43%
1 Total,,"213,662","188,999","409,239",52.21%,46.18%
2,Belknap (pt.),379,407,792,47.85%,51.39%
,Cheshire,"25,522","17,898","44,220",57.72%,40.47%
,Coos,"7,640","8,617","16,515",46.26%,52.18%
,Grafton (pt.),"32,060","18,941","51,837",61.85%,36.54%
,Hillsborough (pt.),"71,667","62,737","136,709",52.42%,45.89%
,Merrimack (pt.),"44,473","35,324","81,220",54.76%,43.49%
,Rockingham (pt.),"17,144","21,229","38,921",44.05%,54.54%
,Sullivan,"12,390","11,508","24,380",50.82%,47.20%
2 Total,,"211,275","176,661","394,594",53.54%,44.77%
Grand Total,,"424,937","365,660","803,833",52.86%,45.49%
