CD,County,Biden,Trump,Total,Biden%,Trump%
1,Bertie,"5,939","3,817","9,808",60.55%,38.92%
,Edgecombe,"16,089","9,206","25,452",63.21%,36.17%
,Gates,"2,546","3,367","5,965",42.68%,56.45%
,Greene,"3,832","4,874","8,744",43.82%,55.74%
,Halifax,"15,545","10,080","25,742",60.39%,39.16%
,Hertford,"7,097","3,479","10,620",66.83%,32.76%
,Martin,"5,911","6,532","12,531",47.17%,52.13%
,Nash,"25,947","25,827","52,192",49.71%,49.48%
,Northampton,"6,069","3,989","10,105",60.06%,39.48%
,Pitt (pt.),"34,157","23,589","58,513",58.38%,40.32%
,Vance (pt.),"12,156","8,038","20,365",59.69%,39.47%
,Warren,"6,400","3,752","10,276",62.28%,36.51%
,Washington,"3,396","2,781","6,203",54.75%,44.83%
,Wayne,"24,215","30,709","55,465",43.66%,55.37%
,Wilson,"20,754","19,581","40,677",51.02%,48.14%
1 Total,,"190,053","159,622","352,657",53.89%,45.26%
2,Wake (pt.),"323,249","171,017","502,490",64.33%,34.03%
2 Total,,"323,249","171,017","502,490",64.33%,34.03%
3,Beaufort,"9,633","16,437","26,274",36.66%,62.56%
,Camden,"1,537","4,312","5,938",25.88%,72.62%
,Carteret,"12,093","30,028","42,615",28.38%,70.46%
,Chowan,"3,247","4,471","7,777",41.75%,57.49%
,Craven,"21,148","31,032","52,971",39.92%,58.58%
,Currituck,"4,195","11,657","16,114",26.03%,72.34%
,Dare,"9,936","13,938","24,175",41.10%,57.65%
,Duplin,"8,767","13,793","22,694",38.63%,60.78%
,Hyde,"1,046","1,418","2,488",42.04%,56.99%
,Jones,"2,197","3,280","5,521",39.79%,59.41%
,Lenoir,"13,605","14,590","28,380",47.94%,51.41%
,Onslow,"24,266","46,078","72,086",33.66%,63.92%
,Pamlico,"2,713","4,849","7,621",35.60%,63.63%
,Pasquotank,"9,832","9,770","19,847",49.54%,49.23%
,Perquimans,"2,492","4,903","7,473",33.35%,65.61%
,Pitt (pt.),"13,096","15,391","28,897",45.32%,53.26%
