CD,County,Biden,Trump,Total,Biden%,Trump%
AL,Adams,258,981,"1,269",20.33%,77.30%
,Barnes,"1,820","3,568","5,549",32.80%,64.30%
,Benson,822,"1,094","1,955",42.05%,55.96%
,Billings,72,541,634,11.36%,85.33%
,Bottineau,821,"2,575","3,461",23.72%,74.40%
,Bowman,228,"1,395","1,653",13.79%,84.39%
,Burke,137,994,"1,151",11.90%,86.36%
,Burleigh,"14,348","34,744","50,460",28.43%,68.85%
,Cass,"40,311","42,619","85,425",47.19%,49.89%
,Cavalier,474,"1,499","2,013",23.55%,74.47%
,Dickey,608,"1,742","2,413",25.20%,72.19%
,Divide,265,904,"1,199",22.10%,75.40%
,Dunn,342,"1,951","2,332",14.67%,83.66%
,Eddy,383,854,"1,259",30.42%,67.83%
,Emmons,237,"1,738","2,002",11.84%,86.81%
,Foster,373,"1,362","1,768",21.10%,77.04%
,Golden Valley,137,871,"1,024",13.38%,85.06%
,Grand Forks,"12,880","16,987","30,741",41.90%,55.26%
,Grant,207,"1,145","1,380",15.00%,82.97%
,Griggs,308,907,"1,249",24.66%,72.62%
,Hettinger,196,"1,091","1,310",14.96%,83.28%
,Kidder,221,"1,215","1,458",15.16%,83.33%
,LaMoure,527,"1,645","2,216",23.78%,74.23%
,Logan,128,930,"1,072",11.94%,86.75%
,McHenry,564,"2,364","2,996",18.83%,78.91%
,McIntosh,261,"1,153","1,444",18.07%,79.85%
,McKenzie,814,"4,482","5,406",15.06%,82.91%
,McLean,"1,230","4,198","5,524",22.27%,76.00%
,Mercer,704,"3,856","4,662",15.10%,82.71%
,Morton,"3,872","12,243","16,547",23.40%,73.99%
,Mountrail,"1,256","2,824","4,155",30.23%,67.97%
,Nelson,586,"1,141","1,770",33.11%,64.46%
,Oliver,129,918,"1,065",12.11%,86.20%
,Pembina,786,"2,460","3,312",23.73%,74.28%
,Pierce,497,"1,585","2,120",23.44%,74.76%
,Ramsey,"1,639","3,577","5,344",30.67%,66.93%
,Ransom,945,"1,418","2,449",38.59%,57.90%
,Renville,220,"1,065","1,317",16.70%,80.87%
,Richland,"2,510","5,072","7,773",32.29%,65.25%
,Rolette,"2,482","1,257","3,799",65.33%,33.09%
,Sargent,738,"1,266","2,066",35.72%,61.28%
,Sheridan,104,688,808,12.87%,85.15%
,Sioux,804,258,"1,110",72.43%,23.24%
,Slope,44,380,426,10.33%,89.20%
,Stark,"2,499","12,110","15,005",16.65%,80.71%
,Steele,392,652,"1,082",36.23%,60.26%
,Stutsman,"2,676","6,994","9,919",26.98%,70.51%
,Towner,317,830,"1,172",27.05%,70.82%
,Traill,"1,493","2,522","4,125",36.19%,61.14%
,Walsh,"1,333","3,324","4,752",28.05%,69.95%
,Ward,"7,293","19,974","28,112",25.94%,71.05%
,Wells,442,"1,893","2,367",18.67%,79.97%
,Williams,"2,169","11,739","14,270",15.20%,82.26%
AL Total,,"114,902","235,595","359,890",31.93%,65.46%
Grand Total,,"114,902","235,595","359,890",31.93%,65.46%
