CD,County,Biden,Trump,Total,Biden%,Trump%
1,Creek (pt.),552,"2,600","3,202",17.24%,81.20%
,Rogers (pt.),"2,103","6,464","8,776",23.96%,73.66%
,Tulsa,"108,996","150,574","266,678",40.87%,56.46%
,Wagoner,"8,464","26,165","35,338",23.95%,74.04%
,Washington,"5,790","17,076","23,501",24.64%,72.66%
1 Total,,"125,905","202,879","337,495",37.31%,60.11%
2,Adair,"1,387","5,585","7,108",19.51%,78.57%
,Atoka,765,"4,557","5,389",14.20%,84.56%
,Bryan,"3,323","12,344","15,976",20.80%,77.27%
,Cherokee,"6,027","11,223","17,714",34.02%,63.36%
,Choctaw,"1,082","4,698","5,832",18.55%,80.56%
,Coal,374,"2,091","2,524",14.82%,82.84%
,Craig,"1,217","4,686","6,032",20.18%,77.69%
,Delaware,"3,472","13,557","17,245",20.13%,78.61%
,Haskell,783,"4,165","5,014",15.62%,83.07%
,Hughes,919,"3,875","4,857",18.92%,79.78%
,Johnston,738,"3,441","4,251",17.36%,80.95%
,Latimer,762,"3,437","4,249",17.93%,80.89%
,Leflore,"3,299","15,213","18,805",17.54%,80.90%
,Marshall,"1,100","4,891","6,064",18.14%,80.66%
,Mayes,"3,581","12,749","16,626",21.54%,76.68%
,Mccurtain,"1,858","9,485","11,467",16.20%,82.72%
,Mcintosh,"2,031","6,172","8,335",24.37%,74.05%
,Muskogee,"8,027","16,526","25,081",32.00%,65.89%
,Nowata,712,"3,610","4,391",16.21%,82.21%
,Okfuskee,896,"3,058","4,038",22.19%,75.73%
,Okmulgee,"4,357","9,668","14,313",30.44%,67.55%
,Ottawa,"2,686","8,545","11,438",23.48%,74.71%
,Pittsburg,"3,768","13,851","17,924",21.02%,77.28%
,Pushmataha,668,"4,016","4,739",14.10%,84.74%
,Rogers (pt.),"7,486","27,567","35,777",20.92%,77.05%
,Sequoyah,"3,035","12,113","15,386",19.73%,78.73%
2 Total,,"64,353","221,123","290,575",22.15%,76.10%
3,Alfalfa,232,"1,978","2,262",10.26%,87.44%
,Beaver,190,"1,968","2,178",8.72%,90.36%
,Beckham,"1,048","6,767","7,948",13.19%,85.14%
,Blaine,688,"3,136","3,901",17.64%,80.39%
,Caddo,"2,670","7,013","9,859",27.08%,71.13%
,Canadian (pt.),"14,482","36,482","52,357",27.66%,69.68%
,Cimarron,70,970,"1,054",6.64%,92.03%
,Creek (pt.),"6,025","20,694","27,303",22.07%,75.79%
,Custer,"2,369","8,060","10,691",22.16%,75.39%
,Dewey,214,"2,124","2,359",9.07%,90.04%
,Ellis,162,"1,688","1,873",8.65%,90.12%
,Garfield,"4,919","16,970","22,430",21.93%,75.66%
,Grant,280,"1,916","2,226",12.58%,86.07%
,Greer,328,"1,605","1,973",16.62%,81.35%
,Harmon,177,747,933,18.97%,80.06%
,Harper,136,"1,327","1,487",9.15%,89.24%
,Jackson,"1,646","6,392","8,221",20.02%,77.75%
,Kay,"4,040","12,834","17,249",23.42%,74.40%
,Kingfisher,854,"5,521","6,465",13.21%,85.40%
,Kiowa,699,"2,673","3,427",20.40%,78.00%
,Lincoln,"2,609","12,013","14,888",17.52%,80.69%
,Logan,"5,455","15,608","21,574",25.29%,72.35%
,Major,320,"3,084","3,467",9.23%,88.95%
,Noble,"1,003","3,821","4,938",20.31%,77.38%
,Osage,"6,002","14,121","20,538",29.22%,68.76%
,Pawnee,"1,363","5,267","6,786",20.09%,77.62%
,Payne,"10,904","17,813","29,643",36.78%,60.09%
,Roger Mills,168,"1,629","1,834",9.16%,88.82%
,Texas,894,"4,505","5,521",16.19%,81.60%
,Washita,598,"4,086","4,777",12.52%,85.53%
,Woods,591,"2,993","3,678",16.07%,81.38%
,Woodward,"1,005","6,611","7,785",12.91%,84.92%
3 Total,,"72,141","232,416","311,625",23.15%,74.58%
4,Canadian (pt.),"2,260","7,068","9,583",23.58%,73.76%
,Carter,"4,470","14,699","19,479",22.95%,75.46%
,Cleveland,"49,827","66,677","119,778",41.60%,55.67%
,Comanche,"13,747","20,905","35,631",38.58%,58.67%
,Cotton,393,"2,117","2,572",15.28%,82.31%
,Garvin,"1,865","8,878","10,922",17.08%,81.29%
,Grady,"4,144","18,538","23,101",17.94%,80.25%
,Jefferson,319,"2,026","2,385",13.38%,84.95%
,Love,711,"3,305","4,076",17.44%,81.08%
,Mcclain,"3,582","15,295","19,236",18.62%,79.51%
,Murray,"1,156","4,612","5,894",19.61%,78.25%
,Oklahoma (pt.),"10,778","14,653","26,175",41.18%,55.98%
,Pontotoc,"4,117","10,805","15,320",26.87%,70.53%
,Stephens,"3,154","15,560","19,057",16.55%,81.65%
,Tillman,597,"2,076","2,708",22.05%,76.66%
4 Total,,"101,120","207,214","315,917",32.01%,65.59%
5,Oklahoma (pt.),"130,946","130,397","268,565",48.76%,48.55%
,Pottawatomie,"7,275","20,240","28,185",25.81%,71.81%
,Seminole,"2,150","6,011","8,337",25.79%,72.10%
5 Total,,"140,371","156,648","305,087",46.01%,51.35%
Grand Total,,"503,890","1,020,280","1,560,699",32.29%,65.37%
