CD,County,Biden,Trump,Total,Biden%,Trump%
1,Bucks,"204,712","187,367","396,234",51.66%,47.29%
,Montgomery (pt.),"28,734","20,066","49,332",58.25%,40.68%
1 Total,,"233,446","207,433","445,566",52.39%,46.55%
2,Philadelphia (pt.),"207,491","86,128","295,805",70.14%,29.12%
2 Total,,"207,491","86,128","295,805",70.14%,29.12%
3,Philadelphia (pt.),"357,956","31,769","392,103",91.29%,8.10%
3 Total,,"357,956","31,769","392,103",91.29%,8.10%
4,Berks (pt.),"3,921","6,863","10,952",35.80%,62.66%
,Montgomery (pt.),"272,570","161,328","438,407",62.17%,36.80%
4 Total,,"276,491","168,191","449,359",61.53%,37.43%
5,Delaware,"206,709","118,639","328,329",62.96%,36.13%
,Montgomery (pt.),"18,207","4,066","22,418",81.22%,18.14%
,Philadelphia (pt.),"38,728","14,973","53,991",71.73%,27.73%
5 Total,,"263,644","137,678","404,738",65.14%,34.02%
6,Berks (pt.),"49,645","42,035","93,023",53.37%,45.19%
,Chester,"182,372","128,565","314,502",57.99%,40.88%
6 Total,,"232,017","170,600","407,525",56.93%,41.86%
7,Lehigh,"98,498","84,418","185,092",53.22%,45.61%
,Monroe (pt.),"15,698","12,502","28,572",54.94%,43.76%
,Northampton,"85,087","83,854","170,942",49.78%,49.05%
7 Total,,"199,283","180,774","384,606",51.81%,47.00%
8,Lackawanna,"61,991","52,334","115,410",53.71%,45.35%
,Luzerne (pt.),"56,748","68,528","126,537",44.85%,54.16%
,Monroe (pt.),"27,631","25,623","53,912",51.25%,47.53%
,Pike,"13,052","19,241","32,616",40.02%,58.99%
,Wayne,"9,191","18,637","28,089",32.72%,66.35%
8 Total,,"168,613","184,363","356,564",47.29%,51.71%
9,Berks (pt.),"39,550","61,028","101,991",38.78%,59.84%
,Carbon,"11,212","21,984","33,629",33.34%,65.37%
,Columbia,"10,532","20,098","31,171",33.79%,64.48%
,Lebanon,"23,932","46,731","71,652",33.40%,65.22%
,Luzerne (pt.),"8,125","18,401","26,784",30.34%,68.70%
,Montour,"3,771","5,844","9,771",38.59%,59.81%
,Northumberland (pt.),"4,674","9,157","14,019",33.34%,65.32%
,Schuylkill,"20,727","48,871","70,603",29.36%,69.22%
9 Total,,"122,523","232,115","359,619",34.07%,64.54%
10,Cumberland (pt.),"55,380","61,091","118,310",46.81%,51.64%
,Dauphin,"78,983","66,408","147,368",53.60%,45.06%
,York (pt.),"55,440","73,868","131,296",42.23%,56.26%
10 Total,,"189,803","201,367","396,974",47.81%,50.73%
11,Lancaster,"115,847","160,209","280,239",41.34%,57.17%
,York (pt.),"32,674","72,865","107,175",30.49%,67.99%
11 Total,,"148,521","233,074","387,414",38.34%,60.16%
12,Bradford,"8,046","21,600","30,159",26.68%,71.62%
,Centre (pt.),"25,518","15,916","42,031",60.71%,37.87%
,Clinton,"5,502","11,902","17,625",31.22%,67.53%
,Juniata,"2,253","9,649","12,043",18.71%,80.12%
,Lycoming,"16,971","41,462","59,254",28.64%,69.97%
,Mifflin,"4,603","16,670","21,502",21.41%,77.53%
,Northumberland (pt.),"8,029","19,818","28,316",28.35%,69.99%
,Perry,"5,950","18,293","24,652",24.14%,74.20%
,Potter,"1,726","7,239","9,064",19.04%,79.87%
,Snyder,"4,910","13,983","19,140",25.65%,73.06%
,Sullivan,921,"2,619","3,595",25.62%,72.85%
,Susquehanna,"6,236","15,207","21,752",28.67%,69.91%
,Tioga,"4,955","15,742","21,075",23.51%,74.70%
,Union,"7,475","12,356","20,115",37.16%,61.43%
,Wyoming,"4,704","9,936","14,858",31.66%,66.87%
12 Total,,"107,798","232,392","345,181",31.23%,67.32%
13,Adams,"18,254","37,567","56,635",32.23%,66.33%
,Bedford,"4,367","23,025","27,574",15.84%,83.50%
,Blair,"17,636","45,306","63,595",27.73%,71.24%
,Cambria (pt.),"8,979","13,647","22,903",39.20%,59.59%
,Cumberland (pt.),"6,865","16,121","23,285",29.48%,69.23%
,Franklin,"22,422","57,245","80,783",27.76%,70.86%
,Fulton,"1,085","6,824","7,977",13.60%,85.55%
,Huntingdon,"5,445","17,061","22,792",23.89%,74.86%
,Somerset,"8,654","31,466","40,543",21.35%,77.61%
,Westmoreland (pt.),"6,836","16,003","23,104",29.59%,69.27%
13 Total,,"100,543","264,266","369,191",27.23%,71.58%
14,Fayette,"20,469","41,251","62,188",32.91%,66.33%
,Greene,"4,911","12,579","17,669",27.79%,71.19%
,Washington,"45,088","72,080","118,478",38.06%,60.84%
,Westmoreland (pt.),"65,356","114,296","181,740",35.96%,62.89%
14 Total,,"135,824","240,206","380,075",35.74%,63.20%
15,Armstrong,"8,457","27,489","36,370",23.25%,75.58%
,Butler (pt.),"5,015","15,701","20,967",23.92%,74.88%
,Cambria (pt.),"12,751","34,438","47,671",26.75%,72.24%
,Cameron,634,"1,771","2,434",26.05%,72.76%
,Centre (pt.),"14,537","20,456","35,462",40.99%,57.68%
,Clarion,"4,678","14,578","19,493",24.00%,74.79%
,Clearfield,"9,673","29,203","39,422",24.54%,74.08%
,Elk,"4,522","12,140","16,906",26.75%,71.81%
,Forest,715,"1,864","2,613",27.36%,71.34%
,Indiana,"12,634","28,089","41,198",30.67%,68.18%
,Jefferson,"4,498","17,928","22,761",19.76%,78.77%
,McKean,"5,098","14,083","19,466",26.19%,72.35%
,Venango,"7,585","18,569","26,528",28.59%,70.00%
,Warren,"6,066","14,237","20,650",29.38%,68.94%
15 Total,,"96,863","250,545","351,941",27.52%,71.19%
16,Butler (pt.),"27,010","51,861","79,891",33.81%,64.91%
,Crawford,"12,924","28,561","42,006",30.77%,67.99%
,Erie,"68,286","66,869","137,083",49.81%,48.78%
,Lawrence,"15,978","29,597","46,076",34.68%,64.24%
,Mercer,"21,067","36,143","57,954",36.35%,62.36%
16 Total,,"145,265","213,031","363,010",40.02%,58.68%
17,Allegheny (pt.),"177,899","148,080","330,031",53.90%,44.87%
,Beaver,"38,122","54,759","94,122",40.50%,58.18%
,Butler (pt.),"5,483","6,797","12,447",44.05%,54.61%
17 Total,,"221,505","209,637","436,600",50.73%,48.02%
18,Allegheny (pt.),"252,860","134,833","392,002",64.50%,34.40%
18 Total,,"252,860","134,833","392,002",64.50%,34.40%
Grand Total,,"3,460,446","3,378,400","6,918,274",50.02%,48.83%
