CD,County,Biden,Trump,Total,Biden%,Trump%
AL,Aurora,317,"1,052","1,405",22.56%,74.88%
,Beadle,"2,107","4,808","7,081",29.76%,67.90%
,Bennett,466,694,"1,183",39.39%,58.66%
,Bon Homme,721,"2,235","3,001",24.03%,74.48%
,Brookings,"6,110","8,000","14,567",41.94%,54.92%
,Brown,"6,538","10,580","17,547",37.26%,60.30%
,Brule,673,"1,750","2,490",27.03%,70.28%
,Buffalo,352,183,549,64.12%,33.33%
,Butte,939,"3,731","4,802",19.55%,77.70%
,Campbell,117,747,873,13.40%,85.57%
,Charles Mix,"1,177","2,552","3,783",31.11%,67.46%
,Clark,437,"1,373","1,850",23.62%,74.22%
,Clay,"3,083","2,456","5,698",54.11%,43.10%
,Codington,"3,837","8,958","13,161",29.15%,68.06%
,Corson,622,647,"1,283",48.48%,50.43%
,Custer,"1,522","3,852","5,494",27.70%,70.11%
,Davison,"2,648","5,613","8,454",31.32%,66.39%
,Day,"1,052","1,869","2,964",35.49%,63.06%
,Deuel,609,"1,699","2,350",25.91%,72.30%
,Dewey,"1,131",790,"1,966",57.53%,40.18%
,Douglas,216,"1,468","1,707",12.65%,86.00%
,Edmunds,417,"1,538","1,985",21.01%,77.48%
,Fall River,"1,053","2,878","4,042",26.05%,71.20%
,Faulk,198,964,"1,182",16.75%,81.56%
,Grant,"1,056","2,618","3,745",28.20%,69.91%
,Gregory,455,"1,771","2,258",20.15%,78.43%
,Haakon,105,"1,026","1,137",9.23%,90.24%
,Hamlin,647,"2,372","3,083",20.99%,76.94%
,Hand,373,"1,433","1,836",20.32%,78.05%
,Hanson,557,"1,793","2,388",23.32%,75.08%
,Harding,49,748,813,6.03%,92.00%
,Hughes,"2,953","5,522","8,723",33.85%,63.30%
,Hutchinson,762,"2,944","3,767",20.23%,78.15%
,Hyde,136,564,710,19.15%,79.44%
,Jackson,359,738,"1,115",32.20%,66.19%
,Jerauld,270,721,"1,006",26.84%,71.67%
,Jones,90,498,599,15.03%,83.14%
,Kingsbury,819,"1,904","2,779",29.47%,68.51%
,Lake,"2,068","3,681","5,873",35.21%,62.68%
,Lawrence,"4,537","8,753","13,828",32.81%,63.30%
,Lincoln,"11,981","19,617","32,396",36.98%,60.55%
,Lyman,525,"1,042","1,597",32.87%,65.25%
,Marshall,858,"1,287","2,178",39.39%,59.09%
,McCook,769,"2,068","2,900",26.52%,71.31%
,McPherson,222,"1,075","1,324",16.77%,81.19%
,Meade,"3,285","9,875","13,670",24.03%,72.24%
,Mellette,298,449,769,38.75%,58.39%
,Miner,320,787,"1,138",28.12%,69.16%
,Minnehaha,"40,482","49,249","92,326",43.85%,53.34%
,Moody,"1,179","1,951","3,206",36.77%,60.85%
,Oglala Lakota,"2,829",297,"3,200",88.41%,9.28%
,Pennington,"20,606","35,063","57,518",35.83%,60.96%
,Perkins,239,"1,401","1,669",14.32%,83.94%
,Potter,227,"1,139","1,380",16.45%,82.54%
,Roberts,"1,828","2,404","4,307",42.44%,55.82%
,Sanborn,257,905,"1,185",21.69%,76.37%
,Spink,998,"2,104","3,163",31.55%,66.52%
,Stanley,421,"1,203","1,652",25.48%,72.82%
,Sully,185,726,930,19.89%,78.06%
,Todd,"1,963",532,"2,539",77.31%,20.95%
,Tripp,495,"2,161","2,696",18.36%,80.16%
,Turner,"1,139","3,290","4,548",25.04%,72.34%
,Union,"2,725","5,944","8,855",30.77%,67.13%
,Walworth,565,"1,966","2,580",21.90%,76.20%
,Yankton,"4,016","6,581","10,900",36.84%,60.38%
,Ziebach,481,404,906,53.09%,44.59%
AL Total,,"150,471","261,043","422,609",35.61%,61.77%
Grand Total,,"150,471","261,043","422,609",35.61%,61.77%
