CD,County,Biden,Trump,Total,Biden%,Trump%
AL,Addison,"14,967","6,292","21,884",68.39%,28.75%
,Bennington,"12,705","7,114","20,384",62.33%,34.90%
,Caledonia,"9,011","6,551","16,086",56.02%,40.72%
,Chittenden,"74,961","21,017","98,369",76.20%,21.37%
,Essex,"1,405","1,773","3,270",42.97%,54.22%
,Franklin,"13,611","11,274","25,690",52.98%,43.88%
,Grand Isle,"2,905","1,810","4,817",60.31%,37.58%
,Lamoille,"10,240","4,163","14,844",68.98%,28.05%
,Orange,"10,304","6,187","17,028",60.51%,36.33%
,Orleans,"7,147","6,512","14,023",50.97%,46.44%
,Rutland,"18,230","14,672","33,819",53.90%,43.38%
,Washington,"25,191","8,928","35,109",71.75%,25.43%
,Windham,"18,767","6,440","25,914",72.42%,24.85%
,Windsor,"23,376","9,971","34,249",68.25%,29.11%
AL Total,,"242,820","112,704","365,486",66.44%,30.84%
Grand Total,,"242,820","112,704","365,486",66.44%,30.84%
