CD,County,Biden,Trump,Total,Biden%,Trump%
1,Caroline,"7,657","8,336","16,252",47.11%,51.29%
,Essex,"3,038","3,075","6,171",49.23%,49.83%
,Fauquier (pt.),"2,933","5,708","8,779",33.41%,65.02%
,Fredericksburg City,"8,517","4,037","12,794",66.57%,31.55%
,Gloucester,"6,964","14,875","22,228",31.33%,66.92%
,Hanover,"25,307","44,318","70,728",35.78%,62.66%
,James City (pt.),"19,787","18,622","38,966",50.78%,47.79%
,King & Queen,"1,590","2,450","4,104",38.74%,59.70%
,King George,"5,404","8,446","14,164",38.15%,59.63%
,King William,"3,260","7,320","10,722",30.40%,68.27%
,Lancaster,"3,368","3,697","7,136",47.20%,51.81%
,Mathews,"1,825","3,901","5,813",31.40%,67.11%
,Middlesex,"2,491","4,196","6,764",36.83%,62.03%
,New Kent,"4,621","9,631","14,424",32.04%,66.77%
,Northumberland,"3,252","4,485","7,793",41.73%,57.55%
,Prince William (pt.),"57,207","36,284","94,854",60.31%,38.25%
,Richmond,"1,513","2,547","4,091",36.98%,62.26%
,Spotsylvania (pt.),"10,055","8,516","18,904",53.19%,45.05%
,Stafford,"40,245","37,636","79,257",50.78%,47.49%
,Westmoreland,"4,501","5,318","9,909",45.42%,53.67%
1 Total,,"213,535","233,398","453,853",47.05%,51.43%
2,Accomack,"7,578","9,172","16,938",44.74%,54.15%
,Hampton City (pt.),"8,861","7,403","16,571",53.47%,44.67%
,James City (pt.),"5,766","4,531","10,450",55.18%,43.36%
,Newport News City,235,111,349,67.34%,31.81%
,Norfolk City (pt.),"18,400","12,297","31,360",58.67%,39.21%
,Northampton,"3,667","2,955","6,722",54.55%,43.96%
,Poquoson City,"2,054","5,605","7,819",26.27%,71.68%
,Virginia Beach City,"117,393","105,087","226,688",51.79%,46.36%
,Williamsburg City,"4,790","1,963","6,845",69.98%,28.68%
,York,"17,683","20,241","38,604",45.81%,52.43%
2 Total,,"186,427","169,365","362,346",51.45%,46.74%
3,Chesapeake City (pt.),"34,788","19,960","55,632",62.53%,35.88%
,Franklin City,"2,525","1,487","4,047",62.39%,36.74%
,Hampton City (pt.),"37,359","11,027","49,085",76.11%,22.47%
,Isle Of Wight,"9,399","13,707","23,434",40.11%,58.49%
,Newport News City,"52,864","26,266","80,565",65.62%,32.60%
,Norfolk City (pt.),"46,040","11,146","58,131",79.20%,19.17%
,Portsmouth City,"30,948","12,755","44,426",69.66%,28.71%
,Suffolk City (pt.),"19,723","12,380","32,612",60.48%,37.96%
3 Total,,"233,646","108,728","347,932",67.15%,31.25%
4,Charles City,"2,624","1,761","4,439",59.11%,39.67%
,Chesapeake City (pt.),"31,589","38,220","71,023",44.48%,53.81%
,Chesterfield (pt.),"27,152","28,307","56,204",48.31%,50.36%
,Colonial Heights City,"2,972","6,007","9,114",32.61%,65.91%
,Dinwiddie,"6,224","8,695","15,063",41.32%,57.72%
,Emporia City,"1,612",754,"2,379",67.76%,31.69%
,Greensville,"2,627","1,914","4,564",57.56%,41.94%
,Henrico (pt.),"36,540","11,256","48,279",75.69%,23.31%
,Hopewell City,"5,430","4,020","9,581",56.67%,41.96%
,Petersburg City,"12,389","1,584","14,081",87.98%,11.25%
,Prince George,"7,103","10,103","17,401",40.82%,58.06%
,Richmond City,"92,175","16,603","110,469",83.44%,15.03%
,Southampton,"3,969","5,730","9,786",40.56%,58.55%
,Suffolk City (pt.),"8,953","7,702","16,870",53.07%,45.66%
,Surry,"2,397","2,025","4,462",53.72%,45.38%
,Sussex,"2,827","2,219","5,081",55.64%,43.67%
4 Total,,"246,583","146,900","398,796",61.83%,36.84%
5,Albemarle,"42,466","20,804","64,284",66.06%,32.36%
,Appomattox,"2,418","6,702","9,239",26.17%,72.54%
,Bedford (pt.),"6,511","19,754","26,619",24.46%,74.21%
,Brunswick,"4,552","3,357","7,943",57.31%,42.26%
,Buckingham,"3,471","4,544","8,108",42.81%,56.04%
,Campbell,"8,070","21,245","29,805",27.08%,71.28%
,Charlotte,"2,317","3,815","6,180",37.49%,61.73%
,Charlottesville City,"20,696","3,094","24,101",85.87%,12.84%
,Cumberland,"2,227","3,019","5,299",42.03%,56.97%
,Danville City,"11,710","7,428","19,333",60.57%,38.42%
,Fauquier (pt.),"14,632","19,398","34,669",42.20%,55.95%
,Fluvanna,"7,414","8,155","15,795",46.94%,51.63%
,Franklin,"8,381","20,895","29,630",28.29%,70.52%
,Greene,"4,163","6,866","11,270",36.94%,60.92%
,Halifax,"7,666","10,418","18,224",42.07%,57.17%
,Henry (pt.),"3,051","4,129","7,246",42.11%,56.98%
,Lunenburg,"2,418","3,537","5,995",40.33%,59.00%
,Madison,"2,698","5,300","8,104",33.29%,65.40%
,Mecklenburg,"6,803","9,266","16,182",42.04%,57.26%
,Nelson,"4,327","4,812","9,289",46.58%,51.80%
,Pittsylvania,"10,115","23,751","34,151",29.62%,69.55%
,Prince Edward,"4,973","4,434","9,543",52.11%,46.46%
,Rappahannock,"2,096","2,812","4,964",42.22%,56.65%
5 Total,,"183,175","217,535","405,973",45.12%,53.58%
6,Amherst,"5,672","11,041","16,964",33.44%,65.08%
,Augusta,"10,840","30,714","42,162",25.71%,72.85%
,Bath,646,"1,834","2,496",25.88%,73.48%
,Bedford (pt.),"5,665","15,846","21,865",25.91%,72.47%
,Botetourt,"5,700","15,099","21,063",27.06%,71.68%
,Buena Vista City,825,"1,863","2,760",29.89%,67.50%
,Harrisonburg City,"11,022","5,591","16,977",64.92%,32.93%
,Highland,417,"1,092","1,531",27.24%,71.33%
,Lexington City,"1,791",906,"2,745",65.25%,33.01%
,Lynchburg City,"18,048","17,097","36,002",50.13%,47.49%
,Page,"3,007","9,345","12,486",24.08%,74.84%
,Roanoke (pt.),"16,737","25,042","42,484",39.40%,58.94%
,Roanoke City,"26,773","15,607","43,157",62.04%,36.16%
,Rockbridge,"4,086","8,088","12,339",33.11%,65.55%
,Rockingham,"12,644","30,349","43,646",28.97%,69.53%
,Shenandoah,"6,836","16,463","23,645",28.91%,69.63%
,Staunton City,"6,981","5,695","12,925",54.01%,44.06%
,Warren,"6,603","14,069","21,037",31.39%,66.88%
,Waynesboro City,"4,961","5,507","10,677",46.46%,51.58%
6 Total,,"149,254","231,248","386,961",38.57%,59.76%
7,Amelia,"2,411","5,390","7,881",30.59%,68.39%
,Chesterfield (pt.),"79,783","65,019","146,984",54.28%,44.24%
,Culpeper,"10,617","16,012","27,035",39.27%,59.23%
,Goochland,"6,685","9,966","16,893",39.57%,58.99%
,Henrico (pt.),"80,032","52,184","134,147",59.66%,38.90%
,Louisa,"8,269","13,294","21,858",37.83%,60.82%
,Nottoway,"2,971","4,027","7,070",42.02%,56.96%
,Orange,"7,995","12,426","20,688",38.65%,60.06%
,Powhatan,"5,320","14,055","19,696",27.01%,71.36%
,Spotsylvania (pt.),"24,252","30,895","56,115",43.22%,55.06%
7 Total,,"228,335","223,268","458,367",49.81%,48.71%
8,Alexandria City,"66,240","14,544","81,806",80.97%,17.78%
,Arlington,"105,344","22,318","129,498",81.35%,17.23%
,Fairfax (pt.),"132,740","46,359","181,387",73.18%,25.56%
,Falls Church City,"7,146","1,490","8,750",81.67%,17.03%
8 Total,,"311,470","84,711","401,441",77.59%,21.10%
9,Alleghany,"2,243","5,859","8,191",27.38%,71.53%
,Bland,532,"2,903","3,475",15.31%,83.54%
,Bristol City,"2,313","5,347","7,785",29.71%,68.68%
,Buchanan,"1,587","8,311","9,942",15.96%,83.59%
,Carroll,"2,842","12,659","15,619",18.20%,81.05%
,Covington City,964,"1,580","2,594",37.16%,60.91%
,Craig,587,"2,536","3,163",18.56%,80.18%
,Dickenson,"1,503","5,748","7,295",20.60%,78.79%
,Floyd,"3,004","6,225","9,376",32.04%,66.39%
,Galax City,777,"1,838","2,633",29.51%,69.81%
,Giles,"2,156","6,876","9,157",23.54%,75.09%
,Grayson,"1,535","6,529","8,120",18.90%,80.41%
,Henry (pt.),"6,076","12,596","18,829",32.27%,66.90%
,Lee,"1,489","8,365","9,932",14.99%,84.22%
,Martinsville City,"3,766","2,165","6,004",62.72%,36.06%
,Montgomery,"23,218","20,629","44,789",51.84%,46.06%
,Norton City,464,"1,109","1,594",29.11%,69.57%
,Patrick,"1,954","7,485","9,520",20.53%,78.62%
,Pulaski,"4,925","12,127","17,327",28.42%,69.99%
,Radford City,"3,358","2,786","6,289",53.39%,44.30%
,Roanoke (pt.),"5,064","9,226","14,495",34.94%,63.65%
,Russell,"2,373","10,879","13,368",17.75%,81.38%
,Salem City,"5,148","7,683","13,051",39.45%,58.87%
,Scott,"1,692","9,063","10,845",15.60%,83.57%
,Smyth,"3,008","10,963","14,104",21.33%,77.73%
,Tazewell,"3,205","16,731","20,095",15.95%,83.26%
,Washington,"6,617","21,679","28,600",23.14%,75.80%
,Wise,"3,110","13,366","16,584",18.75%,80.60%
,Wythe,"3,143","11,733","15,046",20.89%,77.98%
9 Total,,"98,653","244,996","347,822",28.36%,70.44%
10,Clarke,"3,920","5,192","9,290",42.20%,55.89%
,Fairfax (pt.),"76,724","41,582","119,936",63.97%,34.67%
,Frederick,"17,207","30,558","48,546",35.44%,62.95%
,Loudoun,"138,372","82,088","223,599",61.88%,36.71%
,Manassas City,"10,356","6,256","16,892",61.31%,37.04%
,Manassas Park City,"3,992","1,979","6,071",65.76%,32.60%
,Prince William (pt.),"24,636","16,500","41,781",58.96%,39.49%
,Winchester City,"6,610","5,221","12,044",54.88%,43.35%
10 Total,,"281,817","189,376","478,159",58.94%,39.61%
11,Fairfax (pt.),"210,479","80,460","295,035",71.34%,27.27%
,Fairfax City,"9,174","4,007","13,382",68.55%,29.94%
,Prince William (pt.),"61,020","28,438","90,692",67.28%,31.36%
11 Total,,"280,673","112,905","399,109",70.32%,28.29%
Grand Total,,"2,413,568","1,962,430","4,440,759",54.35%,44.19%
