CD,County,Biden,Trump,Total,Biden%,Trump%
1,Kenosha ,"42,193","44,972","88,469",47.69%,50.83%
,Milwaukee (pt.) ,"26,924","29,428","57,068",47.18%,51.57%
,Racine ,"50,159","54,479","106,157",47.25%,51.32%
,Rock (pt.) ,"24,168","18,888","43,796",55.18%,43.13%
,Walworth (pt.) ,"20,223","32,198","53,152",38.05%,60.58%
,Waukesha (pt.) ,"19,275","40,703","60,721",31.74%,67.03%
1 Total,,"182,942","220,668","409,363",44.69%,53.91%
2,Dane ,"260,121","78,794","343,569",75.71%,22.93%
,Green ,"10,851","10,169","21,356",50.81%,47.62%
,Iowa ,"7,828","5,909","13,967",56.05%,42.31%
,Lafayette ,"3,647","4,821","8,549",42.66%,56.39%
,Richland (pt.) ,762,"1,003","1,787",42.64%,56.13%
,Rock (pt.) ,"22,490","18,250","41,368",54.37%,44.12%
,Sauk ,"18,108","17,493","36,181",50.05%,48.35%
2 Total,,"323,807","136,439","466,777",69.37%,29.23%
3,Adams ,"4,329","7,362","11,806",36.67%,62.36%
,Buffalo ,"2,860","4,834","7,804",36.65%,61.94%
,Chippewa (pt.) ,"9,241","11,488","21,130",43.73%,54.37%
,Crawford ,"3,953","4,620","8,695",45.46%,53.13%
,Dunn ,"9,897","13,173","23,510",42.10%,56.03%
,Eau Claire ,"31,620","25,341","58,074",54.45%,43.64%
,Grant ,"10,998","14,142","25,558",43.03%,55.33%
,Jackson (pt.) ,"3,935","5,021","9,077",43.35%,55.32%
,Juneau (pt.) ,"3,710","6,319","10,171",36.48%,62.13%
,La Crosse ,"37,846","28,684","67,663",55.93%,42.39%
,Monroe (pt.) ,"7,606","11,941","19,874",38.27%,60.08%
,Pepin ,"1,489","2,584","4,141",35.96%,62.40%
,Pierce ,"9,796","12,815","23,269",42.10%,55.07%
,Portage ,"20,428","19,299","40,501",50.44%,47.65%
,Richland (pt.) ,"3,233","3,868","7,215",44.81%,53.61%
,Trempealeau ,"6,285","8,833","15,354",40.93%,57.53%
,Vernon ,"7,457","8,218","15,910",46.87%,51.65%
,Wood (pt.) ,"9,623","14,117","24,057",40.00%,58.68%
3 Total,,"184,306","202,659","393,809",46.80%,51.46%
4,Milwaukee (pt.) ,"242,263","71,833","317,863",76.22%,22.60%
,Waukesha (pt.) ,0,0,0,0.00%,0.00%
4 Total,,"242,263","71,833","317,863",76.22%,22.60%
5,Dodge (pt.) ,"6,522","15,099","21,944",29.72%,68.81%
,Jefferson ,"19,904","27,208","47,859",41.59%,56.85%
,Milwaukee (pt.) ,"47,578","32,660","81,468",58.40%,40.09%
,Walworth (pt.) ,"2,566","1,653","4,302",59.65%,38.42%
,Washington ,"26,650","60,237","88,031",30.27%,68.43%
,Waukesha (pt.) ,"84,631","118,946","206,493",40.98%,57.60%
5 Total,,"187,851","255,803","450,097",41.74%,56.83%
6,Columbia ,"16,410","16,927","33,851",48.48%,50.00%
,Dodge (pt.) ,"9,834","16,256","26,473",37.15%,61.41%
,Fond Du Lac ,"20,588","35,754","57,194",36.00%,62.51%
,Green Lake ,"3,344","7,168","10,648",31.40%,67.32%
,Manitowoc ,"16,818","27,218","44,751",37.58%,60.82%
,Marquette ,"3,239","5,719","9,050",35.79%,63.19%
,Milwaukee (pt.) ,762,561,"1,328",57.38%,42.24%
,Ozaukee ,"26,517","33,912","61,247",43.30%,55.37%
,Sheboygan ,"27,101","37,609","65,829",41.17%,57.13%
,Waushara ,"4,388","9,016","13,568",32.34%,66.45%
,Winnebago (pt.) ,"41,456","42,680","85,947",48.23%,49.66%
6 Total,,"170,457","232,820","409,886",41.59%,56.80%
7,Ashland ,"4,801","3,841","8,734",54.97%,43.98%
,Barron ,"9,194","15,803","25,317",36.32%,62.42%
,Bayfield ,"6,147","4,617","10,868",56.56%,42.48%
,Burnett ,"3,569","6,462","10,139",35.20%,63.73%
,Chippewa (pt.) ,"4,742","9,829","14,776",32.09%,66.52%
,Clark (pt.) ,"4,524","10,002","14,873",30.42%,67.25%
,Douglas ,"13,218","10,923","24,603",53.73%,44.40%
,Florence ,781,"2,133","2,940",26.56%,72.55%
,Forest ,"1,721","3,285","5,049",34.09%,65.06%
,Iron ,"1,533","2,438","4,004",38.29%,60.89%
,Jackson (pt.) ,321,770,"1,106",29.02%,69.62%
,Juneau (pt.) ,"1,036","2,430","3,512",29.50%,69.19%
,Langlade ,"3,704","7,330","11,161",33.19%,65.68%
,Lincoln ,"6,261","10,017","16,497",37.95%,60.72%
,Marathon ,"30,808","44,624","76,605",40.22%,58.25%
,Monroe (pt.) ,827,"1,834","2,693",30.71%,68.10%
,Oneida ,"10,105","13,671","24,119",41.90%,56.68%
,Polk ,"9,370","16,611","26,359",35.55%,63.02%
,Price ,"3,032","5,394","8,543",35.49%,63.14%
,Rusk ,"2,517","5,257","7,879",31.95%,66.72%
,Sawyer ,"4,498","5,909","10,492",42.87%,56.32%
,St. Croix ,"23,190","32,199","56,551",41.01%,56.94%
,Taylor ,"2,693","7,657","10,679",25.22%,71.70%
,Vilas ,"5,903","9,261","15,338",38.49%,60.38%
,Washburn ,"3,867","6,334","10,356",37.34%,61.16%
,Wood (pt.) ,"6,742","10,191","17,147",39.32%,59.43%
7 Total,,"165,104","248,822","420,340",39.28%,59.20%
8,Brown ,"65,511","75,871","143,632",45.61%,52.82%
,Calumet ,"12,116","18,156","30,752",39.40%,59.04%
,Clark (pt.) ,0,0,0,0.00%,0.00%
,Door ,"10,044","9,752","20,076",50.03%,48.58%
,Kewaunee ,"3,976","7,927","12,068",32.95%,65.69%
,Marinette ,"7,366","15,304","22,972",32.07%,66.62%
,Menominee ,"1,303",278,"1,590",81.95%,17.48%
,Oconto ,"6,715","16,226","23,211",28.93%,69.91%
,Outagamie ,"47,667","58,385","107,970",44.15%,54.08%
,Shawano ,"7,131","15,173","22,607",31.54%,67.12%
,Waupaca ,"9,703","18,952","29,089",33.36%,65.15%
,Winnebago (pt.) ,"2,604","5,116","7,844",33.20%,65.22%
8 Total,,"174,136","241,140","421,811",41.28%,57.17%
Grand Total,,"1,630,866","1,610,184","3,289,946",49.57%,48.94%
