CD,County,Biden,Trump,Total,Biden%,Trump%
AL,Albany,"9,092","8,579","18,444",49.30%,46.51%
,Big Horn,788,"4,806","5,714",13.79%,84.11%
,Campbell,"1,935","16,975","19,464",9.94%,87.21%
,Carbon,"1,427","5,014","6,632",21.52%,75.60%
,Converse,861,"5,917","6,942",12.40%,85.23%
,Crook,378,"3,651","4,105",9.21%,88.94%
,Fremont,"5,519","12,007","18,004",30.65%,66.69%
,Goshen,"1,203","4,878","6,210",19.37%,78.55%
,Hot Springs,482,"1,999","2,566",18.78%,77.90%
,Johnson,897,"3,881","4,891",18.34%,79.35%
,Laramie,"15,217","27,891","44,662",34.07%,62.45%
,Lincoln,"1,509","8,643","10,390",14.52%,83.19%
,Natrona,"8,530","25,271","34,990",24.38%,72.22%
,Niobrara,155,"1,118","1,305",11.88%,85.67%
,Park,"3,410","12,813","16,602",20.54%,77.18%
,Platte,890,"3,898","4,902",18.16%,79.52%
,Sheridan,"4,043","11,843","16,339",24.74%,72.48%
,Sublette,882,"3,957","4,947",17.83%,79.99%
,Sweetwater,"3,823","12,229","16,520",23.14%,74.03%
,Teton,"9,848","4,341","14,533",67.76%,29.87%
,Uinta,"1,591","7,496","9,338",17.04%,80.27%
,Washakie,651,"3,245","3,993",16.30%,81.27%
,Weston,360,"3,107","3,533",10.19%,87.94%
AL Total,,"73,491","193,559","275,026",26.72%,70.38%
Grand Total,,"73,491","193,559","275,026",26.72%,70.38%
