CD,County,Biden,Trump,Total,Biden%,Trump%
1,Baldwin,"24,578","83,544","109,351",22.48%,76.40%
,Clarke (pt.),"1,453","3,003","4,477",32.44%,67.08%
,Escambia,"4,918","10,869","15,881",30.97%,68.44%
,Mobile,"79,474","101,243","182,655",43.51%,55.43%
,Monroe,"4,455","6,147","10,655",41.81%,57.69%
,Washington,"2,258","6,564","8,867",25.47%,74.03%
1 Total,,"117,136","211,370","331,886",35.29%,63.69%
2,Autauga,"7,503","19,838","27,691",27.10%,71.64%
,Barbour,"4,816","5,622","10,506",45.84%,53.51%
,Bullock,"3,446","1,146","4,611",74.73%,24.85%
,Butler,"3,965","5,458","9,482",41.82%,57.56%
,Coffee,"5,076","16,899","22,239",22.82%,75.99%
,Conecuh,"2,966","3,442","6,440",46.06%,53.45%
,Covington,"2,721","14,586","17,404",15.63%,83.81%
,Crenshaw,"1,700","4,864","6,608",25.73%,73.61%
,Dale,"5,170","14,303","19,706",26.24%,72.58%
,Elmore,"10,367","30,164","40,929",25.33%,73.70%
,Geneva,"1,595","10,848","12,533",12.73%,86.56%
,Henry,"2,606","6,607","9,282",28.08%,71.18%
,Houston,"12,917","32,618","46,068",28.04%,70.80%
,Montgomery (pt.),"37,292","21,516","59,403",62.78%,36.22%
,Pike,"5,636","8,042","13,812",40.81%,58.22%
2 Total,,"107,776","195,953","306,714",35.14%,63.89%
3,Calhoun,"15,216","35,101","50,870",29.91%,69.00%
,Chambers,"6,365","8,753","15,259",41.71%,57.36%
,Cherokee (pt.),"1,536","9,869","11,481",13.38%,85.95%
,Clay,"1,267","5,601","6,921",18.31%,80.93%
,Cleburne,675,"6,484","7,219",9.35%,89.82%
,Lee,"27,860","42,221","71,100",39.18%,59.38%
,Macon,"7,108","1,541","8,701",81.69%,17.71%
,Montgomery (pt.),"9,295","10,655","20,148",46.13%,52.88%
,Randolph,"2,203","8,559","10,823",20.35%,79.08%
,Russell,"11,228","9,864","21,290",52.74%,46.33%
,St. Clair,"7,744","36,166","44,356",17.46%,81.54%
,Talladega,"13,138","22,235","35,620",36.88%,62.42%
,Tallapoosa,"5,859","14,963","20,952",27.96%,71.42%
3 Total,,"109,495","212,012","324,741",33.72%,65.29%
4,Blount (pt.),179,"1,965","2,152",8.32%,91.27%
,Cherokee (pt.),88,714,808,10.84%,88.47%
,Colbert,"8,343","19,203","27,818",29.99%,69.03%
,Cullman,"4,478","36,880","41,776",10.72%,88.28%
,DeKalb,"4,281","24,767","29,298",14.61%,84.53%
,Etowah,"11,567","35,528","47,626",24.29%,74.60%
,Fayette,"1,395","7,300","8,751",15.94%,83.42%
,Franklin,"2,086","10,376","12,568",16.60%,82.56%
,Jackson (pt.),12,77,89,13.08%,86.35%
,Lamar,978,"6,174","7,185",13.61%,85.93%
,Lawrence,"3,562","12,322","16,010",22.25%,76.96%
,Marion,"1,463","12,205","13,783",10.61%,88.55%
,Marshall,"5,943","33,191","39,569",15.02%,83.88%
,Tuscaloosa (pt.),"6,951","23,636","30,908",22.49%,76.47%
,Walker,"4,834","26,002","31,113",15.54%,83.57%
,Winston,974,"10,195","11,271",8.64%,90.45%
4 Total,,"57,133","260,535","320,725",17.81%,81.23%
5,Jackson (pt.),"3,705","19,593","23,506",15.76%,83.35%
,Lauderdale,"11,915","31,721","44,173",26.97%,71.81%
,Limestone,"13,672","34,640","49,060",27.87%,70.61%
,Madison,"87,286","102,780","193,765",45.05%,53.04%
,Morgan,"13,234","39,664","53,603",24.69%,74.00%
5 Total,,"129,812","228,398","364,107",35.65%,62.73%
6,Bibb,"1,986","7,525","9,585",20.72%,78.51%
,Blount (pt.),"2,461","22,746","25,408",9.69%,89.53%
,Chilton,"3,073","16,085","19,281",15.94%,83.42%
,Coosa,"1,796","3,631","5,473",32.82%,66.34%
,Jefferson (pt.),"74,998","118,447","195,994",38.27%,60.43%
,Shelby,"33,268","79,700","114,430",29.07%,69.65%
6 Total,,"117,582","248,134","370,171",31.76%,67.03%
7,Choctaw,"3,127","4,296","7,461",41.91%,57.58%
,Clarke (pt.),"4,302","4,321","8,651",49.74%,49.95%
,Dallas,"12,230","5,524","17,844",68.54%,30.96%
,Greene,"3,884",875,"4,767",81.48%,18.36%
,Hale,"4,663","3,192","7,892",59.09%,40.45%
,Jefferson (pt.),"106,690","20,396","128,115",83.28%,15.92%
,Lowndes,"4,972","1,836","6,834",72.75%,26.87%
,Marengo,"5,488","5,343","10,890",50.39%,49.06%
,Montgomery (pt.),"17,941","1,140","19,211",93.39%,5.93%
,Perry,"3,860","1,339","5,223",73.90%,25.64%
,Pickens,"4,022","5,594","9,656",41.65%,57.93%
,Sumter,"4,648","1,598","6,283",73.98%,25.43%
,Tuscaloosa (pt.),"30,814","27,481","58,901",52.31%,46.66%
,Wilcox,"4,048","1,833","5,898",68.63%,31.08%
7 Total,,"210,689","84,768","297,626",70.79%,28.48%
Grand Total,,"849,624","1,441,170","2,315,970",36.69%,62.23%
