CD,County,Biden,Trump,Total,Biden%,Trump%
1,Apache,"23,293","11,442","35,172",66.23%,32.53%
,Coconino,"44,698","27,052","73,272",61.00%,36.92%
,Gila (pt.),"4,490","4,867","9,500",47.26%,51.23%
,Graham,"4,034","10,749","14,995",26.90%,71.68%
,Greenlee,"1,182","2,433","3,685",32.08%,66.02%
,Maricopa (pt.),601,72,682,88.12%,10.56%
,Mohave (pt.),294,95,394,74.62%,24.11%
,Navajo,"23,383","27,657","51,767",45.17%,53.43%
,Pima (pt.),"33,763","36,915","71,659",47.12%,51.51%
,Pinal (pt.),"42,499","49,308","93,168",45.62%,52.92%
,Yavapai (pt.),"8,945","10,083","19,285",46.38%,52.28%
1 Total,,"187,182","180,673","373,579",50.11%,48.36%
2,Cochise,"23,732","35,557","60,442",39.26%,58.83%
,Pima (pt.),"189,676","136,246","330,994",57.30%,41.16%
2 Total,,"213,408","171,803","391,436",54.52%,43.89%
3,Maricopa (pt.),"57,830","42,765","102,205",56.58%,41.84%
,Pima (pt.),"81,542","34,597","117,744",69.25%,29.38%
,Pinal (pt.),138,11,150,92.00%,7.33%
,Santa Cruz,"13,138","6,194","19,556",67.18%,31.67%
,Yuma (pt.),"22,234","15,972","38,842",57.24%,41.12%
3 Total,,"174,882","99,539","278,497",62.79%,35.74%
4,Gila (pt.),"4,453","13,510","18,162",24.52%,74.39%
,La Paz,"2,236","5,129","7,458",29.98%,68.77%
,Maricopa (pt.),"11,696","23,279","35,413",33.03%,65.74%
,Mohave (pt.),"24,537","78,440","104,274",23.53%,75.22%
,Pinal (pt.),"32,469","57,758","91,656",35.42%,63.02%
,Yavapai (pt.),"40,657","81,444","123,936",32.80%,65.71%
,Yuma (pt.),"9,976","20,562","31,039",32.14%,66.25%
4 Total,,"126,024","280,122","411,938",30.59%,68.00%
5,Maricopa (pt.),"195,270","262,810","465,598",41.94%,56.45%
5 Total,,"195,270","262,810","465,598",41.94%,56.45%
6,Maricopa (pt.),"204,365","222,166","432,328",47.27%,51.39%
6 Total,,"204,365","222,166","432,328",47.27%,51.39%
7,Maricopa (pt.),"165,129","55,436","224,168",73.66%,24.73%
7 Total,,"165,129","55,436","224,168",73.66%,24.73%
8,Maricopa (pt.),"181,691","251,443","438,952",41.39%,57.28%
8 Total,,"181,691","251,443","438,952",41.39%,57.28%
9,Maricopa (pt.),"224,192","137,694","368,798",60.79%,37.34%
9 Total,,"224,192","137,694","368,798",60.79%,37.34%
Grand Total,,"1,672,143","1,661,686","3,385,294",49.39%,49.09%
