CD,County,Biden,Trump,Total,Biden%,Trump%
1,Arkansas,"1,818","4,304","6,292",28.89%,68.40%
,Baxter,"4,635","15,836","21,007",22.06%,75.38%
,Chicot,"2,260","1,752","4,103",55.08%,42.70%
,Clay,962,"4,086","5,183",18.56%,78.83%
,Cleburne,"1,988","10,328","12,680",15.68%,81.45%
,Craighead,"11,921","25,558","38,511",30.95%,66.37%
,Crittenden,"8,514","7,333","16,367",52.02%,44.80%
,Cross,"1,772","4,946","6,942",25.53%,71.25%
,Desha,"2,016","1,921","4,164",48.41%,46.13%
,Fulton,"1,035","3,961","5,119",20.22%,77.38%
,Greene,"3,058","12,670","16,100",18.99%,78.70%
,Independence,"2,806","11,250","14,512",19.34%,77.52%
,Izard,"1,021","4,631","5,810",17.57%,79.71%
,Jackson,"1,365","3,593","5,091",26.81%,70.58%
,Jefferson (pt.),287,206,509,56.39%,40.47%
,Lawrence,"1,080","4,569","5,857",18.44%,78.01%
,Lee,"1,423","1,286","2,848",49.96%,45.15%
,Lincoln,"1,032","2,729","3,875",26.63%,70.43%
,Lonoke,"6,686","22,884","30,662",21.81%,74.63%
,Mississippi,"4,558","7,296","12,342",36.93%,59.12%
,Monroe,"1,147","1,545","2,816",40.73%,54.87%
,Phillips,"3,623","2,417","6,242",58.04%,38.72%
,Poinsett,"1,424","5,918","7,521",18.93%,78.69%
,Prairie,654,"2,786","3,495",18.71%,79.71%
,Randolph,"1,215","5,355","6,812",17.84%,78.61%
,Searcy (pt.),560,"3,141","3,764",14.88%,83.45%
,Sharp,"1,398","5,938","7,566",18.48%,78.48%
,St. Francis,"3,604","3,242","7,108",50.70%,45.61%
,Stone,"1,180","4,616","5,938",19.87%,77.74%
,Woodruff,856,"1,543","2,476",34.57%,62.32%
1 Total,,"75,898","187,640","271,712",27.93%,69.06%
2,Conway,"2,615","5,694","8,685",30.11%,65.56%
,Faulkner,"18,347","34,421","54,428",33.71%,63.24%
,Perry,"1,012","3,479","4,627",21.87%,75.19%
,Pulaski,"101,947","63,687","169,956",59.98%,37.47%
,Saline,"16,060","39,556","56,959",28.20%,69.45%
,Van Buren,"1,593","6,034","7,807",20.40%,77.29%
,White,"5,978","24,182","30,885",19.36%,78.30%
2 Total,,"147,552","177,053","333,347",44.26%,53.11%
3,Benton,"42,249","73,965","119,912",35.23%,61.68%
,Boone,"3,064","13,652","17,114",17.90%,79.77%
,Carroll,"4,023","7,424","11,797",34.10%,62.93%
,Crawford (pt.),"3,696","13,150","17,233",21.44%,76.31%
,Marion,"1,531","5,783","7,503",20.41%,77.08%
,Newton (pt.),243,"1,592","1,868",13.01%,85.22%
,Pope,"5,772","18,081","24,432",23.62%,74.01%
,Searcy (pt.),28,224,255,10.98%,87.84%
,Sebastian (pt.),"13,712","26,406","41,474",33.06%,63.67%
,Washington,"43,824","47,504","94,266",46.49%,50.39%
3 Total,,"118,142","207,781","335,854",35.18%,61.87%
4,Ashley,"2,125","5,548","7,926",26.81%,70.00%
,Bradley,"1,214","2,335","3,654",33.22%,63.90%
,Calhoun,479,"1,636","2,182",21.95%,74.98%
,Clark,"3,438","4,616","8,395",40.95%,54.99%
,Cleveland,651,"2,867","3,600",18.08%,79.64%
,Columbia,"2,814","5,500","8,616",32.66%,63.83%
,Crawford (pt.),"1,263","5,457","6,858",18.42%,79.56%
,Dallas,963,"1,573","2,649",36.35%,59.38%
,Drew,"2,426","4,349","6,908",35.12%,62.96%
,Franklin,"1,300","5,677","7,129",18.24%,79.63%
,Garland,"14,045","29,069","44,199",31.78%,65.77%
,Grant,"1,268","6,794","8,200",15.46%,82.85%
,Hempstead,"2,138","4,470","6,848",31.22%,65.27%
,Hot Spring,"3,082","9,202","12,557",24.54%,73.28%
,Howard,"1,340","3,367","4,834",27.72%,69.65%
,Jefferson (pt.),"14,694","9,315","24,649",59.61%,37.79%
,Johnson,"2,283","6,938","9,498",24.04%,73.05%
,Lafayette,839,"1,757","2,679",31.32%,65.58%
,Little River,"1,226","3,715","5,177",23.68%,71.76%
,Logan,"1,544","6,441","8,225",18.77%,78.31%
,Madison,"1,563","5,658","7,351",21.26%,76.97%
,Miller,"4,245","11,920","16,529",25.68%,72.12%
,Montgomery,731,"3,046","3,873",18.87%,78.65%
,Nevada,"1,076","2,133","3,358",32.04%,63.52%
,Newton (pt.),466,"1,600","2,130",21.88%,75.12%
,Ouachita,"3,995","5,294","9,629",41.49%,54.98%
,Pike,644,"3,519","4,246",15.17%,82.88%
,Polk,"1,246","7,035","8,490",14.68%,82.86%
,Scott,483,"2,962","3,551",13.60%,83.41%
,Sebastian (pt.),775,"4,792","5,666",13.68%,84.57%
,Sevier,"1,116","3,884","5,202",21.45%,74.66%
,Union,"5,584","10,478","16,607",33.62%,63.09%
,Yell,"1,284","5,226","6,741",19.05%,77.53%
4 Total,,"82,340","188,173","278,156",29.60%,67.65%
Grand Total,,"423,932","760,647","1,219,069",34.78%,62.40%
