CD,County,Biden,Trump,Total,Biden%,Trump%
1,Butte,"50,426","48,730","102,042",49.42%,47.75%
,Glenn (pt.),209,799,"1,028",20.33%,77.72%
,Lassen,"2,799","8,970","11,985",23.35%,74.84%
,Modoc,"1,150","3,109","4,338",26.51%,71.67%
,Nevada (pt.),"28,802","24,517","54,676",52.68%,44.84%
,Placer (pt.),"11,255","16,625","28,581",39.38%,58.17%
,Plumas,"4,561","6,445","11,256",40.52%,57.26%
,Shasta,"30,000","60,789","92,900",32.29%,65.43%
,Sierra,730,"1,142","1,930",37.82%,59.17%
,Siskiyou,"9,593","13,290","23,450",40.91%,56.67%
,Tehama,"8,911","19,141","28,721",31.03%,66.64%
1 Total,,"148,436","203,557","360,907",41.13%,56.40%
2,Del Norte,"4,677","6,461","11,452",40.84%,56.42%
,Humboldt,"44,768","21,770","68,828",65.04%,31.63%
,Marin,"128,288","24,612","155,801",82.34%,15.80%
,Mendocino,"28,782","13,267","43,336",66.42%,30.61%
,Sonoma (pt.),"85,123","26,360","114,182",74.55%,23.09%
,Trinity,"2,851","3,188","6,258",45.56%,50.94%
2 Total,,"294,489","95,658","399,857",73.65%,23.92%
3,Colusa,"3,239","4,559","7,961",40.69%,57.27%
,Glenn (pt.),"3,786","6,264","10,264",36.89%,61.03%
,Lake (pt.),"6,736","5,864","12,941",52.05%,45.31%
,Sacramento (pt.),"6,540","9,151","16,067",40.70%,56.96%
,Solano (pt.),"77,926","52,635","133,927",58.19%,39.30%
,Sutter,"17,367","24,375","42,640",40.73%,57.16%
,Yolo (pt.),"52,982","19,211","74,025",71.57%,25.95%
,Yuba,"11,230","17,676","29,787",37.70%,59.34%
3 Total,,"179,806","139,735","327,612",54.88%,42.65%
4,Alpine,476,244,741,64.24%,32.93%
,Amador,"8,153","13,585","22,302",36.56%,60.91%
,Calaveras,"10,046","16,518","27,164",36.98%,60.81%
,El Dorado,"51,621","61,838","116,138",44.45%,53.25%
,Fresno (pt.),"2,092","6,471","8,740",23.94%,74.04%
,Madera (pt.),"5,532","10,449","16,332",33.87%,63.98%
,Mariposa,"4,088","5,950","10,280",39.77%,57.88%
,Nevada (pt.),"7,557","2,262","10,062",75.10%,22.48%
