CD,County,Biden,Trump,Total,Biden%,Trump%
1,Arapahoe (pt.),"20,969","9,806","31,719",66.11%,30.92%
,Denver,"313,293","71,618","393,827",79.55%,18.19%
,Jefferson (pt.),"23,587","23,115","47,957",49.18%,48.20%
1 Total,,"357,849","104,539","473,503",75.57%,22.08%
2,Boulder (pt.),"120,232","24,822","147,988",81.24%,16.77%
,Broomfield,"29,077","16,295","46,632",62.35%,34.94%
,Clear Creek,"3,604","2,754","6,548",55.04%,42.06%
,Eagle (pt.),"5,218","2,061","7,459",69.96%,27.63%
,Gilpin,"2,223","1,833","4,186",53.11%,43.79%
,Grand,"4,710","4,883","9,870",47.72%,49.47%
,Jefferson (pt.),"32,096","25,672","59,385",54.05%,43.23%
,Larimer,"126,120","91,489","224,338",56.22%,40.78%
,Park (pt.),"2,350","3,430","5,982",39.28%,57.34%
,Summit,"12,631","5,322","18,479",68.35%,28.80%
2 Total,,"338,261","178,561","530,867",63.72%,33.64%
3,Alamosa,"3,759","3,813","7,808",48.14%,48.83%
,Archuleta,"3,738","5,189","9,144",40.88%,56.75%
,Conejos,"1,959","2,286","4,333",45.21%,52.76%
,Costilla,"1,311",741,"2,094",62.61%,35.39%
,Custer,"1,112","2,474","3,634",30.60%,68.08%
,Delta,"5,887","13,081","19,370",30.39%,67.53%
,Dolores,341,"1,089","1,449",23.53%,75.16%
,Eagle (pt.),"13,370","7,831","21,681",61.67%,36.12%
,Garfield,"15,427","14,717","30,904",49.92%,47.62%
,Gunnison,"7,132","3,735","11,190",63.74%,33.38%
,Hinsdale,255,353,632,40.35%,55.85%
,Huerfano,"2,076","2,203","4,406",47.12%,50.00%
,Jackson,175,681,876,19.98%,77.74%
,La Plata,"20,548","14,233","35,667",57.61%,39.91%
,Lake,"2,303","1,497","3,961",58.14%,37.79%
,Mesa,"31,536","56,894","90,622",34.80%,62.78%
,Mineral,317,427,756,41.93%,56.48%
,Moffat,"1,203","5,670","7,026",17.12%,80.70%
,Montezuma,"5,836","9,306","15,500",37.65%,60.04%
,Montrose,"7,687","16,770","24,922",30.84%,67.29%
,Ouray,"2,365","1,577","4,020",58.83%,39.23%
,Pitkin,"8,989","2,780","11,957",75.18%,23.25%
,Pueblo,"43,772","42,252","88,299",49.57%,47.85%
,Rio Blanco,561,"3,061","3,691",15.20%,82.93%
,Rio Grande,"2,495","3,660","6,305",39.57%,58.05%
,Routt,"10,582","5,925","16,876",62.70%,35.11%
,Saguache,"1,884","1,413","3,389",55.59%,41.69%
,San Juan,342,202,562,60.85%,35.94%
,San Miguel,"3,924","1,136","5,147",76.24%,22.07%
3 Total,,"200,886","224,996","436,221",46.05%,51.58%
4,Adams (pt.),"1,172","3,654","4,988",23.50%,73.26%
,Arapahoe (pt.),"1,170","3,885","5,181",22.58%,74.99%
,Baca,317,"1,867","2,225",14.25%,83.91%
,Bent,732,"1,503","2,274",32.19%,66.09%
,Boulder (pt.),"38,857","17,679","58,123",66.85%,30.42%
,Cheyenne,131,993,"1,136",11.53%,87.41%
,Crowley,437,"1,271","1,750",24.97%,72.63%
,Douglas (pt.),"67,780","87,702","159,581",42.47%,54.96%
,Elbert,"4,490","14,027","18,983",23.65%,73.89%
,Kiowa,98,795,903,10.85%,88.04%
,Kit Carson,662,"3,144","3,871",17.10%,81.22%
,Las Animas,"3,497","4,284","7,961",43.93%,53.81%
,Lincoln,470,"2,135","2,651",17.73%,80.54%
,Logan,"2,218","8,087","10,532",21.06%,76.79%
,Morgan,"3,876","9,593","13,744",28.20%,69.80%
,Otero,"3,605","5,756","9,576",37.65%,60.11%
,Phillips,486,"1,958","2,485",19.56%,78.79%
,Prowers,"1,458","4,008","5,561",26.22%,72.07%
,Sedgwick,301,"1,121","1,446",20.82%,77.52%
,Washington,369,"2,595","3,008",12.27%,86.27%
,Weld,"66,060","96,145","166,968",39.56%,57.58%
,Yuma,785,"4,107","4,981",15.76%,82.45%
4 Total,,"198,971","276,309","487,928",40.78%,56.63%
5,Chaffee,"7,160","6,222","13,717",52.20%,45.36%
,El Paso,"161,941","202,828","378,849",42.75%,53.54%
,Fremont,"7,369","17,517","25,557",28.83%,68.54%
,Park (pt.),"2,553","3,561","6,308",40.47%,56.45%
,Teller,"5,278","11,241","16,939",31.16%,66.36%
5 Total,,"184,301","241,369","441,370",41.76%,54.69%
6,Adams (pt.),"32,301","28,529","62,455",51.72%,45.68%
,Arapahoe (pt.),"191,468","113,632","313,283",61.12%,36.27%
,Douglas (pt.),"36,873","33,568","72,018",51.20%,46.61%
6 Total,,"260,642","175,729","447,756",58.21%,39.25%
7,Adams (pt.),"100,729","63,474","169,292",59.50%,37.49%
,Jefferson (pt.),"162,713","99,630","270,015",60.26%,36.90%
7 Total,,"263,442","163,104","439,307",59.97%,37.13%
Grand Total,,"1,804,352","1,364,607","3,256,952",55.40%,41.90%
