CD,County,Biden,Trump,Total,Biden%,Trump%
1,Bacon,625,"4,017","4,667",13.39%,86.07%
,Brantley,700,"6,993","7,749",9.03%,90.24%
,Bryan,"6,738","14,240","21,335",31.58%,66.74%
,Camden,"7,967","15,249","23,686",33.64%,64.38%
,Charlton,"1,105","3,419","4,568",24.19%,74.85%
,Chatham,"78,247","53,232","133,408",58.65%,39.90%
,Clinch,744,"2,105","2,861",26.00%,73.58%
,Echols,167,"1,256","1,441",11.59%,87.16%
,Effingham (pt.),"4,882","14,348","19,532",25.00%,73.46%
,Glynn,"15,882","25,617","41,988",37.83%,61.01%
,Liberty,"13,104","7,959","21,394",61.25%,37.20%
,Long,"2,035","3,527","5,657",35.97%,62.35%
,Lowndes (pt.),802,"1,080","1,908",42.02%,56.61%
,McIntosh,"2,612","4,016","6,696",39.01%,59.98%
,Pierce,"1,100","7,898","9,047",12.16%,87.30%
,Ware,"4,169","9,903","14,189",29.38%,69.79%
,Wayne,"2,688","9,987","12,779",21.03%,78.15%
1 Total,,"143,567","184,846","332,905",43.13%,55.53%
2,Baker,652,897,"1,555",41.93%,57.68%
,Bibb (pt.),"31,879","13,433","45,744",69.69%,29.37%
,Calhoun,"1,263",923,"2,198",57.46%,41.99%
,Chattahoochee,667,880,"1,582",42.16%,55.63%
,Clay,791,637,"1,435",55.12%,44.39%
,Crawford,"1,615","4,428","6,102",26.47%,72.57%
,Crisp,"2,982","4,985","8,033",37.12%,62.06%
,Decatur,"4,782","6,755","11,625",41.14%,58.11%
,Dooly,"1,911","2,159","4,105",46.55%,52.59%
,Dougherty,"24,568","10,441","35,287",69.62%,29.59%
,Early,"2,450","2,710","5,188",47.22%,52.24%
,Grady,"3,619","7,034","10,707",33.80%,65.70%
,Lee,"4,558","12,007","16,714",27.27%,71.84%
,Macon,"2,858","1,783","4,663",61.29%,38.24%
,Marion,"1,312","2,275","3,625",36.19%,62.76%
,Miller,748,"2,066","2,834",26.39%,72.90%
,Mitchell,"3,993","4,935","8,962",44.55%,55.07%
,Muscogee (pt.),"40,510","16,360","57,494",70.46%,28.46%
,Peach,"5,922","6,506","12,553",47.18%,51.83%
,Quitman,497,604,"1,106",44.94%,54.61%
,Randolph,"1,671","1,390","3,073",54.38%,45.23%
,Schley,462,"1,800","2,275",20.31%,79.12%
,Seminole,"1,256","2,613","3,888",32.30%,67.21%
,Stewart,"1,182",801,"1,990",59.40%,40.25%
,Sumter,"6,314","5,733","12,148",51.98%,47.19%
,Talbot,"2,114","1,392","3,522",60.02%,39.52%
,Taylor,"1,388","2,420","3,842",36.13%,62.99%
,Terrell,"2,376","2,004","4,416",53.80%,45.38%
,Webster,640,748,"1,391",46.01%,53.77%
2 Total,,"154,980","120,719","278,056",55.74%,43.42%
3,Carroll,"16,236","37,476","54,472",29.81%,68.80%
