CD,County,Biden,Trump,Total,Biden%,Trump%
1,Ada (pt.),"47,726","87,426","139,360",34.25%,62.73%
,Adams,591,"1,941","2,586",22.85%,75.06%
,Benewah,977,"3,878","4,973",19.65%,77.98%
,Boise,"1,204","3,485","4,820",24.98%,72.30%
,Bonner,"8,310","18,369","27,335",30.40%,67.20%
,Boundary,"1,220","4,937","6,313",19.33%,78.20%
,Canyon,"25,881","61,759","90,410",28.63%,68.31%
,Clearwater,877,"3,453","4,419",19.85%,78.14%
,Gem,"1,803","7,951","9,958",18.11%,79.85%
,Idaho,"1,561","7,826","9,602",16.26%,81.50%
,Kootenai,"24,312","62,837","89,467",27.17%,70.23%
,Latah,"10,236","9,472","20,570",49.76%,46.05%
,Lewis,349,"1,489","1,870",18.66%,79.63%
,Nez Perce,"6,686","13,738","20,967",31.89%,65.52%
,Owyhee,816,"3,819","4,742",17.21%,80.54%
,Payette,"2,161","8,862","11,293",19.14%,78.47%
,Shoshone,"1,693","4,216","6,049",27.99%,69.70%
,Valley,"2,976","3,947","7,063",42.14%,55.88%
,Washington,"1,073","4,154","5,344",20.08%,77.73%
1 Total,,"140,452","313,559","467,141",30.07%,67.12%
2,Ada (pt.),"72,813","43,273","120,029",60.66%,36.05%
,Bannock,"14,682","23,331","39,553",37.12%,58.99%
,Bear Lake,350,"2,914","3,315",10.56%,87.90%
,Bingham,"4,124","15,295","19,996",20.62%,76.49%
,Blaine,"8,919","4,032","13,289",67.12%,30.34%
,Bonneville,"14,254","37,805","53,995",26.40%,70.02%
,Butte,188,"1,202","1,415",13.29%,84.95%
,Camas,149,507,754,19.76%,67.24%
,Caribou,431,"2,906","3,416",12.62%,85.07%
,Cassia,"1,464","7,907","9,629",15.20%,82.12%
,Clark,41,264,311,13.18%,84.89%
,Custer,603,"2,089","2,739",22.02%,76.27%
,Elmore,"2,601","7,246","10,205",25.49%,71.00%
,Franklin,657,"5,845","6,664",9.86%,87.71%
,Fremont,998,"5,548","6,719",14.85%,82.57%
,Gooding,"1,256","4,659","6,050",20.76%,77.01%
,Jefferson,"1,661","12,099","14,173",11.72%,85.37%
,Jerome,"1,893","5,734","7,812",24.23%,73.40%
,Lemhi,"1,032","3,592","4,738",21.78%,75.81%
,Lincoln,414,"1,469","1,940",21.34%,75.72%
,Madison,"2,666","13,559","17,112",15.58%,79.24%
,Minidoka,"1,550","6,265","7,993",19.39%,78.38%
,Oneida,249,"2,148","2,451",10.16%,87.64%
,Power,865,"2,116","3,074",28.14%,68.84%
,Teton,"3,318","2,858","6,347",52.28%,45.03%
,Twin Falls,"9,391","25,897","36,501",25.73%,70.95%
2 Total,,"146,569","240,560","400,220",36.62%,60.11%
Grand Total,,"287,021","554,119","867,361",33.09%,63.89%
