CD,County,Biden,Trump,Total,Biden%,Trump%
1,Cook - Chicago (pt.),"162,807","8,325","173,110",94.05%,4.81%
,Cook - Suburban (pt.),"59,480","40,133","101,233",58.76%,39.64%
,Will (pt.),"24,709","34,089","59,820",41.31%,56.99%
1 Total,,"246,996","82,547","334,163",73.91%,24.70%
2,Cook - Chicago (pt.),"64,744","5,499","71,067",91.10%,7.74%
,Cook - Suburban (pt.),"137,202","19,695","158,588",86.51%,12.42%
,Kankakee,"20,271","28,532","49,902",40.62%,57.18%
,Will (pt.),"14,429","11,140","25,979",55.54%,42.88%
2 Total,,"236,646","64,866","305,536",77.45%,21.23%
3,Cook - Chicago (pt.),"59,071","32,201","92,838",63.63%,34.69%
,Cook - Suburban (pt.),"95,416","80,020","178,299",53.51%,44.88%
,DuPage (pt.),425,324,764,55.63%,42.41%
,Will (pt.),"20,998","23,334","45,086",46.57%,51.75%
3 Total,,"175,910","135,879","316,987",55.49%,42.87%
4,Cook - Chicago (pt.),"139,538","23,932","166,819",83.65%,14.35%
,Cook - Suburban (pt.),"45,097","15,650","61,883",72.88%,25.29%
4 Total,,"184,635","39,582","228,702",80.73%,17.31%
5,Cook - Chicago (pt.),"217,756","58,827","281,879",77.25%,20.87%
,Cook - Suburban (pt.),"29,618","22,634","53,066",55.81%,42.65%
,DuPage (pt.),"20,266","15,169","36,189",56.00%,41.92%
5 Total,,"267,640","96,630","371,134",72.11%,26.04%
6,Cook - Suburban (pt.),"29,990","21,695","52,733",56.87%,41.14%
,DuPage (pt.),"121,150","85,727","211,592",57.26%,40.52%
,Kane (pt.),"31,699","28,575","61,502",51.54%,46.46%
,Lake (pt.),"19,029","17,040","36,790",51.72%,46.32%
,McHenry (pt.),"24,936","21,795","47,781",52.19%,45.61%
6 Total,,"226,804","174,833","410,398",55.26%,42.60%
7,Cook - Chicago (pt.),"202,781","28,548","234,998",86.29%,12.15%
,Cook - Suburban (pt.),"71,521","9,893","82,706",86.48%,11.96%
7 Total,,"274,302","38,441","317,704",86.34%,12.10%
8,Cook - Suburban (pt.),"89,859","56,896","149,418",60.14%,38.08%
