CD,County,Biden,Trump,Total,Biden%,Trump%
1,Allamakee,"2,576","4,735","7,413",34.75%,63.87%
,Benton,"5,160","9,188","14,622",35.29%,62.84%
,Black Hawk,"35,647","29,640","66,420",53.67%,44.63%
,Bremer,"5,958","8,294","14,516",41.04%,57.14%
,Buchanan,"4,169","6,420","10,764",38.73%,59.64%
,Clayton,"3,340","6,106","9,581",34.86%,63.73%
,Delaware,"3,157","6,666","9,981",31.63%,66.79%
,Dubuque,"25,657","27,214","53,782",47.71%,50.60%
,Fayette,"3,835","6,145","10,157",37.76%,60.50%
,Howard,"1,772","3,127","4,952",35.78%,63.15%
,Iowa,"3,547","6,009","9,716",36.51%,61.85%
,Jackson,"4,029","6,940","11,118",36.24%,62.42%
,Jones,"4,213","6,572","10,965",38.42%,59.94%
,Linn,"70,874","53,364","127,078",55.77%,41.99%
,Marshall,"8,176","9,571","18,097",45.18%,52.89%
,Mitchell,"2,053","3,677","5,815",35.31%,63.23%
,Poweshiek,"4,306","5,657","10,124",42.53%,55.88%
,Tama,"3,577","5,303","9,026",39.63%,58.75%
,Winneshiek,"5,617","6,235","12,036",46.67%,51.80%
,Worth,"1,596","2,738","4,414",36.16%,62.03%
1 Total,,"199,259","213,601","420,577",47.38%,50.79%
2,Appanoose,"1,891","4,512","6,506",29.07%,69.35%
,Cedar,"4,337","6,161","10,680",40.61%,57.69%
,Clarke,"1,466","3,144","4,661",31.45%,67.45%
,Clinton,"10,812","13,361","24,638",43.88%,54.23%
,Davis,"1,013","3,032","4,099",24.71%,73.97%
,Decatur,"1,120","2,615","3,801",29.47%,68.80%
,Des Moines,"8,893","10,592","19,906",44.67%,53.21%
,Henry,"3,275","6,507","9,964",32.87%,65.31%
,Jasper,"7,737","12,084","20,143",38.41%,59.99%
,Jefferson,"4,319","4,443","8,926",48.39%,49.78%
,Johnson,"59,177","22,925","83,570",70.81%,27.43%
,Keokuk,"1,414","3,797","5,291",26.72%,71.76%
,Lee,"6,541","9,773","16,699",39.17%,58.52%
,Louisa,"1,726","3,500","5,326",32.41%,65.72%
,Lucas,"1,284","3,287","4,622",27.78%,71.12%
,Mahaska,"2,894","8,297","11,381",25.43%,72.90%
,Marion,"6,178","12,663","19,173",32.22%,66.05%
,Monroe,"1,078","2,975","4,085",26.39%,72.83%
,Muscatine,"9,372","10,823","20,629",45.43%,52.46%
,Scott,"46,926","43,683","92,324",50.83%,47.31%
,Van Buren,875,"2,859","3,780",23.15%,75.63%
,Wapello,"5,821","9,516","15,613",37.28%,60.95%
,Washington,"4,561","6,971","11,745",38.83%,59.35%
,Wayne,727,"2,338","3,103",23.43%,75.35%
2 Total,,"193,437","209,858","410,665",47.10%,51.10%
3,Adair,"1,198","2,917","4,172",28.72%,69.92%
,Adams,590,"1,530","2,155",27.38%,71.00%
,Cass,"2,201","4,969","7,266",30.29%,68.39%
,Dallas,"26,879","27,987","55,847",48.13%,50.11%
,Fremont,"1,080","2,711","3,851",28.04%,70.40%
,Guthrie,"1,985","4,272","6,363",31.20%,67.14%
,Madison,"3,134","6,507","9,806",31.96%,66.36%
,Mills,"2,508","5,585","8,237",30.45%,67.80%
,Montgomery,"1,583","3,659","5,320",29.76%,68.78%
,Page,"2,086","5,319","7,519",27.74%,70.74%
,Polk,"146,250","106,800","257,991",56.69%,41.40%
,Pottawattamie,"18,575","26,247","45,639",40.70%,57.51%
,Ringgold,709,"1,968","2,708",26.18%,72.67%
,Taylor,746,"2,463","3,242",23.01%,75.97%
,Union,"2,061","4,010","6,171",33.40%,64.98%
,Warren,"12,574","17,782","30,953",40.62%,57.45%
3 Total,,"224,159","224,726","457,240",49.02%,49.15%
4,Audubon,"1,071","2,295","3,416",31.35%,67.18%
,Boone,"6,303","8,695","15,306",41.18%,56.81%
,Buena Vista,"2,961","5,056","8,149",36.34%,62.04%
,Butler,"2,424","5,542","8,084",29.99%,68.56%
,Calhoun,"1,470","3,689","5,249",28.01%,70.28%
,Carroll,"3,454","7,737","11,306",30.55%,68.43%
,Cerro Gordo,"10,941","12,442","23,744",46.08%,52.40%
,Cherokee,"1,936","4,495","6,503",29.77%,69.12%
,Chickasaw,"2,233","4,308","6,617",33.75%,65.11%
,Clay,"2,662","6,137","8,948",29.75%,68.59%
,Crawford,"2,220","4,854","7,146",31.07%,67.93%
,Dickinson,"3,661","7,438","11,230",32.60%,66.23%
,Emmet,"1,520","3,265","4,850",31.34%,67.32%
,Floyd,"3,172","4,732","8,017",39.57%,59.02%
,Franklin,"1,626","3,422","5,119",31.76%,66.85%
,Greene,"1,769","3,223","5,051",35.02%,63.81%
,Grundy,"2,206","4,929","7,260",30.39%,67.89%
,Hamilton,"2,843","4,956","7,917",35.91%,62.60%
,Hancock,"1,683","4,390","6,161",27.32%,71.25%
,Hardin,"2,976","5,850","8,975",33.16%,65.18%
,Harrison,"2,440","5,569","8,144",29.96%,68.38%
,Humboldt,"1,442","3,819","5,321",27.10%,71.77%
,Ida,917,"2,880","3,844",23.86%,74.92%
,Kossuth,"2,696","6,275","9,077",29.70%,69.13%
,Lyon,"1,067","5,707","6,852",15.57%,83.29%
,Monona,"1,407","3,248","4,714",29.85%,68.90%
,O'Brien,"1,569","5,861","7,541",20.81%,77.72%
,Osceola,601,"2,690","3,323",18.09%,80.95%
,Palo Alto,"1,519","3,370","4,950",30.69%,68.08%
,Plymouth,"3,494","10,492","14,165",24.67%,74.07%
,Pocahontas,933,"2,826","3,817",24.44%,74.04%
,Sac,"1,389","4,061","5,527",25.13%,73.48%
,Shelby,"1,959","4,697","6,781",28.89%,69.27%
,Sioux,"3,019","15,680","18,956",15.93%,82.72%
,Story,"29,175","20,340","50,837",57.39%,40.01%
,Webster,"6,613","10,938","17,790",37.17%,61.48%
,Winnebago,"2,135","3,707","5,951",35.88%,62.29%
,Woodbury,"18,704","25,736","45,172",41.41%,56.97%
,Wright,"1,996","4,136","6,242",31.98%,66.26%
4 Total,,"142,206","249,487","398,052",35.73%,62.68%
Grand Total,,"759,061","897,672","1,686,534",45.01%,53.23%
