CD,County,Biden,Trump,Total,Biden%,Trump%
1,Barton,"2,340","8,608","11,130",21.02%,77.34%
,Chase,345,"1,123","1,491",23.14%,75.32%
,Cheyenne,224,"1,183","1,429",15.68%,82.79%
,Clark,143,904,"1,067",13.40%,84.72%
,Clay,894,"3,177","4,182",21.38%,75.97%
,Cloud,920,"3,242","4,263",21.58%,76.05%
,Decatur,218,"1,260","1,498",14.55%,84.11%
,Dickinson,"2,060","7,126","9,349",22.03%,76.22%
,Ellis,"3,737","9,758","13,800",27.08%,70.71%
,Ellsworth,648,"2,148","2,853",22.71%,75.29%
,Finney,"4,325","7,236","11,800",36.65%,61.32%
,Ford,"2,947","5,803","8,915",33.06%,65.09%
,Geary,"3,983","5,323","9,603",41.48%,55.43%
,Gove,166,"1,291","1,471",11.28%,87.76%
,Graham,228,"1,080","1,337",17.05%,80.78%
,Grant,518,"1,936","2,501",20.71%,77.41%
,Gray,341,"1,911","2,288",14.90%,83.52%
,Greeley,78,549,641,12.17%,85.65%
,Hamilton,141,698,859,16.41%,81.26%
,Haskell,268,"1,122","1,410",19.01%,79.57%
,Hodgeman,154,875,"1,045",14.74%,83.73%
,Jewell,212,"1,387","1,628",13.02%,85.20%
,Kearny,267,"1,164","1,455",18.35%,80.00%
,Lane,115,762,895,12.85%,85.14%
,Lincoln,266,"1,283","1,579",16.85%,81.25%
,Logan,186,"1,249","1,458",12.76%,85.67%
,Lyon,"6,055","7,550","13,988",43.29%,53.97%
,Marion,"1,516","4,465","6,111",24.81%,73.06%
,Marshall (pt.),621,"1,706","2,388",26.01%,71.44%
,McPherson,"4,134","9,964","14,438",28.63%,69.01%
,Meade,263,"1,523","1,825",14.41%,83.45%
,Mitchell,558,"2,504","3,101",17.99%,80.75%
,Morris,729,"2,124","2,899",25.15%,73.27%
,Morton,150,"1,034","1,198",12.52%,86.31%
,Ness,149,"1,339","1,513",9.85%,88.50%
,Norton,364,"2,007","2,415",15.07%,83.11%
,Osborne,281,"1,629","1,945",14.45%,83.75%
,Ottawa,506,"2,610","3,191",15.86%,81.79%
,Pawnee (pt.),612,"1,906","2,567",23.84%,74.25%
,Phillips,318,"2,418","2,781",11.43%,86.95%
,Pottawatomie,"3,313","9,452","13,083",25.32%,72.25%
,Rawlins,214,"1,261","1,504",14.23%,83.84%
,Reno,"8,886","18,443","27,941",31.80%,66.01%
,Republic,424,"2,182","2,657",15.96%,82.12%
,Rice,965,"3,262","4,319",22.34%,75.53%
,Riley,"12,765","11,610","25,171",50.71%,46.12%
,Rooks,339,"2,325","2,699",12.56%,86.14%
,Rush,295,"1,350","1,677",17.59%,80.50%
,Russell,600,"2,790","3,467",17.31%,80.47%
,Saline,"8,214","15,722","24,531",33.48%,64.09%
,Scott,299,"2,014","2,354",12.70%,85.56%
,Seward,"1,833","3,372","5,294",34.62%,63.69%
,Sheridan,147,"1,282","1,445",10.17%,88.72%
,Sherman,396,"2,269","2,727",14.52%,83.20%
,Smith,336,"1,763","2,129",15.78%,82.81%
,Stanton,148,614,776,19.07%,79.12%
,Stevens,237,"1,760","2,031",11.67%,86.66%
,Thomas,625,"3,130","3,810",16.40%,82.15%
,Trego,242,"1,363","1,630",14.85%,83.62%
,Wabaunsee,964,"2,845","3,902",24.71%,72.91%
,Wallace,44,770,825,5.33%,93.33%
,Washington,475,"2,363","2,883",16.48%,81.96%
,Wichita,149,808,968,15.39%,83.47%
1 Total,,"83,890","207,727","298,130",28.14%,69.68%
2,Allen,"1,570","4,218","5,892",26.65%,71.59%
,Anderson,782,"2,929","3,792",20.62%,77.24%
,Atchison,"2,359","4,906","7,440",31.71%,65.94%
,Bourbon,"1,541","5,023","6,676",23.08%,75.24%
,Brown,"1,104","3,262","4,471",24.69%,72.96%
,Cherokee,"2,194","6,766","9,128",24.04%,74.12%
,Coffey,964,"3,489","4,565",21.12%,76.43%
,Crawford,"6,179","10,045","16,645",37.12%,60.35%
,Doniphan,686,"2,976","3,709",18.50%,80.24%
,Douglas,"40,785","17,286","59,495",68.55%,29.05%
,Franklin,"3,690","8,479","12,477",29.57%,67.96%
,Jackson,"1,881","4,517","6,584",28.57%,68.61%
,Jefferson,"3,194","6,334","9,782",32.65%,64.75%
,Labette,"2,655","5,735","8,563",31.01%,66.97%
,Leavenworth,"13,886","21,610","36,490",38.05%,59.22%
,Linn,896,"4,048","5,046",17.76%,80.22%
,Marshall (pt.),638,"2,023","2,726",23.40%,74.21%
,Miami (pt.),"3,180","7,290","10,697",29.73%,68.15%
,Montgomery,"3,228","9,931","13,426",24.04%,73.97%
,Nemaha,927,"4,664","5,684",16.31%,82.05%
,Neosho,"1,796","4,970","6,877",26.12%,72.27%
,Osage,"2,136","5,705","8,035",26.58%,71.00%
,Shawnee,"43,015","40,443","85,657",50.22%,47.22%
,Wilson,723,"3,153","3,954",18.29%,79.74%
,Woodson,294,"1,228","1,546",19.02%,79.43%
2 Total,,"140,303","191,030","339,357",41.34%,56.29%
3,Johnson,"184,259","155,631","347,214",53.07%,44.82%
,Miami (pt.),"2,067","5,018","7,240",28.55%,69.31%
,Wyandotte,"36,788","18,934","56,785",64.78%,33.34%
3 Total,,"223,114","179,583","411,239",54.25%,43.67%
4,Barber,291,"2,014","2,342",12.43%,85.99%
,Butler,"9,181","22,634","32,520",28.23%,69.60%
,Chautauqua,212,"1,402","1,639",12.93%,85.54%
,Comanche,126,762,916,13.76%,83.19%
,Cowley,"4,273","9,656","14,231",30.03%,67.85%
,Edwards,271,"1,141","1,431",18.94%,79.73%
,Elk,195,"1,140","1,361",14.33%,83.76%
,Greenwood,569,"2,444","3,077",18.49%,79.43%
,Harper,461,"2,168","2,678",17.21%,80.96%
,Harvey,"6,747","10,182","17,309",38.98%,58.82%
,Kingman,752,"3,130","3,949",19.04%,79.26%
,Kiowa,156,980,"1,165",13.39%,84.12%
,Pawnee (pt.),31,139,172,18.02%,80.81%
,Pratt,933,"3,108","4,137",22.55%,75.13%
,Sedgwick,"95,870","122,416","223,688",42.86%,54.73%
,Stafford,357,"1,645","2,034",17.55%,80.88%
,Sumner,"2,591","8,105","10,928",23.71%,74.17%
4 Total,,"123,016","193,066","323,577",38.02%,59.67%
Grand Total,,"570,323","771,406","1,372,303",41.56%,56.21%
