CD,County,Biden,Trump,Total,Biden%,Trump%
1,Adair,"1,392","7,276","8,763",15.88%,83.03%
,Allen,"1,642","7,587","9,364",17.54%,81.02%
,Ballard,825,"3,356","4,225",19.53%,79.43%
,Caldwell,"1,433","4,906","6,428",22.29%,76.32%
,Calloway,"5,797","11,352","17,447",33.23%,65.07%
,Carlisle,463,"2,159","2,638",17.55%,81.84%
,Casey,918,"6,179","7,171",12.80%,86.17%
,Christian,"8,296","15,080","23,863",34.77%,63.19%
,Clinton,603,"4,280","4,932",12.23%,86.78%
,Crittenden,731,"3,451","4,242",17.23%,81.35%
,Cumberland,508,"2,769","3,309",15.35%,83.68%
,Fulton,794,"1,606","2,425",32.74%,66.23%
,Graves,"3,560","13,206","17,019",20.92%,77.60%
,Henderson,"7,639","12,730","20,688",36.92%,61.53%
,Hickman,458,"1,714","2,199",20.83%,77.94%
,Hopkins,"5,439","15,757","21,509",25.29%,73.26%
,Livingston,939,"4,010","5,003",18.77%,80.15%
,Logan,"3,094","9,067","12,346",25.06%,73.44%
,Lyon,"1,092","3,100","4,228",25.83%,73.32%
,Marion,"2,722","6,113","8,928",30.49%,68.47%
,Marshall,"4,071","13,297","17,601",23.13%,75.55%
,McCracken,"11,195","21,820","33,526",33.39%,65.08%
,McLean,"1,074","3,633","4,782",22.46%,75.97%
,Metcalfe,975,"3,959","5,012",19.45%,78.99%
,Monroe,657,"4,628","5,330",12.33%,86.83%
,Muhlenberg,"3,545","10,497","14,231",24.91%,73.76%
,Ohio,"2,404","8,582","11,127",21.61%,77.13%
,Russell,"1,331","7,519","8,954",14.86%,83.97%
,Simpson,"2,681","5,888","8,732",30.70%,67.43%
,Taylor,"2,963","9,376","12,512",23.68%,74.94%
,Todd,"1,205","4,062","5,358",22.49%,75.81%
,Trigg,"1,791","5,487","7,375",24.28%,74.40%
,Union,"1,529","4,965","6,576",23.25%,75.50%
,Washington (pt.),50,205,261,19.16%,78.54%
,Webster,"1,412","4,506","5,991",23.57%,75.21%
1 Total,,"85,228","244,122","334,095",25.51%,73.07%
2,Barren,"5,127","14,654","20,055",25.56%,73.07%
,Boyle,"5,298","8,872","14,467",36.62%,61.33%
,Breckinridge,"2,350","7,701","10,197",23.05%,75.52%
,Bullitt,"10,552","30,708","41,965",25.14%,73.18%
,Butler,"1,079","4,960","6,122",17.62%,81.02%
,Daviess,"17,286","31,025","49,245",35.10%,63.00%
,Edmonson,"1,227","4,828","6,131",20.01%,78.75%
,Garrard,"1,830","6,754","8,703",21.03%,77.61%
,Grayson,"2,400","9,453","11,983",20.03%,78.89%
,Green,920,"4,838","5,812",15.83%,83.24%
,Hancock,"1,351","3,145","4,587",29.45%,68.56%
,Hardin,"18,101","29,832","48,941",36.99%,60.96%
,Hart,"1,908","6,345","8,369",22.80%,75.82%
,Jessamine (pt.),"2,364","5,134","7,711",30.66%,66.58%
,Larue,"1,504","5,685","7,301",20.60%,77.87%
,Meade,"3,632","10,185","14,111",25.74%,72.18%
,Mercer,"3,033","8,506","11,735",25.85%,72.48%
,Nelson,"7,188","15,703","23,245",30.92%,67.55%
,Spencer (pt.),636,"2,469","3,143",20.24%,78.56%
,Warren,"22,479","31,791","55,354",40.61%,57.43%
,Washington (pt.),"1,594","4,277","5,962",26.74%,71.74%
2 Total,,"111,859","246,865","365,139",30.63%,67.61%
3,Jefferson (pt.),"221,843","141,027","369,797",59.99%,38.14%
3 Total,,"221,843","141,027","369,797",59.99%,38.14%
4,Boone,"20,901","44,814","66,960",31.21%,66.93%
,Boyd (pt.),"5,902","10,906","17,114",34.49%,63.73%
,Bracken,800,"3,398","4,244",18.85%,80.07%
,Campbell,"19,374","28,482","48,834",39.67%,58.32%
,Carroll,"1,116","2,954","4,135",26.99%,71.44%
,Gallatin,822,"2,955","3,849",21.36%,76.77%
,Grant,"2,205","8,725","11,106",19.85%,78.56%
,Greenup,"4,873","13,064","18,176",26.81%,71.88%
,Harrison (pt.),"1,321","4,118","5,501",24.01%,74.86%
,Henry,"2,142","5,843","8,107",26.42%,72.07%
,Jefferson (pt.),"6,515","9,619","16,398",39.73%,58.66%
,Kenton,"32,271","48,129","82,120",39.30%,58.61%
,Lewis,823,"4,986","5,883",13.99%,84.75%
,Mason,"2,362","5,477","7,958",29.68%,68.82%
,Oldham,"14,505","22,654","37,940",38.23%,59.71%
,Owen,"1,098","4,292","5,456",20.12%,78.67%
,Pendleton,"1,322","5,515","6,925",19.09%,79.64%
,Shelby,"8,077","15,055","23,545",34.30%,63.94%
,Spencer (pt.),"1,894","6,268","8,286",22.86%,75.65%
,Trimble,"1,012","3,227","4,319",23.43%,74.72%
4 Total,,"129,335","250,481","386,856",33.43%,64.75%
5,Bell,"1,789","8,140","10,044",17.81%,81.04%
,Boyd (pt.),"1,181","3,389","4,627",25.52%,73.24%
,Breathitt,"1,301","4,265","5,661",22.98%,75.34%
,Carter,"2,642","8,775","11,585",22.81%,75.74%
,Clay,831,"6,677","7,590",10.95%,87.97%
,Elliott,712,"2,246","2,995",23.77%,74.99%
,Floyd,"3,884","12,250","16,351",23.75%,74.92%
,Harlan,"1,494","9,367","10,971",13.62%,85.38%
,Jackson,605,"5,453","6,113",9.90%,89.20%
,Johnson,"1,608","8,450","10,192",15.78%,82.91%
,Knott,"1,412","4,780","6,252",22.58%,76.46%
,Knox,"2,114","11,012","13,273",15.93%,82.97%
,Laurel,"4,475","23,237","28,101",15.92%,82.69%
,Lawrence,"1,238","5,633","6,955",17.80%,80.99%
,Lee,481,"2,273","2,801",17.17%,81.15%
,Leslie,446,"4,321","4,811",9.27%,89.82%
,Letcher,"1,799","7,226","9,135",19.69%,79.10%
,Lincoln,"2,254","8,489","10,913",20.65%,77.79%
,Magoffin,"1,214","4,174","5,447",22.29%,76.63%
,Martin,403,"3,496","3,930",10.25%,88.96%
,McCreary,725,"5,664","6,435",11.27%,88.02%
,Morgan,"1,175","4,301","5,542",21.20%,77.61%
,Owsley,216,"1,671","1,896",11.39%,88.13%
,Perry,"2,356","8,129","10,626",22.17%,76.50%
,Pike,"4,866","20,284","25,377",19.17%,79.93%
,Pulaski,"5,666","25,442","31,540",17.96%,80.67%
,Rockcastle,"1,134","6,577","7,783",14.57%,84.50%
,Rowan,"3,880","5,994","10,058",38.58%,59.59%
,Wayne,"1,700","7,430","9,240",18.40%,80.41%
,Whitley,"2,552","12,567","15,347",16.63%,81.89%
5 Total,,"56,153","241,712","301,591",18.62%,80.15%
6,Anderson,"3,348","9,661","13,246",25.28%,72.94%
,Bath,"1,573","3,986","5,627",27.95%,70.84%
,Bourbon,"3,296","6,190","9,643",34.18%,64.19%
,Clark,"6,004","11,811","18,128",33.12%,65.15%
,Estill,"1,355","5,100","6,538",20.72%,78.01%
,Fayette,"90,600","58,860","152,714",59.33%,38.54%
,Fleming,"1,474","5,534","7,066",20.86%,78.32%
,Franklin,"12,652","12,900","26,061",48.55%,49.50%
,Harrison (pt.),"1,079","2,216","3,352",32.19%,66.11%
,Jessamine (pt.),"6,203","11,962","18,540",33.46%,64.52%
,Madison,"15,581","27,356","43,911",35.48%,62.30%
,Menifee,750,"2,311","3,102",24.18%,74.50%
,Montgomery,"3,630","8,993","12,837",28.28%,70.06%
,Nicholas,955,"2,408","3,396",28.12%,70.91%
,Powell,"1,367","4,041","5,505",24.83%,73.41%
,Robertson,253,884,"1,146",22.08%,77.14%
,Scott,"10,567","17,767","28,956",36.49%,61.36%
,Wolfe,839,"2,097","2,979",28.16%,70.39%
,Woodford,"6,530","8,362","15,211",42.93%,54.97%
6 Total,,"168,056","202,439","377,958",44.46%,53.56%
Grand Total,,"772,474","1,326,646","2,135,436",36.17%,62.13%
