CD,County,Biden,Trump,Total,Biden%,Trump%
1,Alcona,"2,142","4,848","7,063",30.33%,68.64%
,Alger,"2,053","3,014","5,128",40.04%,58.78%
,Alpena,"6,000","10,686","16,966",35.36%,62.98%
,Antrim,"5,960","9,748","15,949",37.37%,61.12%
,Baraga,"1,478","2,512","4,036",36.62%,62.24%
,Benzie,"5,480","6,601","12,260",44.70%,53.84%
,Charlevoix,"6,939","9,841","17,000",40.82%,57.89%
,Cheboygan,"5,437","10,186","15,868",34.26%,64.19%
,Chippewa,"6,648","10,681","17,640",37.69%,60.55%
,Crawford,"2,672","5,087","7,861",33.99%,64.71%
,Delta,"7,606","13,207","21,151",35.96%,62.44%
,Dickinson,"4,744","9,617","14,589",32.52%,65.92%
,Emmet,"9,662","12,135","22,176",43.57%,54.72%
,Gogebic,"3,570","4,600","8,266",43.19%,55.65%
,Grand Traverse,"28,683","30,502","60,227",47.62%,50.65%
,Houghton,"7,750","10,378","18,501",41.89%,56.09%
,Iron,"2,493","4,216","6,789",36.72%,62.10%
,Kalkaska,"3,002","7,436","10,630",28.24%,69.95%
,Keweenaw,672,862,"1,557",43.16%,55.36%
,Leelanau,"8,795","7,916","16,898",52.05%,46.85%
,Luce,842,"2,109","3,001",28.06%,70.28%
,Mackinac,"2,632","4,304","7,015",37.52%,61.35%
,Manistee,"6,107","8,321","14,654",41.67%,56.78%
,Marquette,"20,465","16,286","37,458",54.63%,43.48%
,Mason (pt.),"1,650","3,039","4,742",34.80%,64.09%
,Menominee,"4,316","8,117","12,606",34.24%,64.39%
,Montmorency,"1,628","4,171","5,859",27.79%,71.19%
,Ontonagon,"1,391","2,358","3,804",36.57%,61.99%
,Oscoda,"1,342","3,466","4,874",27.53%,71.11%
,Otsego,"4,743","9,779","14,756",32.14%,66.27%
,Presque Isle,"2,911","5,342","8,342",34.90%,64.04%
,Schoolcraft,"1,589","3,090","4,745",33.49%,65.12%
1 Total,,"171,402","244,455","422,411",40.58%,57.87%
2,Allegan (pt.),626,643,"1,293",48.37%,49.73%
,Kent (pt.),"45,813","39,856","87,467",52.38%,45.57%
,Lake,"2,288","3,946","6,323",36.19%,62.41%
,Mason (pt.),"5,152","7,168","12,507",41.19%,57.31%
,Muskegon,"45,643","45,133","92,435",49.38%,48.83%
,Newaygo,"7,873","18,857","27,156",28.99%,69.44%
,Oceana,"4,944","8,892","14,062",35.16%,63.23%
,Ottawa,"64,705","100,913","168,627",38.37%,59.84%
2 Total,,"177,044","225,408","409,870",43.20%,55.00%
3,Barry,"11,797","23,471","35,905",32.86%,65.37%
,Calhoun,"28,877","36,221","66,276",43.57%,54.65%
,Ionia,"10,901","20,657","32,205",33.85%,64.14%
,Kent (pt.),"142,102","125,885","273,372",51.98%,46.05%
,Montcalm (pt.),898,"1,528","2,461",36.48%,62.09%
3 Total,,"194,575","207,762","410,219",47.43%,50.65%
4,Clare,"5,182","10,824","16,224",31.94%,66.72%
,Clinton,"21,044","24,784","46,662",45.10%,53.11%
,Gladwin,"4,524","9,893","14,603",30.98%,67.75%
,Gratiot,"6,693","12,102","19,126",34.99%,63.28%
,Isabella,"14,090","14,851","29,465",47.82%,50.40%
